"dataset","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","family","pft","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","growingCondition","status","light","Note","studyName"
"Ishihara0000","Japan-Yamashiro-",34.78,135.83,"TempF",NA,NA,NA,NA,"Quercus glauca","Fagaceae","EA",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.19,NA,0.0647,0.0466,NA,NA,NA,NA,NA,NA,NA,4.695,NA,NA,NA,1.18699,5.88199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Dannoura, M; Suzuki, M; Kominami, Y; Goto, Y; Kanazawa, Y.  (2006) Estimation of root biomass and root surface area in a broad-leaved secondary forest in the southern part of Kyoto Prefecture [in Japanese with English abstract]. Journal of the Japanese Forest Society 88: 120-125.","Dannoura2006"
"Ishihara0000","Japan-Yamashiro-",34.78,135.83,"TempF",NA,NA,NA,NA,"Quercus serrata","Fagaceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,0.0748,0.0522,NA,NA,NA,NA,NA,NA,NA,7.34,NA,NA,NA,1.84501,9.18501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Dannoura, M; Suzuki, M; Kominami, Y; Goto, Y; Kanazawa, Y.  (2006) Estimation of root biomass and root surface area in a broad-leaved secondary forest in the southern part of Kyoto Prefecture [in Japanese with English abstract]. Journal of the Japanese Forest Society 88: 120-125.","Dannoura2006"
"Ishihara0000","Japan-Yamashiro-",34.78,135.83,"TempF",NA,NA,NA,NA,"Ilex pedunculosa","Aquifoliaceae","EA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4749,0.3069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Dannoura, M; Suzuki, M; Kominami, Y; Goto, Y; Kanazawa, Y.  (2006) Estimation of root biomass and root surface area in a broad-leaved secondary forest in the southern part of Kyoto Prefecture [in Japanese with English abstract]. Journal of the Japanese Forest Society 88: 120-125.","Dannoura2006"
"Ishihara0000","Japan-Yamashiro-",34.78,135.83,"TempF",NA,NA,NA,NA,"Clethra barbinervis","Clethraceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.55,NA,0.0923,0.0671,NA,NA,NA,NA,NA,NA,NA,12.49,NA,NA,NA,1.7481,14.2381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Dannoura, M; Suzuki, M; Kominami, Y; Goto, Y; Kanazawa, Y.  (2006) Estimation of root biomass and root surface area in a broad-leaved secondary forest in the southern part of Kyoto Prefecture [in Japanese with English abstract]. Journal of the Japanese Forest Society 88: 120-125.","Dannoura2006"
