Unit,-,-,-,yr,m2,m2,m2,m,m,kg,kg,kg,kg,kg/m2,EA = evergreen angiosperm;,FW = field wild;,"0 = supressed,",-,-,degree,degree,TropRF = Tropical rainforest;,m2/m2,mm,C,-
Description,First author and year of publication,Family,Latin name of species (genus species),"Age of plant expressed as decimal, e.g. 3 months = 0.25 years",Total leaf area,Individual leaf size (average area of individual leaves across entire plant),Area of total stem cross section at breast height ,"Total height of plant, from ground to highest leaf","Height of crown, from first branch bearing a live leaf to highest leaf, (Crown depth)",Total leaf mass,"Stem mass, mass of all stem tissue (= m.ss + m.sh + m.sb)",Bark mass,Branch mass,Leaf mass per area (average across entire plant or sample taken from top of plant; = m.lf/a.lf),Plant functional type,Growing environment of sampled plant,Position in forest canopy (wild grown plants only),"Note any information about light environment of sampled plant, we will determine appropriate categories once we see what information is available",Name of location where sampled,Latitude of location where sampled (-90 to 90 deg South to North),Longitude of location where sampled (-180 to 180 West to East),"Vegetation type where sampled, or where typically found for artifical plantings (plantations, glasshouse, common garden etc)",Leaf area of index of vegetation,Mean annual rainfall (wild grown plants only),Mean annual temperature,Full bibliographic reference of source publication
Alternative related variables,Name and year of collection for unpublished data,,,,Calculated using Total leaf mass and Leaf mass per area,,,,"Height to crown base, being the height of first branch bearing a live leaf",,,,,,,,,,,,,,,,,
Method,,,,"Age of plant expressed as decimal, e.g. 3 months = 0.25 years",Calculated using Total leaf mass and measured Leaf mass per area,,from circumference,"Total height of plant, from ground to highest leaf","Height to crown base, being the height of first  live leaf",Total leaf mass (dry mass),,,Branch mass,Leaf dry mass per area (average across entire plant),,,"Numbered from smaller to larger, corresponding to size class of the inventory","Numbered from smaller to larger, corresponding to size class of the inventory",Stand name,,,,LAI estimated from allometric relationships calibrated on the destructive data of this excel file (one relationship per date and per stand),estimated from a single meteorological station,estimated from a single meteorological station," Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Variable,contributor,family,species,age,a.lf,lf.sz,a.st,h.t,h.c,m.lf,m.st,m.sb,m.br,lf.ma,pft,growingCondition,status,light,location,latitude,longitude,vegetation,lai,map,mat,reference
Nouvellon et al. (2010),11-Oct-04,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.41,29.797,0.003742,0.010428,15.02,7.44,3.039,,,,0.102,EA,PM,6,6,Kissoko (Congo),-4.7914,11.9822,TropSF,1.8392,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),11-Oct-04,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.41,39.754,0.00427,0.014037,16.5,7.63,3.9,,,,0.098,EA,PM,7,7,Kissoko (Congo),-4.7914,11.9822,TropSF,1.8392,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),11-Oct-04,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.41,41.958,0.004261,0.015406,15.72,8.33,4.344,,,,0.104,EA,PM,8,8,Kissoko (Congo),-4.7914,11.9822,TropSF,1.8392,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),5-Jan-05,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.64,5.563,0.003055,0.002578,10.71,3.8,0.366,,,,0.066,EA,PM,0,0,Kissoko (Congo),-4.7914,11.9822,TropSF,2.031,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),5-Jan-05,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.64,9.265,0.003368,0.004395,14,3.41,0.642,,,,0.069,EA,PM,1,1,Kissoko (Congo),-4.7914,11.9822,TropSF,2.031,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),5-Jan-05,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.64,4.419,0.003533,0.005134,13.75,13.35,0.328,,,,0.074,EA,PM,2,2,Kissoko (Congo),-4.7914,11.9822,TropSF,2.031,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),5-Jan-05,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.64,21.956,0.004123,0.007067,14.75,6.05,1.665,,,,0.076,EA,PM,3,3,Kissoko (Congo),-4.7914,11.9822,TropSF,2.031,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),5-Jan-05,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.64,23.229,0.0039,0.008614,14,6.5,1.885,,,,0.081,EA,PM,4,4,Kissoko (Congo),-4.7914,11.9822,TropSF,2.031,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),5-Jan-05,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.64,26.519,0.003584,0.009748,16.55,6.17,2.009,,,,0.076,EA,PM,5,5,Kissoko (Congo),-4.7914,11.9822,TropSF,2.031,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),5-Jan-05,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.64,29.348,0.003785,0.011131,16.43,5.83,2.498,,,,0.085,EA,PM,6,6,Kissoko (Congo),-4.7914,11.9822,TropSF,2.031,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
