Soil,H2O,P,SpID,Ind,Diam,Ht,Lv,Lft,SF,SLA,Lf,Stem,Root,Cot,Sht,Tot
1,0,1,Gg,5,2.98,35.5,121,,901.25,61.47680764,1.466,0.844,1.185,,2.31,3.495
1,0,1,Gg,1,2.15,22.5,71,,549.3,51.24067164,1.072,0.472,0.49,,1.544,2.034
1,0,1,Gg,2,1.8,18.5,61,,363.8,66.75229358,0.545,0.26,0.225,,0.805,1.03
1,0,1,Gg,3,2.81,37,85,,1034.6,56.56642974,1.829,1.047,0.512,,2.876,3.388
1,0,1,Gg,4,1.7,17,47,,167.1,68.48360656,0.244,0.102,0.085,,0.346,0.431
1,0,1,Gg,5,2.18,30,75,,716.4,40.63528077,1.763,0.581,0.542,,2.344,2.886
0,1,0,Gg,1,1.71,8.5,22,,143.4,63.45132743,0.226,0.099,0.23,,0.325,0.555
0,1,0,Gg,2,2.88,28,76,,632.5,56.52368186,1.119,0.719,1.225,,1.838,3.063
0,1,0,Gg,3,2.6,23,99,,436.1,63.11143271,0.691,0.437,0.376,,1.128,1.504
0,1,0,Gg,4,1.36,10,17,,47,51.08695652,0.092,0.058,0.041,,0.15,0.191
0,1,0,Gg,5,2.08,16,42,,295.7,57.64132554,0.513,0.451,0.14,,0.964,1.104
0,1,0,Gg,1,1.4,8,30,,92.5,63.35616438,0.146,0.076,0.062,,0.222,0.284
0,1,0,Gg,2,1.23,11.5,17,,70.3,62.21238938,0.113,0.057,0.068,,0.17,0.238
0,1,0,Gg,3,2.18,26,35,,213,62.46334311,0.341,0.195,0.255,,0.536,0.791
0,1,0,Gg,4,1.44,9,6,,25.5,44.73684211,0.057,0.039,0.058,,0.096,0.154
0,1,0,Gg,5,1.87,9.5,21,,68.5,58.54700855,0.117,0.067,0.071,,0.184,0.255
0,1,0,Gg,1,1.81,13,37,,185.2,53.8372093,0.344,0.176,0.17,,0.52,0.69
0,1,0,Gg,2,1.47,9.5,17,,50.2,61.97530864,0.081,0.085,0.048,,0.166,0.214
0,1,0,Gg,3,1.55,10,26,,75.8,58.30769231,0.13,0.089,0.092,,0.219,0.311
0,1,0,Gg,5,1.69,11,33,,105.9,63.03571429,0.168,0.121,0.098,,0.289,0.387
1,1,0,Gg,1,1.87,17,55,,292.4,58.24701195,0.502,0.194,0.181,,0.696,0.877
1,1,0,Gg,2,2.67,30,116,,582.7,64.74444444,0.9,0.511,0.373,,1.411,1.784
1,1,0,Gg,3,3,33.5,90,,855.4,59.36155448,1.441,0.768,0.593,,2.209,2.802
1,1,0,Gg,4,3.54,37.5,103,,968.3,56.29651163,1.72,0.96,0.662,,2.68,3.342
1,1,0,Gg,5,3.44,32.5,91,,1188,64.95352652,1.829,1.052,0.999,,2.881,3.88
1,1,0,Gg,1,2.46,32.5,64,,440.6,60.19125683,0.732,0.424,0.278,,1.156,1.434
1,1,0,Gg,2,3.09,32,103,,874.9,62.94244604,1.39,0.722,0.658,,2.112,2.77
1,1,0,Gg,3,2.66,35,122,,702.3,60.70008643,1.157,0.622,0.488,,1.779,2.267
