Location,Indonesian_name,Species,Low_Wd,Wd,Hi_Wd,Girth,Cw_Avg,Cw_Depth,Hcb,CP_Idx,CF_idx,Isolated,Dense,Cw_Surf,Cw_Vol,Dbh,Height
Jambi,Durian,Durzib,420,570,690,96.9,9.987492178,9,3.6,5,5,Yes,open,585.8684547,1880.243203,30.84422797,12.6
Jambi,Durian,Durzib,420,570,690,106.5,7.501999733,8.5,10.5,4,4,No,low,385.3669025,1001.916729,33.90000288,19
Jambi,Durian,Durzib,420,570,690,178.4,15.72704677,17.3,6.7,5,5,Yes,open,1658.685378,8961.878944,56.7864837,24
Jambi,Durian,Durzib,420,570,690,167.3,13.34915728,8,14.6,5,4,Yes,open,836.1316311,2985.769658,53.25324396,22.6
Jambi,Durian,Durzib,420,570,690,69,4.582575695,6.5,15,4,3,No,low,169.9964907,285.8849315,21.96338215,21.5
Jambi,Durian,Durzib,420,570,690,31,4.428317965,9.2,2,2,4,No,high,217.6439984,377.8540092,9.867606472,11.2
Jambi,Durian,Durzib,420,570,690,20.7,5.5,5.9,1.8,1,4,No,high,199.3460426,373.7971659,6.589014644,7.7
Jambi,Durian,Durzib,420,570,690,41,6.334035049,7.2,5.3,2,3,No,high,275.3485133,604.9953469,13.05070533,12.5
Jambi,Durian,Durzib,420,570,690,212,16.43167673,16,8,5,4,Yes,open,1666.827468,9047.786842,67.48169587,24
Jambi,Durian,Durzib,420,570,690,134.6,12.42738911,10.9,2.6,5,5,Yes,open,891.9169428,3525.696338,42.84451068,13.5
Jambi,Durian,Durzib,420,570,690,161,11.49956521,12.7,2.8,5,5,Yes,open,889.2821681,3517.427666,51.24789168,15.5
Jambi,Durian,Durzib,420,570,690,30,4.590206967,6.5,2.5,2,4,No,high,170.3423305,286.8378812,9.549296586,9
Jambi,Durian,Durzib,420,570,690,88,7.668115805,7,5.5,5,4,Yes,open,348.1881178,862.0530241,28.01126998,12.5
Jambi,Durian,Durzib,420,570,690,136,13.12859475,11.7,5.3,5,5,Yes,open,1005.318859,4223.582296,43.29014452,17
Jambi,Durian,Durzib,420,570,690,94,8.349850298,9.2,6,5,4,Yes,open,468.08444,1343.395284,29.9211293,15.2
Jambi,Durian,Durzib,420,570,690,38,5.556077753,6.4,1.8,5,5,Yes,open,213.8772768,413.7854516,12.09577567,8.2
Jambi,Durian,Durzib,420,570,690,84,5.902541825,11.2,2.8,5,4,Yes,open,357.6707242,817.2497241,26.73803044,14
Jambi,Durian,Durzib,420,570,690,67.5,6.049793385,6.7,2.3,5,4,Yes,open,246.6085269,513.587567,21.48591732,9
Jambi,Durian,Durzib,420,570,690,28,2.898275349,4.8,1.7,5,4,Yes,open,76.96960355,84.44601053,8.912676813,6.5
