"Topic","Description"
"Sampling strategy","The data were sampled in contrasting environments across the lowlands of Sumatra, Java and Kalimantan (Indonesia) and there were no specific observation plot located. The trees were sampled individually"
"Height","The tree height was measured using Timber cruising altimeter carl leiss blume-leiss"
"Growth environment","Purposefully sampled in contrasting environments disregard of the plot status"
