"var_in","method","unit_in","var_out","notes"
"age.yr","","yr","age",""
"a.stba.cm","d","cm","d.ba",""
"a.stbh.cm","d","cm","d.bh",""
"a.stbc.cm","d","cm","d.cr",""
"h.t.m","","m","h.t",""
"h.c.m","","m","h.c",""
"m.lf.g","","g","m.lf",""
"m.st.g","","g","m.st",""
"m.rf.g","","g","m.rf",""
"m.rc.g","","g","m.rc",""
"m.rt.g","","g","m.rt",""
"lf.ma.g.m2","","g.m2","lf.ma",""
"d.st.g.cm3","","g.cm3","d.st",""
"n.lf.per","","g.m2","n.lf","originally percentage, but transformed into g.m2 in the R script"
"n.ss.per","","per","n.ss","percentage"
"n.rf.per","","per","n.rf","percentage"
"n.rc.per","","per","n.rc","percentage"
"lai.m2.m2","","m2.m2","lai",""
