"lookupVariable","lookupValue","newVariable","newValue","source"
NA,NA,"age","10","original datafile"
NA,NA,"family","Pinaceae",""
NA,NA,"pft","EG",""
NA,NA,"species","Pinus taeda",""
NA,NA,"growingCondition","FE",""
NA,NA,"latitude","32.414","found on map"
NA,NA,"longitude","-89.114","found on map"
NA,NA,"location","Newton County, Mississippi USA","datafile"
NA,NA,"vegetation","TempF","DBarneche[from_Remko]"
NA,NA,"h.bh","1.37","DBarneche[from_Scott_Roberts]"
