"","Date","Species","CO2","Temp","Water","Potnum","Leafnum","LA","LeafFW","TipFW","StemFW","RootFW","LeafDW","StemDW","TipDW","RootDW","LMA"
"54","16/01/2009","Saligna",640,"Amb","Wet",12,214,2607.8,43,1.36,48.28,88.64,17.4519,14.1,0.4546,19.49,64.88
"56","16/01/2009","Saligna",640,"Amb","Wet",23,234,2221.4,37.96,1.65,41.24,94.96,14.3826,12.77,0.5657,18.77,62.17
"58","16/01/2009","Saligna",640,"Amb","Wet",43,187,2679.8,48.92,2.03,48.28,73.27,20.8121,15.1,0.7027,14.87,74.86
"60","16/01/2009","Saligna",640,"Amb","Wet",46,215,2469.8,44.07,1.15,45.4,81.43,17.2184,13.12,0.5709,13.4,66.28
"62","13/01/2009","Saligna",280,"Elv","Dry",319,443,3782.7,48.02,0.41,38.07,56.39,13.0091,10.29,0.1292,11.04,33.76
"64","13/01/2009","Saligna",280,"Elv","Dry",321,404,2973.7,34.86,0.22,32.05,33.78,9.0487,8.7,0.0807,4.95,29.63
"66","13/01/2009","Saligna",280,"Elv","Dry",327,348,3342.6,40.11,0.69,40.33,38.06,9.2421,10.51,0.1791,6.01,27.49
"68","13/01/2009","Saligna",280,"Elv","Dry",331,585,3160.5,39.09,1.05,42.02,42.93,13.3832,12.14,0.3413,8.05,41.77
"70","13/01/2009","Saligna",280,"Elv","Dry",335,404,2817.2,34.2,0.38,34.66,38.24,8.6508,8.38,0.114,6.64,29.99
"72","13/01/2009","Saligna",280,"Elv","Wet ",304,394,3086.4,40.53,0.72,30.99,49.43,12.1904,9.4,0.2522,8.44,38.56
"74","13/01/2009","Saligna",280,"Elv","Wet ",316,531,3242.1,41.53,0.97,39.12,48.13,11.8352,11.07,0.3037,6.88,35.93
"76","13/01/2009","Saligna",280,"Elv","Wet ",332,308,2301,29.09,0.21,24.71,27.36,6.7745,6.14,0.0594,3.74,29.12
"78","13/01/2009","Saligna",280,"Elv","Wet ",337,319,3066.5,44.2,1.57,36.6,38.51,14.2209,10.73,0.5305,6.47,45.75
"80","13/01/2009","Saligna",280,"Elv","Wet ",341,399,3365.8,42.92,0.92,35.44,68.39,11.677,9.56,0.2956,9.34,33.87
"82","13/01/2009","Saligna",400,"Elv","Dry",401,647,3341.9,49.71,1.87,50.41,60.26,12.401,14.02,0.6122,12.2,37.01
"84","13/01/2009","Saligna",400,"Elv","Dry",414,858,4370.8,55.16,1.16,51.79,86.63,17.8064,14.94,0.3848,16.91,40.38
"86","13/01/2009","Saligna",400,"Elv","Dry",424,499,3667.9,51.43,1.23,49.45,73.71,15.4581,13.82,0.384,11.29,41.39
"88","13/01/2009","Saligna",400,"Elv","Dry",428,413,4019.9,50.89,1.94,49.24,66.29,15.3729,14.92,0.6476,12.2,36.74
"90","13/01/2009","Saligna",400,"Elv","Dry",438,306,2299.6,37.25,0.71,47.09,48.78,10.859,12.6,0.229,10.24,46.05
"92","13/01/2009","Saligna",400,"Elv","Wet",408,749,3731.3,54.73,1.84,56.78,96.99,17.9896,16.73,0.606,14.9,47.65
"94","13/01/2009","Saligna",400,"Elv","Wet",415,280,2170.4,35.25,0.79,27.32,73.67,10.74,8.05,0.2546,13.03,49.48
"96","13/01/2009","Saligna",400,"Elv","Wet",430,502,3644.2,52.95,1.74,54.28,67.37,16.4929,14.98,0.5979,15.46,44.4
"98","13/01/2009","Saligna",400,"Elv","Wet",431,304,2112.7,44.02,1.21,48.62,69.65,15.1016,13.72,0.4124,15.76,69.96
"100","13/01/2009","Saligna",400,"Elv","Wet",448,263,2608.2,39.05,1.09,43.16,41.46,11.685,11.29,0.3593,8.85,43.67
"102","14/01/2009","Saligna",640,"Elv","Dry",503,521,3870.2,53.89,1.61,63.24,65.84,17.0603,19.45,0.5489,14.87,42.94
"104","14/01/2009","Saligna",640,"Elv","Dry",514,445,3757,55.11,1.19,64.98,94.73,16.3393,20.26,0.4026,13.35,42.43
"106","14/01/2009","Saligna",640,"Elv","Dry",521,366,3431,49.76,0.86,59.72,85.04,13.8804,17.05,0.2801,17.28,39.84
"108","14/01/2009","Saligna",640,"Elv","Dry",530,370,3590.5,55.87,1.65,57.81,78.48,17.0428,17.78,0.5428,14.56,46.4
"110","14/01/2009","Saligna",640,"Elv","Dry",533,373,3176.7,53.28,1.58,63.8,68.05,17.7437,20.25,0.5562,13.16,55.15
"112","14/01/2009","Saligna",640,"Elv","Wet",508,415,3069.5,54.24,1.21,63.27,90.32,18.9822,18.69,0.4216,18.35,60.37
"114","14/01/2009","Saligna",640,"Elv","Wet",519,372,3335.1,51.09,0.89,53.07,139.35,17.8325,15.46,0.2949,30.94,52.38
"116","14/01/2009","Saligna",640,"Elv","Wet",526,346,2574.5,40.94,1.41,44.5,52.56,13.6171,13.83,0.4517,10.69,51.62
"118","14/01/2009","Saligna",640,"Elv","Wet",541,418,3558.4,55.11,1.11,69.32,64.6,18.3162,20.02,0.4181,12.68,50.87
"120","14/01/2009","Saligna",640,"Elv","Wet",549,441,3728.8,49.56,2.02,56.43,79.5,15.5452,16.45,0.5928,12.18,41.22
"122","19/01/2009","Sideroxylon",280,"Amb","Dry",254,167,798.5,16.92,0.67,9.36,26.36,5.8312,3.72,0.2673,7.19,69.13
"124","19/01/2009","Sideroxylon",280,"Amb","Dry",261,108,385.3,10.39,0.49,7.13,27.95,3.8369,2.7,0.138,4.98,89.28
