"","var_in","method","unit_in","var_out","notes","var_in_unchecked_names"
"1","H.cm","","cm","h.t",NA,"H.cm"
"2","CW1.cm","","cm","d.cr",NA,"CW1.cm"
"3","CW2.cm","","cm","d.cr",NA,"CW2.cm"
"4","Al.cm2","","cm2","a.lf",NA,"Al.cm2"
"5","Wl.mg","m5","mg","m.lf",NA,"Wl.mg"
"6","Ws.mg","m5","mg","m.st",NA,"Ws.mg"
"7","Wr.mg","m5","mg","m.rt",NA,"Wr.mg"
"8","SLA.cm2.g","","cm2.g","lf.ma",NA,"SLA.cm2.g"
"9","SpecCode",NA,NA,NA,NA,"SpecCode"
"10","No",NA,NA,NA,NA,"No"
"11","RD.cm",NA,NA,NA,NA,"RD.cm"
"12","RW1.cm",NA,NA,NA,NA,"RW1.cm"
"13","RW2.cm",NA,NA,NA,NA,"RW2.cm"
"14","Fine.RL.cm",NA,NA,NA,NA,"Fine-RL.cm"
