species,treatment,a.cs,h.c,h.t,a.lf,lf.sz,m.t,m.lf,d.st,lf.ma,a.cp
P. horizontalis,LL,0.019974452,0.042794089,0.059366138,0.006792703,0.000849088,NA,NA,0.29,33.72542724,0.012847823
P. horizontalis,LL,0.030566207,0.070414823,0.086986872,0.010101864,0.001010186,NA,NA,0.29,33.72542724,0.018210848
P. horizontalis,LL,0.083592698,0.138510615,0.155082664,0.03577754,0.001987641,NA,NA,0.29,33.72542724,0.036216707
P. horizontalis,LL,0.140858561,0.231204175,0.247776224,0.064309189,0.00267955,NA,NA,0.29,33.72542724,0.042841241
P. horizontalis,LL,0.156609803,0.259027171,0.340778394,0.060907093,0.002768504,NA,NA,0.29,33.72542724,0.042592695
P. horizontalis,LL,0.136536453,0.259027171,0.340778394,0.038147135,0.002243949,0.00176,0.00132,0.29,33.72542724,0.04267576
P. horizontalis,HL,0.052001538,0.109842276,0.116576723,0.012988613,0.002164769,NA,NA,0.3,62.83833968,0.025093797
P. horizontalis,HL,0.160414419,0.160999281,0.160254469,0.063107768,0.003944236,NA,NA,0.3,62.83833968,0.081709555
P. horizontalis,HL,0.262709806,0.309894291,0.343259152,0.103691575,0.003049752,NA,NA,0.3,62.83833968,0.082394883
P. horizontalis,HL,0.430573528,0.352577192,0.411306499,0.238640751,0.002807538,0.01961,0.01499,0.3,62.83833968,0.136424466
P. ipecacuan,HL,0.009837219,0.037297968,0.045403101,0.00411709,0.001029273,NA,NA,0.25,58.01507187,0.007483167
P. ipecacuan,HL,0.009762657,0.037297968,0.045403101,0.00411709,0.001029273,NA,NA,0.25,58.01507187,0.007430731
P. ipecacuan,HL,0.048248946,0.082556939,0.084548058,0.022634907,0.002829363,NA,NA,0.25,58.01507187,0.033922952
P. ipecacuan,HL,0.074037118,0.082557061,0.088542698,0.038126359,0.003812636,NA,NA,0.25,58.01507187,0.050211542
P. ipecacuan,HL,0.101517769,0.102429825,0.108415463,0.053074424,0.004422869,0.0033,0.00308,0.25,58.01507187,0.059421201
P. ipecacuan,ML,0.005161346,0.027932186,0.051856721,0.001804043,0.000451011,NA,NA,0.28,51.04577115,0.003218177
P. ipecacuan,ML,0.006474106,0.026636133,0.050560669,0.002857224,0.000476204,NA,NA,0.28,51.04577115,0.003424479
P. ipecacuan,ML,0.025751483,0.039253751,0.059082266,0.0125461,0.00125461,NA,NA,0.28,51.04577115,0.01789649
P. ipecacuan,ML,0.047401395,0.042717993,0.062546508,0.024928195,0.00207735,NA,NA,0.28,51.04577115,0.032361723
P. ipecacuan,ML,0.067981084,0.060525171,0.080353686,0.040686795,0.0029062,NA,NA,0.28,51.04577115,0.047941102
P. ipecacuan,ML,0.105689771,0.078879461,0.083867046,0.071546004,0.004471625,0.00392,0.00365,0.28,51.04577115,0.065485109
P. ipecacuan,ML,0.005647439,0.02240321,0.045362835,0.002052617,0.000513154,NA,NA,0.28,51.04577115,0.004073859
P. ipecacuan,ML,0.028921755,0.065938886,0.072795124,0.0143454,0.001793175,NA,NA,0.28,51.04577115,0.020403979
P. ipecacuan,ML,0.058156239,0.065940024,0.076735494,0.026906122,0.002690612,NA,NA,0.28,51.04577115,0.040542845
P. ipecacuan,ML,0.074375851,0.065940024,0.076735494,0.038673302,0.003222775,NA,NA,0.28,51.04577115,0.04793658
P. ipecacuan,ML,0.089656975,0.069044848,0.076735494,0.06159077,0.003849423,0.00342,0.00314,0.28,51.04577115,0.048622373
P. ipecacuan,HL,0.024170419,0.042934348,0.055258089,0.009983687,0.001663948,NA,NA,0.25,58.01507187,0.012474728
P. ipecacuan,HL,0.043128699,0.094130206,0.079179498,0.019454418,0.002431802,0.00117,0.00112,0.25,58.01507187,0.021646586
P. ipecacuan,HL,0.085467612,0.106967299,0.092016592,0.045501791,0.003791816,0.00274,0.00264,0.25,58.01507187,0.04310566
P. ipecacuan,HL,0.105020898,0.12871443,0.113763723,0.059240575,0.00423147,0.00367,0.00344,0.25,58.01507187,0.048602633
P. ipecacuan,HL,0.120435512,0.132120177,0.117169469,0.079153808,0.004947113,0.00485,0.00459,0.25,58.01507187,0.057395774
P. ipecacuan,LL,0.004349932,0.01461222,0.03392522,0.001181366,0.000295341,NA,NA,0.47,27.8,0.003493305
P. ipecacuan,LL,0.008186138,0.035260019,0.044811821,0.002129395,0.000354899,NA,NA,0.47,27.8,0.00405378
P. ipecacuan,LL,0.013448343,0.052477449,0.062029251,0.004449144,0.000444914,NA,NA,0.47,27.8,0.006610926
P. ipecacuan,LL,0.013448343,0.052477449,0.062029251,0.004449144,0.000444914,NA,NA,0.47,27.8,0.006610926
P. ipecacuan,LL,0.021388113,0.067694583,0.077246385,0.008068795,0.000620677,NA,NA,0.47,27.8,0.009929864
P. ipecacuan,LL,0.034970389,0.06538275,0.074934551,0.014210028,0.000947335,0.00046,0.00052,0.47,27.8,0.019483053
P. ipecacuan,LL,NA,0.01278934,0.025279237,0.000674113,0.000337056,NA,NA,0.47,27.8,0.002261988
P. ipecacuan,LL,0.005257977,0.029145838,0.041214376,0.001502003,0.000375501,NA,NA,0.47,27.8,0.00315202
P. ipecacuan,LL,0.013699789,0.041535642,0.05360418,0.004326869,0.000540859,NA,NA,0.47,27.8,0.007608705
P. ipecacuan,LL,0.013699789,0.041535642,0.05360418,0.004326869,0.000540859,NA,NA,0.47,27.8,0.007608705
P. ipecacuan,LL,0.017434649,0.039525055,0.051593594,0.005910299,0.000738787,NA,NA,0.47,27.8,0.01040833
P. ipecacuan,LL,0.023907895,0.030615052,0.04268359,0.00937991,0.000937991,0.00031,0.00026,0.47,27.8,0.01771785
P. ipecacuan,HL,0.007978654,0.029387435,0.035804047,0.003482415,0.000870604,NA,NA,0.25,58.01507187,0.006382669
P. ipecacuan,HL,0.022399047,0.06899909,0.063133518,0.008500934,0.001416822,NA,NA,0.25,58.01507187,0.012557864
P. ipecacuan,HL,0.06115361,0.06899909,0.063133518,0.031796204,0.00317962,NA,NA,0.25,58.01507187,0.037977178
P. ipecacuan,HL,0.101863329,0.081267177,0.075401605,0.054443362,0.004536947,NA,NA,0.25,58.01507187,0.070506948
P. ipecacuan,HL,0.128169141,0.08216183,0.088578443,0.073986698,0.006726063,0.00457,0.00429,0.25,58.01507187,0.082466613
P. ipecacuan,LL,NA,0.003757947,0.020754864,0.000582006,0.000291003,NA,NA,0.47,27.8,0.001602245
P. ipecacuan,LL,0.007164666,0.019678135,0.036794177,0.002121119,0.00035352,NA,NA,0.47,27.8,0.004394892
P. ipecacuan,LL,0.007164666,0.019678135,0.036794177,0.002121119,0.00035352,NA,NA,0.47,27.8,0.004394892
P. ipecacuan,LL,0.009431813,0.022484823,0.039600865,0.003174336,0.000453477,NA,NA,0.47,27.8,0.006623093
P. ipecacuan,LL,0.01806739,0.05112965,0.066566644,0.005364869,0.00076641,0.00017,0.00015,0.47,27.8,0.011317679
P. limonensis,HL,0.158956895,0.13899218,0.14652242,0.044737159,0.007456193,NA,NA,0.27,95.25945577,0.111519155
P. limonensis,HL,0.320013664,0.299482797,0.307013037,0.115338248,0.011533825,NA,NA,0.27,95.25945577,0.141778909
P. limonensis,HL,0.359777094,0.250807726,0.258337966,0.161820411,0.013485034,NA,NA,0.27,95.25945577,0.189168586
P. limonensis,HL,0.579818893,0.521890325,0.529420565,0.2102569,0.011680939,NA,NA,0.27,95.25945577,0.178907
P. limonensis,HL,0.778949978,0.657181181,0.664711421,0.239238604,0.011392314,0.04194,0.0228,0.27,95.25945577,0.1837425
P. limonensis,HL,0.113055677,0.147762488,0.142709902,0.030366157,0.005061026,NA,NA,0.27,95.25945577,0.064292691
P. limonensis,HL,0.215998034,0.179198096,0.174145509,0.085889496,0.00858895,NA,NA,0.27,95.25945577,0.12211244
P. limonensis,HL,0.354804431,0.338610497,0.335543952,0.157567233,0.009847952,NA,NA,0.27,95.25945577,0.158806979
P. limonensis,HL,0.492126211,0.503373767,0.500307221,0.20500052,0.010250026,NA,NA,0.27,95.25945577,0.160242359
P. limonensis,HL,0.535492955,0.507086345,0.504019799,0.22123671,0.011061836,0.03523,0.02108,0.27,95.25945577,0.166904391
P. limonensis,ML,0.045050634,0.086479946,0.091480228,0.012971526,0.002161921,NA,NA,0.3,68.29049472,0.021834834
P. limonensis,ML,0.144832644,0.166374112,0.157986981,0.070787041,0.00589892,NA,NA,0.3,68.29049472,0.081849575
P. limonensis,ML,0.339225428,0.317660274,0.30775118,0.145529136,0.011194549,NA,NA,0.3,68.29049472,0.141294837
P. limonensis,ML,0.400044087,0.369611259,0.37461154,0.159432756,0.012264058,NA,NA,0.3,68.29049472,0.185898588
P. limonensis,ML,0.442638801,0.399808186,0.44357854,0.194966157,0.017724196,0.02223,0.01332,0.3,68.29049472,0.169993405
P. limonensis,ML,0.063490703,0.108130834,0.141457453,0.019955552,0.002494444,NA,NA,0.3,68.29049472,0.033573055
P. limonensis,ML,0.066822566,0.123669901,0.15699652,0.023465258,0.002346526,NA,NA,0.3,68.29049472,0.032073892
P. limonensis,ML,0.285222206,0.167555257,0.200881876,0.118612594,0.008472328,NA,NA,0.3,68.29049472,0.180611452
P. limonensis,ML,0.375834306,0.21471219,0.248038809,0.19138434,0.011961521,NA,NA,0.3,68.29049472,0.206021824
P. limonensis,ML,0.503859425,0.299446551,0.353897309,0.269193465,0.014955192,NA,NA,0.3,68.29049472,0.223098175
P. limonensis,ML,0.648721987,0.32549275,0.379943508,0.326346298,0.017176121,0.02998,0.02229,0.3,68.29049472,0.248973056
P. limonensis,LL,0.042112446,0.080479089,0.107708333,0.01024965,0.001708275,0.0011,0.00043,0.277,40.74,0.020361264
P. limonensis,LL,0.042112446,0.080479089,0.107708333,0.01024965,0.001708275,NA,NA,0.277,40.74,0.020361264
P. limonensis,LL,0.115388368,0.211997511,0.239226755,0.029406491,0.002940649,0.00161,0.001,0.277,40.74,0.038964327
P. limonensis,LL,0.151579567,0.205325423,0.232554666,0.042553057,0.003546088,0.00266,0.00179,0.277,40.74,0.064798914
P. limonensis,LL,0.184902754,0.205325423,0.232554666,0.068095935,0.004863995,0.00419,0.00287,0.277,40.74,0.07922983
P. limonensis,ML,0.048245761,0.081335783,0.087226198,0.022319504,0.00223195,NA,NA,0.3,68.29049472,0.026845215
P. limonensis,ML,0.143451294,0.152861754,0.151394738,0.075978656,0.005427047,NA,NA,0.3,68.29049472,0.105639937
P. limonensis,ML,0.34837671,0.250223915,0.233111695,0.168955001,0.011263667,NA,NA,0.3,68.29049472,0.182248087
P. limonensis,ML,0.484301528,0.325046132,0.316928429,0.218314236,0.01364464,NA,NA,0.3,68.29049472,0.201644669
P. limonensis,ML,0.608156259,0.448942705,0.451473253,0.20538611,0.013692407,0.02291,0.01403,0.3,68.29049472,0.20547267
P. limonensis,LL,0.024806252,0.070077105,0.08872325,0.005658317,0.000943053,0.00072,0.00024,0.277,40.74,0.01299616
P. limonensis,LL,0.03444366,0.081693512,0.100339657,0.009470834,0.001183854,NA,NA,0.277,40.74,0.016165029
P. limonensis,LL,0.03444366,0.081693512,0.100339657,0.009470834,0.001183854,0.00094,4.00E-04,0.277,40.74,0.016165029
P. limonensis,LL,0.089846543,0.113869763,0.132515908,0.031862269,0.002655189,0.00235,0.00134,0.277,40.74,0.057333832
P. limonensis,LL,0.150926416,0.156441469,0.175087613,0.061227502,0.003826719,0.00418,0.00258,0.277,40.74,0.094909632
P. limonensis,HL,0.085749751,0.084561854,0.13612214,0.025505716,0.004250953,NA,NA,0.27,95.25945577,0.050603254
P. limonensis,HL,0.140270257,0.098146485,0.136652989,0.067404863,0.008425608,NA,NA,0.27,95.25945577,0.107508562
P. limonensis,HL,0.440421142,0.33634987,0.302297982,0.157939804,0.011281415,NA,NA,0.27,95.25945577,0.18620224
P. limonensis,HL,0.768365158,0.457631581,0.432329569,0.223565275,0.011178264,NA,NA,0.27,95.25945577,0.222772545
P. limonensis,HL,0.912856916,0.534322884,0.509020872,0.285321824,0.010190065,0.0447,0.02719,0.27,95.25945577,0.296187696
P. micrantha,HL,0.048446062,0.10079231,0.129746299,0.013359201,0.002226533,NA,NA,0.3,67.70007904,0.027359015
P. micrantha,HL,0.194248499,0.196277325,0.192925535,0.048959201,0.00489592,NA,NA,0.3,67.70007904,0.079640346
P. micrantha,HL,0.284287263,0.175579036,0.228962521,0.113646659,0.008117619,NA,NA,0.3,67.70007904,0.162160185
P. micrantha,HL,0.448614122,0.28674637,0.334427701,0.183195785,0.007633158,NA,NA,0.3,67.70007904,0.175462962
P. micrantha,HL,0.502308431,0.312465682,0.360147013,0.222271559,0.007409052,0.0213,0.01505,0.3,67.70007904,0.185238869
P. micrantha,ML,0.007766497,0.040425204,0.067813126,0.001829631,0.000304939,NA,NA,0.24,57.36317929,0.004059012
P. micrantha,ML,0.086416157,0.101989886,0.129377808,0.02315246,0.002315246,NA,NA,0.24,57.36317929,0.0587508
P. micrantha,ML,0.304872625,0.166301725,0.218852009,0.092528349,0.009252835,NA,NA,0.24,57.36317929,0.209843001
P. micrantha,ML,0.520920148,0.208842355,0.261392639,0.214786369,0.015341883,NA,NA,0.24,57.36317929,0.335240091
P. micrantha,ML,0.971207165,0.419594414,0.517283108,0.273055134,0.027305513,0.02266,0.01567,0.24,57.36317929,0.35391049
P. micrantha,ML,NA,0.001326642,0.025113241,0.000303361,0.000151681,NA,NA,0.24,57.36317929,0.001674382
P. micrantha,ML,0.020461289,0.052986536,0.07628654,0.00482355,0.000803925,NA,NA,0.24,57.36317929,0.013150676
P. micrantha,ML,0.077242141,0.092860146,0.094661469,0.023720014,0.003388573,NA,NA,0.24,57.36317929,0.052934966
P. micrantha,ML,0.196569944,0.171691524,0.169476173,0.06705599,0.006705599,NA,NA,0.24,57.36317929,0.098560311
P. micrantha,ML,0.465422509,0.243027867,0.240812516,0.158825148,0.012217319,0.01066,0.00912,0.24,57.36317929,0.25607594
P. micrantha,HL,0.050848729,0.099259123,0.117675359,0.012535604,0.002089267,NA,NA,0.3,67.70007904,0.028846153
P. micrantha,HL,0.163523635,0.208253701,0.205568074,0.048225508,0.004822551,NA,NA,0.3,67.70007904,0.080380584
P. micrantha,HL,0.335433775,0.27321773,0.274529666,0.107401465,0.008950122,NA,NA,0.3,67.70007904,0.149765236
P. micrantha,HL,0.406041704,0.276151462,0.277463398,0.145278778,0.010377056,NA,NA,0.3,67.70007904,0.184879233
P. micrantha,HL,0.544465966,0.408144487,0.421772583,0.177018413,0.014751534,0.01698,0.01198,0.3,67.70007904,0.221156278
P. micrantha,LL,0.003383116,0.01678859,0.052158899,0.000876412,0.000219103,NA,NA,0.29,22.1701805,0.002451952
P. micrantha,LL,0.015420493,0.060215298,0.095585606,0.004087981,0.000510998,NA,NA,0.29,22.1701805,0.008917485
P. micrantha,LL,0.013112783,0.037983954,0.100584845,0.004052226,0.000578889,NA,NA,0.29,22.1701805,0.008934097
P. micrantha,LL,0.026098062,0.053724982,0.123936098,0.007234969,0.001205828,NA,NA,0.29,22.1701805,0.016640134
P. micrantha,LL,NA,0.032757218,0.102968334,0.004965224,0.001655075,0.00017,0.00011,0.29,22.1701805,0.01700124
P. micrantha,HL,0.054211448,0.092162786,0.124809049,0.015211703,0.002535284,NA,NA,0.3,67.70007904,0.038598638
P. micrantha,HL,0.210928662,0.200739899,0.201262098,0.055425213,0.005542521,NA,NA,0.3,67.70007904,0.10426205
P. micrantha,HL,0.434341352,0.340540999,0.341063197,0.152964018,0.008498001,NA,NA,0.3,67.70007904,0.216457816
P. micrantha,HL,0.497080312,0.293320188,0.367140147,0.183905556,0.01226037,NA,NA,0.3,67.70007904,0.216618272
P. micrantha,HL,0.558905651,0.317717971,0.391537929,0.213483545,0.013342722,0.01963,0.01445,0.3,67.70007904,0.216774045
P. micrantha,LL,NA,0.006139806,0.033766146,0.000295463,0.000147732,NA,NA,0.29,22.1701805,0.000981684
P. micrantha,LL,NA,0.006139806,0.033766146,0.000295463,0.000147732,NA,NA,0.29,22.1701805,0.000981684
P. micrantha,LL,0.014103713,0.04334187,0.07096821,0.003495391,0.000582565,NA,NA,0.29,22.1701805,0.008710599
P. micrantha,LL,0.036294161,0.069779466,0.081976684,0.010875321,0.001359415,NA,NA,0.29,22.1701805,0.02514629
P. micrantha,LL,0.057214839,0.073298674,0.11430011,0.015637102,0.003909275,NA,NA,0.29,22.1701805,0.042146165
P. micrantha,LL,0.098001856,0.108302415,0.137325648,0.032758449,0.005459742,0.00086,0.00073,0.29,22.1701805,0.058154459
P. micrantha,LL,NA,0.007016921,0.027699556,0.000332881,0.000166441,NA,NA,0.29,22.1701805,0.001397763
P. micrantha,LL,0.002289629,0.010733408,0.029886331,0.000589263,0.000147316,NA,NA,0.29,22.1701805,0.001695678
P. micrantha,LL,0.003827328,0.011559787,0.030713244,0.001390285,0.000231714,NA,NA,0.29,22.1701805,0.003265289
P. micrantha,LL,0.016675888,0.047510194,0.06666365,0.005032576,0.000503258,NA,NA,0.29,22.1701805,0.010442193
P. micrantha,LL,0.021657035,0.055541079,0.073948344,0.005681154,0.001420289,NA,NA,0.29,22.1701805,0.01331763
P. micrantha,LL,NA,0.015774323,0.071823223,0.003865136,0.001932568,0.00012,8.60E-05,0.29,22.1701805,0.014688694
P. pittieri,ML,0.009026359,0.052574636,0.074509493,0.002902016,0.000362752,NA,NA,0.28,38.96233468,0.004044652
P. pittieri,ML,0.128960525,0.234320809,0.268972701,0.048413338,0.001052464,NA,NA,0.28,38.96233468,0.051478522
P. pittieri,ML,0.305697487,0.339288999,0.373940891,0.093841134,0.001144404,NA,NA,0.28,38.96233468,0.120760347
P. pittieri,ML,0.425775535,0.426973236,0.496384959,0.168182272,0.001064445,0.01069,0.00656,0.28,38.96233468,0.153904409
P. pittieri,ML,0.011366499,0.029664503,0.069669298,0.002918882,0.000583776,NA,NA,0.28,38.96233468,0.007824118
P. pittieri,ML,0.021271483,0.053050958,0.064660403,0.006982508,0.000997501,NA,NA,0.28,38.96233468,0.012464158
P. pittieri,ML,0.139625118,0.246865506,0.277472057,0.048058082,0.001456306,NA,NA,0.28,38.96233468,0.059266135
P. pittieri,ML,0.171824847,0.290124689,0.330129484,0.077301516,0.001680468,NA,NA,0.28,38.96233468,0.065212351
P. pittieri,ML,0.431417455,0.396226422,0.436231218,0.14101121,0.00169893,NA,NA,0.28,38.96233468,0.156980402
P. pittieri,ML,0.523766153,0.432979694,0.501839062,0.194529847,0.001648558,0.01315,0.00759,0.28,38.96233468,0.20347999
P. pittieri,HL,0.025248454,0.131940196,0.145438041,0.00893945,0.000893945,NA,NA,0.25,41.8,0.006234938
P. pittieri,HL,0.149265882,0.21589931,0.307843766,0.043784253,0.001459475,NA,NA,0.25,41.8,0.067905383
P. pittieri,HL,0.284908418,0.301194405,0.421887701,0.112186466,0.001558145,NA,NA,0.25,41.8,0.1039071
P. pittieri,HL,0.351077515,0.330627878,0.451321174,0.151732765,0.001502305,0.01064,0.00639,0.25,41.8,0.119605617
P. pittieri,HL,0.080387461,0.161318884,0.194457937,0.02615179,0.001452877,NA,NA,0.25,41.8,0.032930118
P. pittieri,HL,0.186933209,0.301989137,0.33512819,0.075313802,0.001298514,NA,NA,0.25,41.8,0.051522507
P. pittieri,HL,0.321384655,0.328790986,0.388365971,0.151073595,0.00139883,NA,NA,0.25,41.8,0.115622886
P. pittieri,HL,0.368582199,0.358541442,0.418116428,0.193769316,0.001283241,0.01415,0.0081,0.25,41.8,0.123853624
P. pittieri,HL,0.098000711,0.220473937,0.222215954,0.03989159,0.001534292,NA,NA,0.25,41.8,0.028835703
P. pittieri,HL,0.26477788,0.368913709,0.370655726,0.130156366,0.001399531,NA,NA,0.25,41.8,0.084864144
P. pittieri,HL,0.364527931,0.41176133,0.444851372,0.220368945,0.001135922,NA,NA,0.25,41.8,0.121979495
P. pittieri,HL,0.382127618,0.434878474,0.467968516,0.258089938,0.00091847,0.02007,0.01079,0.25,41.8,0.128779856
P. pittieri,ML,0.010823949,0.031872379,0.055102767,0.003278421,0.000546404,NA,NA,0.28,38.96233468,0.007133518
P. pittieri,ML,0.047104343,0.113130695,0.136361084,0.012840618,0.000917187,NA,NA,0.28,38.96233468,0.016272406
P. pittieri,ML,0.086497941,0.183072993,0.206303381,0.022649914,0.001132496,NA,NA,0.28,38.96233468,0.022486874
P. pittieri,ML,0.181822522,0.284933053,0.308163442,0.042957334,0.001073933,NA,NA,0.28,38.96233468,0.054511749
P. pittieri,ML,0.318670645,0.363143323,0.407851007,0.060655616,0.001213112,0.00442,0.00237,0.28,38.96233468,0.120262219
P. pittieri,LL,0.00869343,0.023533199,0.039762664,0.002054802,0.000513701,7.00E-05,6.00E-05,0.27,28.97478992,0.00624286
P. pittieri,LL,0.01369094,0.047829194,0.064058659,0.004116035,0.000514504,0.00014,0.00012,0.27,28.97478992,0.007555569
P. pittieri,LL,0.032554941,0.087795576,0.104025041,0.01127248,0.000939373,0.00037,0.00033,0.27,28.97478992,0.016998656
P. pittieri,LL,0.063629629,0.151961091,0.174047758,0.023500564,0.001678612,0.00083,0.00068,0.27,28.97478992,0.024850327
P. pittieri,LL,0.120193158,0.251484876,0.273571543,0.038690296,0.001842395,0.00154,0.00112,0.27,28.97478992,0.029533263
P. pittieri,LL,0.307921656,0.390806137,0.412892804,0.104034622,0.002600866,NA,NA,0.27,28.97478992,0.085516861
P. pittieri,LL,0.016221815,0.053493574,0.068002155,0.003748206,0.000937052,0.00013,0.00011,0.27,28.97478992,0.012020687
P. pittieri,LL,0.018245179,0.076555912,0.071836852,0.007433991,0.001061999,0.00025,0.00022,0.27,28.97478992,0.009591293
P. pittieri,LL,0.02325799,0.097802314,0.093083254,0.01272638,0.001272638,0.00042,0.00037,0.27,28.97478992,0.009576583
P. pittieri,LL,0.048294078,0.137722067,0.145775424,0.028466114,0.002587829,0.00094,0.00083,0.27,28.97478992,0.016545406
P. pittieri,LL,0.069460236,0.169566294,0.22012975,0.031282559,0.002406351,0.00122,0.00091,0.27,28.97478992,0.020083809
P. pittieri,LL,0.07030601,0.126445733,0.256792176,0.032519191,0.001300768,NA,NA,0.27,28.97478992,0.031310187
P. psychotrif,HL,0.178284517,0.189334762,0.254672159,0.045256077,0.00565701,NA,NA,0.3,74.36647589,0.08968502
P. psychotrif,HL,0.495762339,0.463665378,0.531002469,0.15309652,0.004252681,NA,NA,0.3,74.36647589,0.186987023
P. psychotrif,HL,0.644282515,0.528422622,0.595759714,0.220635337,0.003558634,NA,NA,0.3,74.36647589,0.238329551
P. psychotrif,HL,0.641447902,0.527649822,0.595759714,0.235761676,0.003416836,NA,NA,0.3,74.36647589,0.24092939
P. psychotrif,HL,0.690684418,0.509260387,0.665051013,0.240083258,0.003117964,0.0315,0.01786,0.3,74.36647589,0.270028459
P. psychotrif,ML,0.014179335,0.038252841,0.08760326,0.003634713,0.000605786,NA,NA,0.24,56.22939304,0.007957139
P. psychotrif,ML,0.16912921,0.171146747,0.220497166,0.058604992,0.004186071,NA,NA,0.24,56.22939304,0.093870164
P. psychotrif,ML,0.29835634,0.276497393,0.325847812,0.102367054,0.00538774,NA,NA,0.24,56.22939304,0.123467996
P. psychotrif,ML,0.543162995,0.44443023,0.519230244,0.228420559,0.005438585,0.01788,0.01284,0.24,56.22939304,0.164666468
P. psychotrif,ML,0.052883507,0.080734759,0.116870205,0.016747247,0.002093406,NA,NA,0.24,56.22939304,0.030394627
P. psychotrif,ML,0.133131275,0.195536004,0.23167145,0.035990766,0.002999231,NA,NA,0.24,56.22939304,0.044470141
P. psychotrif,ML,0.447772296,0.50300298,0.539138426,0.157617822,0.005253927,0.01282,0.00886,0.24,56.22939304,0.135916273
P. psychotrif,HL,0.582921435,0.536115304,0.520891083,0.15412039,0.004532953,NA,NA,0.3,74.36647589,0.144970116
P. psychotrif,HL,0.633628341,0.587841682,0.573617309,0.186270074,0.003582117,0.02566,0.01386,0.3,74.36647589,0.139347082
P. psychotrif,ML,0.042079709,0.079962517,0.098238466,0.011944253,0.001990709,NA,NA,0.24,56.22939304,0.029173044
P. psychotrif,ML,0.294116053,0.320498149,0.341769986,0.072692561,0.005192326,NA,NA,0.24,56.22939304,0.111907657
P. psychotrif,ML,0.552284676,0.575963467,0.597235305,0.15334881,0.005476743,NA,NA,0.24,56.22939304,0.135575645
P. psychotrif,ML,0.796232139,0.675229113,0.69650095,0.210724422,0.005017248,0.01873,0.01184,0.24,56.22939304,0.213340387
P. psychotrif,HL,0.274537382,0.235403889,0.291374534,0.06782425,0.005652021,NA,NA,0.3,74.36647589,0.117487491
P. psychotrif,HL,0.616162114,0.467523967,0.523494612,0.204031055,0.004250647,NA,NA,0.3,74.36647589,0.144951835
P. psychotrif,HL,0.734074674,0.524227363,0.580198008,0.28585568,0.003664816,NA,NA,0.3,74.36647589,0.175189374
P. psychotrif,HL,0.726591991,0.524227363,0.580198008,0.310504466,0.003168413,NA,NA,0.3,74.36647589,0.178400907
P. psychotrif,HL,0.705525992,0.524363267,0.583626677,0.318501397,0.002745702,0.04454,0.02369,0.3,74.36647589,0.179332893
P. psychotrif,LL,0.029281772,0.077822861,0.121721069,0.007439631,0.000929954,NA,NA,0.22,36.8,0.014429543
P. psychotrif,LL,0.040715638,0.086704554,0.130602761,0.010516543,0.001051654,NA,NA,0.22,36.8,0.017357547
P. psychotrif,LL,0.085827491,0.213887217,0.274231893,0.022254105,0.0020231,NA,NA,0.22,36.8,0.031907492
P. psychotrif,LL,0.139490965,0.208643617,0.262491354,0.044196172,0.002946411,0.00207,0.00163,0.22,36.8,0.052311627
P. psychotrif,LL,0.083381505,0.170042748,0.220796322,0.020434759,0.002554345,NA,NA,0.22,36.8,0.034094691
P. psychotrif,LL,0.099625423,0.170042748,0.220796322,0.032873923,0.002739494,NA,NA,0.22,36.8,0.037732689
P. psychotrif,LL,0.177811343,0.254047932,0.304801506,0.059235468,0.003702217,NA,NA,0.22,36.8,0.067131978
P. psychotrif,LL,0.196710792,0.266717618,0.32868494,0.063275905,0.005272992,0.00313,0.00233,0.22,36.8,0.073748753
P. pubescens,HL,0.010351974,0.045982213,0.065945125,0.002194023,0.000365671,NA,NA,0.25,36.6,0.005759919
P. pubescens,HL,0.060126819,0.138069685,0.158032597,0.015019534,0.001365412,NA,NA,0.25,36.6,0.029683519
P. pubescens,HL,0.115730354,0.248047694,0.279064404,0.034489724,0.002463552,NA,NA,0.25,36.6,0.030794226
P. pubescens,HL,0.113729207,0.304400213,0.392736904,0.0446158,0.003717983,NA,NA,0.25,36.6,0.033489166
P. pubescens,HL,0.126406641,0.338620166,0.426956857,0.049051803,0.003773216,0.0027,0.0018,0.25,36.6,0.028942592
P. pubescens,ML,0.00936582,0.033264858,0.065127593,0.001830351,0.000457588,NA,NA,0.27,23.17326791,0.006357836
P. pubescens,ML,0.01751997,0.055180708,0.087043443,0.003798977,0.000474872,NA,NA,0.27,23.17326791,0.008192495
P. pubescens,ML,0.0322867,0.072390302,0.106339668,0.009413918,0.000784493,NA,NA,0.27,23.17326791,0.014834298
P. pubescens,ML,0.215704783,0.388202413,0.422151779,0.045465968,0.002066635,NA,NA,0.27,23.17326791,0.047358113
P. pubescens,ML,0.530200316,0.720573696,0.754523062,0.101234653,0.003615523,0.00476,0.00235,0.27,23.17326791,0.09988775
P. pubescens,ML,0.021359971,0.033069996,0.090101434,0.005143099,0.000857183,NA,NA,0.27,23.17326791,0.012782375
P. pubescens,ML,0.031293457,0.059660608,0.116692046,0.00955619,0.001194524,NA,NA,0.27,23.17326791,0.021838306
P. pubescens,ML,0.109601785,0.191907707,0.248939145,0.024209653,0.002017471,NA,NA,0.27,23.17326791,0.038355929
P. pubescens,ML,0.420282871,0.606932198,0.663963636,0.084379173,0.004218959,0.00468,0.00196,0.27,23.17326791,0.083379083
