"dataset","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","family","pft","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","growingCondition","status","light","Note","studyName"
"Ishihara0000","Japan-Yamashiro-",34.78,135.83,"TempF",NA,NA,NA,NA,"Ilex macropoda","Aquifoliaceae","DA",NA,25.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007853982,NA,NA,6.42,2.4,NA,0.107,NA,NA,0.88,NA,NA,NA,14.91,23.45,7.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Goto, Yoshiaki; Kominami, Yuji; Miyama, Takafumi; Tamai, Koji; Kanazawa, Yoichi. (2003) Aboveground biomass and net primary production of a broad-leaved secondary forest in the southern part of Kyoto prefecture, central Japan [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 2: 115-147.","Goto2003"
"Ishihara0000","Japan-Yamashiro-",34.78,135.83,"TempF",NA,NA,NA,NA,"Ilex macropoda","Aquifoliaceae","DA",NA,25.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00430084,NA,NA,7.2,2.5,NA,0.105,NA,NA,0.91,NA,NA,NA,13.72,19.67,5.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Goto, Yoshiaki; Kominami, Yuji; Miyama, Takafumi; Tamai, Koji; Kanazawa, Yoichi. (2003) Aboveground biomass and net primary production of a broad-leaved secondary forest in the southern part of Kyoto prefecture, central Japan [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 2: 115-147.","Goto2003"
"Ishihara0000","Japan-Yamashiro-",34.78,135.83,"TempF",NA,NA,NA,NA,"Ilex macropoda","Aquifoliaceae","DA",NA,6.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002123717,NA,NA,5.83,1.65,NA,0.06,NA,NA,0.32,NA,NA,NA,3.78,5.32,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Goto, Yoshiaki; Kominami, Yuji; Miyama, Takafumi; Tamai, Koji; Kanazawa, Yoichi. (2003) Aboveground biomass and net primary production of a broad-leaved secondary forest in the southern part of Kyoto prefecture, central Japan [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 2: 115-147.","Goto2003"
"Ishihara0000","Japan-Yamashiro-",34.78,135.83,"TempF",NA,NA,NA,NA,"Mallotus japonicus","Euphorbiaceae","DA",NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003019071,NA,NA,8.09,3,NA,0.064,NA,NA,0.8,NA,NA,NA,7.4,10.13,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Goto, Yoshiaki; Kominami, Yuji; Miyama, Takafumi; Tamai, Koji; Kanazawa, Yoichi. (2003) Aboveground biomass and net primary production of a broad-leaved secondary forest in the southern part of Kyoto prefecture, central Japan [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 2: 115-147.","Goto2003"
"Ishihara0000","Japan-Yamashiro-",34.78,135.83,"TempF",NA,NA,NA,NA,"Prunus verecunda","Rosaceae","DA",NA,21.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003117245,NA,NA,11.35,4.5,NA,0.073,NA,NA,0.83,NA,NA,NA,15.99,19.53,2.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Goto, Yoshiaki; Kominami, Yuji; Miyama, Takafumi; Tamai, Koji; Kanazawa, Yoichi. (2003) Aboveground biomass and net primary production of a broad-leaved secondary forest in the southern part of Kyoto prefecture, central Japan [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 2: 115-147.","Goto2003"
"Ishihara0000","Japan-Yamashiro-",34.78,135.83,"TempF",NA,NA,NA,NA,"Castanea crenata","Fagaceae","DA",36,61.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006503882,NA,NA,11.27,7.57,NA,0.132,NA,NA,4.24,NA,NA,NA,45.6,56.55,6.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Goto, Yoshiaki; Kominami, Yuji; Miyama, Takafumi; Tamai, Koji; Kanazawa, Yoichi. (2003) Aboveground biomass and net primary production of a broad-leaved secondary forest in the southern part of Kyoto prefecture, central Japan [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 2: 115-147.","Goto2003"
"Ishihara0000","Japan-Yamashiro-",34.78,135.83,"TempF",NA,NA,NA,NA,"Castanea crenata","Fagaceae","DA",32,21.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004185387,NA,NA,8.91,5.28,NA,0.097,NA,NA,0.99,NA,NA,NA,17.84,21.14,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Goto, Yoshiaki; Kominami, Yuji; Miyama, Takafumi; Tamai, Koji; Kanazawa, Yoichi. (2003) Aboveground biomass and net primary production of a broad-leaved secondary forest in the southern part of Kyoto prefecture, central Japan [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 2: 115-147.","Goto2003"
"Ishihara0000","Japan-Yamashiro-",34.78,135.83,"TempF",NA,NA,NA,NA,"Quercus serrata","Fagaceae","DA",59,514.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.15,NA,NA,0.407,NA,NA,43.75,NA,NA,NA,488.86,1171.42,638.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Goto, Yoshiaki; Kominami, Yuji; Miyama, Takafumi; Tamai, Koji; Kanazawa, Yoichi. (2003) Aboveground biomass and net primary production of a broad-leaved secondary forest in the southern part of Kyoto prefecture, central Japan [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 2: 115-147.","Goto2003"
"Ishihara0000","Japan-Yamashiro-",34.78,135.83,"TempF",NA,NA,NA,NA,"Quercus serrata","Fagaceae","DA",46,209.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053502108,NA,NA,10.5,3.1,NA,0.263,NA,NA,20.02,NA,NA,NA,134.62,308.52,153.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Goto, Yoshiaki; Kominami, Yuji; Miyama, Takafumi; Tamai, Koji; Kanazawa, Yoichi. (2003) Aboveground biomass and net primary production of a broad-leaved secondary forest in the southern part of Kyoto prefecture, central Japan [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 2: 115-147.","Goto2003"
"Ishihara0000","Japan-Yamashiro-",34.78,135.83,"TempF",NA,NA,NA,NA,"Quercus serrata","Fagaceae","DA",29,273.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052685294,NA,NA,11.4,1.48,NA,0.25,NA,NA,23.72,NA,NA,NA,170.87,334.89,140.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Goto, Yoshiaki; Kominami, Yuji; Miyama, Takafumi; Tamai, Koji; Kanazawa, Yoichi. (2003) Aboveground biomass and net primary production of a broad-leaved secondary forest in the southern part of Kyoto prefecture, central Japan [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 2: 115-147.","Goto2003"
"Ishihara0000","Japan-Yamashiro-",34.78,135.83,"TempF",NA,NA,NA,NA,"Quercus serrata","Fagaceae","DA",27,114.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03268513,NA,NA,12.26,2.55,NA,0.197,NA,NA,8.89,NA,NA,NA,106.4,181.39,66.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Goto, Yoshiaki; Kominami, Yuji; Miyama, Takafumi; Tamai, Koji; Kanazawa, Yoichi. (2003) Aboveground biomass and net primary production of a broad-leaved secondary forest in the southern part of Kyoto prefecture, central Japan [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 2: 115-147.","Goto2003"
"Ishihara0000","Japan-Yamashiro-",34.78,135.83,"TempF",NA,NA,NA,NA,"Quercus serrata","Fagaceae","DA",42,15.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005674502,NA,NA,7.82,2.85,NA,0.087,NA,NA,1.25,NA,NA,NA,17.93,24.78,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Goto, Yoshiaki; Kominami, Yuji; Miyama, Takafumi; Tamai, Koji; Kanazawa, Yoichi. (2003) Aboveground biomass and net primary production of a broad-leaved secondary forest in the southern part of Kyoto prefecture, central Japan [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 2: 115-147.","Goto2003"
"Ishihara0000","Japan-Yamashiro-",34.78,135.83,"TempF",NA,NA,NA,NA,"Quercus serrata","Fagaceae","DA",30,4.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002290221,NA,NA,5.7,1.49,NA,0.067,NA,NA,0.24,NA,NA,NA,5.3,6.95,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Goto, Yoshiaki; Kominami, Yuji; Miyama, Takafumi; Tamai, Koji; Kanazawa, Yoichi. (2003) Aboveground biomass and net primary production of a broad-leaved secondary forest in the southern part of Kyoto prefecture, central Japan [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 2: 115-147.","Goto2003"
