Nutrition,age,a.lf,a.ss,a.sh,a.st,a.st1,a.cp,a.cs,h.t,h.c,m.lf,m.st,m.sb,m.br,m.br,m.rf,m.rc,n.lf,n.ss,n.sb,n.rf,pft,growingCondition,status,light,group,location,latitude,longitude,vegetation,lai,map,mat
0 K - 0 Na,3,7.42,12,18.26,40.29,30.26,88,0.61,12.3,,0.48,7.48,1.507,0.778,2.346,,,0.0018,0.0015,0.0034,,EA,PM,1,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.4,1360,20
0 K - 0 Na,3,18.53,16.9,26.31,56.73,43.2,87,0.59,14.4,3,1.47,10.09,5.083,1.303,1.386,,,0.0017,0.0013,0.0029,,EA,PM,1,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.4,1360,20
0 K - 0 Na,3,19.64,23.22,36.53,77.96,59.74,96,0.72,13.3,5.9,1.65,13.53,2.982,3.946,1.327,,,0.0024,0.0015,0.003,,EA,PM,2,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.4,1360,20
0 K - 0 Na,3,27.19,22.78,36.53,76.47,59.31,106,0.87,12.8,3.2,2.28,17.2,3.83,2.581,2.931,,,0.0018,0.0013,0.0029,,EA,PM,2,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.4,1360,20
0 K - 0 Na,3,57.7,32.62,60.46,109.53,93.08,106,0.88,14,,3.73,25.49,5.133,4.668,5.002,,,0.0013,0.0011,0.0028,,EA,PM,3,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.4,1360,20
0 K - 0 Na,3,40.27,41.81,73.1,140.37,114.91,113,0.99,16,7.6,4.21,31.83,6.719,5.818,4.924,,,0.0022,0.0016,0.0033,,EA,PM,3,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.4,1360,20
0 K - 0 Na,4,5.31,17.53,5.1,25.78,22.63,107,0.89,12.2,1.8,0.52,6.34,1.113,0.351,0.164,,,0.0021,0.0011,0.0045,,EA,PM,0,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.2,1360,20
0 K - 0 Na,4,11.03,28.09,19.98,53.79,48.07,139,1.52,14.4,3.6,1.08,14.98,2.425,1.213,0.921,,,0.0022,0.0014,0.0037,,EA,PM,0,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.2,1360,20
0 K - 0 Na,4,17.65,28.63,35.6,76.47,64.23,133,1.38,16.4,5.8,1.67,21.28,4.57,2.568,3.833,,,0.0023,0.0013,0.0031,,EA,PM,1,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.2,1360,20
0 K - 0 Na,4,18.71,36.44,37.59,89.31,74.03,155,1.89,16.8,3.6,1.83,24.34,4.506,2.24,2.459,,,0.0023,0.0011,0.0036,,EA,PM,1,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.2,1360,20
0 K - 0 Na,4,20.6,47.18,33.41,97.48,80.59,152,1.81,16.8,4.9,2.12,27.01,3.946,2.407,5.438,,,0.0024,0.0013,0.0039,,EA,PM,2,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.2,1360,20
0 K - 0 Na,4,19.44,50.92,54.11,124.16,105.03,164,2.11,17.8,3.9,2.45,36.18,5.305,4.131,1.216,,,0.0028,0.0009,0.0038,,EA,PM,2,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.2,1360,20
0 K - 0 Na,4,26.64,56.75,58.57,140.37,115.33,170,2.27,18.5,6,3.01,45.04,8.359,5.1,2.276,,,0.0026,0.0011,0.0032,,EA,PM,3,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.2,1360,20
0 K - 0 Na,4,34.03,68.05,73.08,172.07,141.14,175,2.4,18.8,5.4,3.88,57.83,10.258,7.71,3.411,,,0.0024,0.001,0.0033,,EA,PM,3,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.2,1360,20
0 K - 0 Na,5,8.44,12.54,24.59,42.1,37.13,113,1.01,12,1.6,0.68,8.31,0.985,0.786,0.891,0.217,1.378,0.0019,0.0014,0.0042,0.0088,EA,PM,0,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.3,1360,20
0 K - 0 Na,5,9.38,21.19,37.69,71.14,58.87,83,0.53,18.3,2,1.21,25.91,4.208,1.109,0.444,0.217,,0.0026,0.001,0.0029,0.0088,EA,PM,0,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.3,1360,20
0 K - 0 Na,5,15.62,25.19,48.84,84.57,74.03,108,0.91,18.1,2.5,2.03,28.47,4.977,1.644,0.523,0.217,3.18,0.0025,0.0011,0.0037,0.0088,EA,PM,1,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.3,1360,20
0 K - 0 Na,5,14.79,31.57,59.88,106.02,91.45,148,1.71,19.2,3.6,1.96,35.01,5.234,1.978,1.197,0.217,5.531,0.0026,0.0013,0.0031,0.0088,EA,PM,1,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.3,1360,20
0 K - 0 Na,5,20.44,37.17,70.6,124.79,107.77,145,1.65,19.5,3.2,2.88,36.86,7.361,2.439,1.89,0.217,5.724,0.0027,0.0011,0.0033,0.0088,EA,PM,2,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.3,1360,20
0 K - 0 Na,5,25.07,41.21,68.32,138.38,109.53,143,1.59,19.5,3.6,3.31,34.72,7.333,3.086,0.167,0.217,,0.0026,0.0011,0.0041,0.0088,EA,PM,2,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.3,1360,20
0 K - 0 Na,5,28.77,46.93,91.45,157.58,138.38,150,1.77,20.6,4,4,57.66,7.929,4.568,0.975,0.217,9.839,0.0028,0.0012,0.0031,0.0088,EA,PM,3,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.3,1360,20
0 K - 0 Na,5,26.23,58.07,116.22,194.98,174.29,178,2.47,22,5.7,4.35,74.3,10.857,8.921,1.527,0.217,,0.0025,0.0012,0.0034,0.0088,EA,PM,3,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.3,1360,20
0 K - 0 Na,6,3.57,12.87,23.58,43.2,36.44,78,0.47,15.6,0.9,0.38,12.4,1.857,0.221,0,,1.665,0.0025,0.0013,0.0033,,EA,PM,0,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.9,1360,20
0 K - 0 Na,6,7.29,17.15,29.84,57.58,46.99,108,0.91,16.6,1.2,0.75,18.18,2.632,0.534,0,,,0.0025,0.0011,0.0038,,EA,PM,0,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.9,1360,20
0 K - 0 Na,6,14.69,24.57,44.68,82.51,69.25,114,1.02,18,2,1.79,30.58,5.018,1.67,0,,2.881,0.0025,0.0015,0.0038,,EA,PM,1,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.9,1360,20
0 K - 0 Na,6,13.51,29.03,55.02,97.48,84.05,130,1.33,18.1,2.4,1.75,28.28,5.049,1.749,0,,,0.0025,0.0011,0.0034,,EA,PM,1,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.9,1360,20
0 K - 0 Na,6,18.87,33.86,57.59,113.7,91.45,150,1.77,20.2,2,2.1,43.02,5.628,1.8,0,,6.159,0.0025,0.0011,0.0037,,EA,PM,2,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.9,1360,20
0 K - 0 Na,6,25.29,44.85,75.57,150.58,120.42,160,2.01,18.9,2.5,3.07,51.24,9.401,3.455,0,,,0.0025,0.0013,0.0045,,EA,PM,2,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.9,1360,20
0 K - 0 Na,6,31.84,46.51,75.77,156.17,122.28,169,2.24,21.2,3.3,3.92,58.65,7.484,3.345,0,,6.52,0.0025,0.001,0.0051,,EA,PM,3,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.9,1360,20
0 K - 0 Na,6,61.27,81.38,133.79,273.27,215.18,218,3.72,21.7,5.7,8.88,101.63,12.063,14.207,3.22,,16.101,0.0025,0.0011,0.0045,,EA,PM,3,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.9,1360,20
0 K - 0 Na,7,,13.42,,45.08,,,,13.6,,0.63,,0.121,0.454,,,,,,,,EA,PM,0,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0 K - 0 Na,7,,19.93,,66.92,,,,17.9,,0.95,,0.187,0.82,,,,,,,,EA,PM,0,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0 K - 0 Na,7,,27.4,,91.99,,,,17.9,,1.95,,0.207,2.145,,,,,,,,EA,PM,1,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0 K - 0 Na,7,,34.76,,116.73,,,,20.7,,3.73,,0.232,0.25,,,,,,,,EA,PM,1,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0 K - 0 Na,7,,39.07,,131.17,,,,20.7,,1.92,,0.395,2.118,,,,,,,,EA,PM,2,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0 K - 0 Na,7,,47.57,,159.72,,,,20.5,,3.36,,0.468,5.22,,,,,,,,EA,PM,2,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0 K - 0 Na,7,,55.52,,186.42,,,,22.3,,5.13,,0.572,6.37,,,,,,,,EA,PM,3,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0 K - 0 Na,7,,62.61,,210.24,,,,21.5,,4.2,,0.708,5.834,,,,,,,,EA,PM,3,,K-depleted soil,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol K m-2,0.5,0.07,,,,,32,0.08,0.5,0.5,0.01,,,,,,,,,,,EA,PM,0,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol K m-2,0.5,0.57,,,,,69,0.37,0.6,0.6,0.04,,,,,,,,,,,EA,PM,0,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol K m-2,0.5,0.92,,,,,72,0.41,0.8,0.8,0.07,,,,,,,,,,,EA,PM,1,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol K m-2,0.5,1.05,,,,,94,0.69,0.9,0.9,0.07,,,,,,,,,,,EA,PM,1,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol K m-2,0.5,1.32,,,,,80,0.5,1,1,0.08,,,,,,,,,,,EA,PM,2,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol K m-2,0.5,2.03,,,,,100,0.79,1.1,1.1,0.13,,,,,,,,,,,EA,PM,2,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol K m-2,0.5,1.64,,,,,97,0.73,1.2,1.2,0.14,,,,,,,,,,,EA,PM,3,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol K m-2,0.5,2.22,,,,,100,0.79,1.3,1.3,0.13,,,,,,,,,,,EA,PM,3,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol K m-2,0.8,12.97,,,,,210,3.45,2.3,2.3,0.85,,,,,,,,,,,EA,PM,0,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol K m-2,0.8,14.91,,,,,255,5.09,2.5,2.5,1.24,,,,,,,,,,,EA,PM,0,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol K m-2,0.8,3.76,,,,,210,3.46,2.7,2.7,0.32,,,,,,,,,,,EA,PM,1,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol K m-2,0.8,12.89,,,,,223,3.91,2.9,2.9,1,,,,,,,,,,,EA,PM,1,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol K m-2,0.8,13.86,,,,,222,3.87,3.2,3.2,0.96,,,,,,,,,,,EA,PM,2,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
