Nutrition,age,a.lf,a.ssbh,a.shbh,a.stbh,,a.cp,a.cs,h.t,h.c,m.lf,m.st,m.sb,m.br,,m.rf,m.rc,n.lf,n.ss,n.sb,n.rf,pft,growingCondition,status,light,,location,latitude,longitude,vegetation,lai,map,mat
0.45 mol K m-2,4,35.58,0.005065,0.007179,0.015058,,8.1,,20.3,14,4.11,52.19,9.505,4.463,,,,0.017313869,0.001,0.003,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,4.5,1360,20
0.45 mol K m-2,4,42.59,0.00782,0.007543,0.017955,,10,,21,14.1,4.92,66.16,12.904,7.511,,,,0.017313008,0.001,0.003,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,4.5,1360,20
0.45 mol K m-2,4,32.33,0.008596,0.006644,0.019107,,7,,20.9,13.6,3.97,67.88,10.359,6.194,,,,0.016287154,0.001,0.003,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,4.5,1360,20
0.45 mol K m-2,4,62.18,0.009826,0.008014,0.024072,,11.2,,21.2,11.8,8.01,81.14,13.181,14.444,,,,0.02328839,0.001,0.003,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,4.5,1360,20
0.45 mol K m-2,5,7.09,0.001541,0.002854,0.005175,,4.8,,13.1,11.6,0.97,11.55,3.05,0.787,,,,0.014618557,0.001,0.003,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,4.4,1360,20
0.45 mol K m-2,5,15.09,0.002903,0.005195,0.009748,,2.7,,20.1,16.6,2.1,35.5,6.458,1.415,,,,0.021557143,0.001,0.004,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,4.4,1360,20
0.45 mol K m-2,5,19.11,0.003422,0.006494,0.011491,,5.8,,20.2,17,2.52,38.74,7.17,2.128,,,5.917,0.02275,0.001,0.003,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,4.4,1360,20
0.45 mol K m-2,5,30.13,0.004993,0.009246,0.016765,,6.4,,22.8,18.6,4.3,65.52,7.375,3.508,,,9.436,0.02102093,0.001,0.003,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,4.4,1360,20
0.45 mol K m-2,5,28.44,0.005015,0.00909,0.016839,,7,,22.5,17.5,3.92,70.82,10.309,3.345,,,15.102,0.014510204,0.001,0.003,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,4.4,1360,20
0.45 mol K m-2,5,40.68,0.00614,0.010334,0.020617,,7.4,,22.7,17.6,5.64,85.95,13.297,7.499,,,14.108,0.021638298,0.001,0.003,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,4.4,1360,20
0.45 mol K m-2,5,43.41,0.006911,0.012118,0.023205,,10.8,,21.8,16.8,6.12,81.21,15.135,6.578,,,,0.021279412,0.001,0.003,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,4.4,1360,20
0.45 mol K m-2,5,50.9,0.00825,0.015041,0.027701,,8,,24.6,18.2,6.79,116.99,18.541,7.28,,,24.022,0.022488954,0.001,0.003,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,4.4,1360,20
0.45 mol K m-2,6,6.78,0.002248,0.00408,0.007549,,7,,18.4,14.8,0.71,19.71,0.059,1.05,,,,0.028647887,0.001,0.004,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3.8,1360,20
0.45 mol K m-2,6,9.89,0.002772,0.004875,0.009308,,4.2,,21.6,18.6,1.05,43.2,0.12,0.971,,,2.878,0.028257143,0.001,0.004,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3.8,1360,20
0.45 mol K m-2,6,10.03,0.003605,0.006939,0.012104,,4.8,,22.5,20.2,1.23,48.76,0.244,1.104,,,5.625,0.024463415,0.003,0.003,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3.8,1360,20
0.45 mol K m-2,6,23.78,0.00508,0.009702,0.017059,,4.4,,24.4,21.2,2.63,70.8,0.227,2.673,,,,0.027125475,0.001,0.005,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3.8,1360,20
0.45 mol K m-2,6,32.49,0.00569,0.010424,0.019107,,8,,23.9,18.9,4.18,89.56,0.34,5.383,,,13.476,0.023318182,0.001,0.003,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3.8,1360,20
0.45 mol K m-2,6,31.14,0.006582,0.012291,0.022101,,8,,25.4,19.9,3.79,98.68,0.419,5.198,,,,0.024649077,0.002,0.006,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3.8,1360,20
0.45 mol K m-2,6,59.88,0.0077,0.013488,0.025855,,9.5,,26.7,20.2,8.5,123.08,0.457,6.131,,,12.83,0.021134118,0.001,0.004,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3.8,1360,20
0.45 mol K m-2,6,45.73,0.008964,0.014846,0.030098,,8.4,,27.8,20.6,6.04,145.33,0.602,9.388,,,22.489,0.022713576,0.001,0.003,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3.8,1360,20
0.45 mol K m-2,7,,0.001993,,0.006692,,,,15.5,,0.69,,0.258,1.526,,,,,,,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,7,,0.003157,,0.010602,,,,20.3,,0.43,,0.606,0.708,,,,,,,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,7,,0.003984,,0.013377,,,,25.1,,1.41,,1.329,1.445,,,,,,,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,7,,0.005102,,0.017133,,,,25.7,,3.08,,1.93,2.174,,,,,,,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,7,,0.006286,,0.021106,,,,27.1,,2.91,,2.323,4.236,,,,,,,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,7,,0.007143,,0.023985,,,,27,,3.82,,2.783,4.191,,,,,,,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,7,,0.008503,,0.028552,,,,29.5,,4.59,,4.276,5.042,,,,,,,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,7,,0.00911,,0.03059,,,,27.1,,6.28,,2.999,12.313,,,,,,,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,0.5,0.75,,,,,1.5,,0.6,0,0.05,,,,,,,,,,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,0.5,0.31,,,,,1,,0.7,0,0.02,,,,,,,,,,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,0.5,0.4,,,,,1.5,,0.7,0,0.03,,,,,,,,,,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,0.5,1.18,,,,,2.1,,0.8,0,0.09,,,,,,,,,,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,0.5,1.14,,,,,2.4,,0.9,0,0.08,,,,,,,,,,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,0.5,1.34,,,,,2.8,,1,0,0.09,,,,,,,,,,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,0.5,2.17,,,,,2.8,,1,0,0.13,,,,,,,,,,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,0.5,1.78,,,,,4,,1.1,0,0.13,,,,,,,,,,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,0.8,12.85,,,,,3.5,,2,0,0.83,,,,,,,,,,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,0.8,6.36,,,,,3.2,,2.2,0,0.47,,,,,,,,,,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,0.8,8.4,,,,,3.1,,2.4,0,0.93,,,,,,,,,,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,0.8,6.55,,,,,3.3,,2.7,0,0.55,,,,,,,,,,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,0.8,14.45,,,,,4.8,,3,0,1.08,,,,,,,,,,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,0.8,23.36,,,,,4.8,,3.2,0,1.63,,,,,,,,,,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,0.8,21.97,,,,,5.6,,3.4,0,1.56,,,,,,,,,,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,0.8,16.27,,,,,5.3,,3.6,0,1.41,,,,,,,,,,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,1,6.88,9.70E-05,0,0.000161,,,,2.5,0.4,0.36,0.29,0.717,1.449,,,,0.038222222,0.005,0.006,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2,1360,20
0.45 mol Na m-2,1,6.7,0.00039,0,0.00046,,,,2.9,0.7,0.5,0.53,1.698,1.163,,,,0.0268,0.004,0.006,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2,1360,20
0.45 mol Na m-2,1,12.05,0.000674,0,0.000894,,,,4.1,0.8,0.99,0.94,2.91,1.543,,,,0.024343434,0.003,0.003,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2,1360,20
0.45 mol Na m-2,1,17.9,0.000812,0,0.00098,,,,4.5,0.9,1.21,0.92,3.186,1.584,,,,0.014793388,0.003,0.004,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2,1360,20
0.45 mol Na m-2,1,12.26,0.001052,0,0.001243,,,,5.8,1.3,0.92,1.4,5.408,1.519,,,,0.026652174,0.002,0.005,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2,1360,20
0.45 mol Na m-2,1,26.89,0.001345,0,0.001582,,,,5.3,0.8,2,1.91,5.124,2.433,,,,0.013445,0.002,0.004,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2,1360,20
0.45 mol Na m-2,1,28.49,0.001345,0,0.00179,,,,5.5,1.1,1.97,1.86,5.461,3.16,,,,0.014461929,0.003,0.004,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2,1360,20
0.45 mol Na m-2,1,34.8,0.002088,0,0.002724,,,,6.5,1.1,2.4,3,8.327,3.178,,,,0.0145,0.002,0.004,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2,1360,20
0.45 mol Na m-2,2,2.31,0.000764,0,0.00098,,,,7.2,4.2,0.18,1.05,0.982,0.15,,,,0.025666667,0.001,0.003,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.8,1360,20
0.45 mol Na m-2,2,4.81,0.00156,0,0.001814,,,,8.8,2.3,0.35,2.49,3.164,0.983,,,,0.027485714,0.001,0.003,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.8,1360,20
0.45 mol Na m-2,2,18.05,0.003509,0,0.004029,,,,10.6,0.7,1.8,6.66,3.334,2.753,,,,0.020055556,0.001,0.003,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.8,1360,20
0.45 mol Na m-2,2,23.56,0.004584,0,0.005588,,,,10.7,0.7,2.61,9.34,5.113,3.288,,,,0.01805364,0.001,0.003,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.8,1360,20
0.45 mol Na m-2,2,31.26,0.005974,0,0.007162,,,,12.8,3.2,3.67,13.77,8.494,3.459,,,,0.017035422,0.001,0.003,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.8,1360,20
0.45 mol Na m-2,2,39.17,0.0066,0,0.008405,,,,13.2,3.9,4.04,16.51,7.517,2.177,,,,0.019391089,0.001,0.003,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.8,1360,20
0.45 mol Na m-2,2,35,0.008509,0,0.010313,,,,14.9,2.4,4.07,23.51,9.07,4.134,,,,0.025798526,0.001,0.003,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.8,1360,20
0.45 mol Na m-2,2,20.41,0.006284,0,0.007647,,,,13.8,4.4,2.07,16.09,7.612,2.951,,,,0.019719807,0.001,0.003,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.8,1360,20
0.45 mol Na m-2,3,2.36,0.000445,0.000799,0.001494,,3.7,,8.3,,0.27,2.86,2.237,0.301,,,,0.026222222,0.002,0.004,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol Na m-2,3,8.73,0.001221,0.002288,0.004101,,4.9,,13.3,9.7,0.79,9.81,3.978,0.708,,,,0.022101266,0.001,0.003,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol Na m-2,3,8.7,0.001845,0.00333,0.006194,,5.9,,15.9,12.2,0.92,15.04,4.041,0.683,,,,0.018913043,0.001,0.003,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol Na m-2,3,20.82,0.002382,0.004638,0.007997,,10.9,,15.2,11,2.05,19.02,7.406,2.162,,,,0.020312195,0.001,0.004,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol Na m-2,3,26.97,0.003175,0.005756,0.01066,,4,,17.5,,2.55,28.51,9.422,2.128,,,,0.021152941,0.001,0.003,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol Na m-2,3,32.72,0.003244,0.006063,0.010894,,13.7,,16.8,12.9,3.41,31.29,8.701,4.16,,,,0.019190616,0.001,0.003,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol Na m-2,3,37.54,0.003773,0.006829,0.012669,,11.2,,17.5,7.6,4.46,34.91,8.826,7.332,,,,0.025251121,0.001,0.003,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol Na m-2,3,37.87,0.004281,0.007823,0.014374,,6.7,,15.9,9.8,4.37,40.43,10.173,9.854,,,,0.025997712,0.002,0.003,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol Na m-2,4,8.16,0.001313,0.000922,0.002724,,4,,10.6,8.9,0.56,5.95,2.862,0.492,,,,0.029142857,0.001,0.004,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol Na m-2,4,7.92,0.002318,0.002795,0.006239,,4.2,,17.3,14.5,0.79,19.18,3.138,0.889,,,,0.020050633,0.001,0.004,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol Na m-2,4,8.83,0.003522,0.003881,0.008405,,6.7,,18.3,15.2,0.89,25.09,4.193,1.355,,,,0.019842697,0.001,0.003,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol Na m-2,4,24.13,,,0.011795,,8,,19.4,14.6,2.56,41.62,5.856,2.89,,,,0.018851563,0.001,0.004,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol Na m-2,4,23.4,0.00556,0.004911,0.013053,,9,,19.7,14,2.74,46.46,9.912,2.698,,,,0.025620438,0.001,0.004,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol Na m-2,4,30.97,0.005656,0.006046,0.014374,,9.1,,20.5,13.5,3.42,47.62,6.67,4.551,,,,0.018111111,0.001,0.003,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol Na m-2,4,32.88,,,0.016839,,10,,21.4,15.4,4.04,66.41,10.479,4.792,,,,0.024415842,0.001,0.004,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol Na m-2,4,41.13,,,0.018719,,9.4,,21.6,14.8,4.46,62.17,11.849,5.611,,,,0.018443946,0.001,0.003,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol Na m-2,5,8.68,0.001939,0.003358,0.006509,,3,,17.3,14.4,0.89,20.5,,0.762,,,3.382,0.019505618,0.001,0.004,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.6,1360,20
0.45 mol Na m-2,5,6.88,0.002219,0.004427,0.007451,,2,,18.7,16.8,0.83,21.34,,0.625,,,,0.02486747,0.002,0.004,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.6,1360,20
0.45 mol Na m-2,5,13.22,0.002581,0.004581,0.008666,,5.6,,18.1,15,1.48,27.1,,1.99,,,3.887,0.017864865,0.001,0.004,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.6,1360,20
0.45 mol Na m-2,5,15.49,0.003157,0.005196,0.010602,,2.3,,20.1,17,2.12,35.77,,1.28,,,7.359,0.021919811,0.001,0.003,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.6,1360,20
0.45 mol Na m-2,5,16.61,0.004121,0.007309,0.013838,,6.5,,21.3,18,1.81,38.99,,1.564,,,8.166,0.018353591,0.001,0.003,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.6,1360,20
0.45 mol Na m-2,5,13.36,0.003868,0.007562,0.012988,,6,,18.9,16.2,1.8,42.35,,1.934,,,,0.022266667,0.001,0.004,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.6,1360,20
0.45 mol Na m-2,5,26.26,0.005037,0.009609,0.016912,,6.5,,22.4,17.4,3.36,59.09,,3.472,,,7.795,0.015630952,0.001,0.003,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.6,1360,20
0.45 mol Na m-2,5,42.61,0.00569,0.010712,0.019107,,12.6,,22.5,17.5,5.81,73.82,,5.978,,,,0.022001721,0.001,0.003,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.6,1360,20
0.45 mol Na m-2,6,4.16,0.001446,0.002764,0.004855,,3.5,,14.7,13.7,0.55,12.22,,0.361,,,1.884,0.022690909,0.002,0.004,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.9,1360,20
0.45 mol Na m-2,6,7.29,0.002248,0.003991,0.007549,,2.6,,17.4,15.9,0.77,20.17,,0.76,,,,0.028402597,0.002,0.003,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.9,1360,20
0.45 mol Na m-2,6,9.11,0.00274,0.004518,0.009199,,3.4,,19.7,18.9,1.05,29.55,,0.713,,,3.701,0.026028571,0.001,0.004,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.9,1360,20
0.45 mol Na m-2,6,14.18,0.003605,0.006424,0.012104,,4.8,,21.2,18.4,1.77,41.65,,1.511,,,,0.024033898,0.001,0.004,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.9,1360,20
0.45 mol Na m-2,6,23.63,0.004885,0.008754,0.016402,,10.1,,21.1,18,2.96,57.22,,4.113,,,7.546,0.023949324,0.001,0.005,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.9,1360,20
0.45 mol Na m-2,6,24.14,0.004735,0.008772,0.0159,,7,,21.2,16.7,2.68,60.12,,4.192,,,,0.027022388,0.001,0.005,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.9,1360,20
0.45 mol Na m-2,6,25.01,0.00528,0.008892,0.017729,,7.2,,22.3,18.3,2.74,68.02,,4.5,,,7.501,0.027383212,0.002,0.004,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.9,1360,20
0.45 mol Na m-2,6,51.02,0.007512,0.013923,0.025224,,10.8,,24.4,18.1,6.6,110.18,,8.022,,,16.653,0.023190909,0.001,0.004,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.9,1360,20
0.45 mol Na m-2,7,,0.00132,,0.004432,,,,11.9,,0.82,,,0.85,,,,,,,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,7,,0.002352,,0.007896,,,,18.2,,0.68,,,1.085,,,,,,,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,7,,0.003244,,0.010894,,,,20.8,,1.02,,,1.592,,,,,,,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,7,,0.004281,,0.014374,,,,20.3,,1.65,,,1.939,,,,,,,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,7,,0.005102,,0.017133,,,,24,,3.34,,,4.338,,,,,,,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,7,,0.005925,,0.019894,,,,23.5,,2.8,,,4.091,,,,,,,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,7,,0.007014,,0.02355,,,,24.3,,3.7,,,6.966,,,,,,,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol Na m-2,7,,0.007863,,0.026402,,,,25.4,,4.6,,,9.375,,,,,,,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
