Nutrition,age,a.lf,a.ssbh,a.shbh,a.stbh,,a.cp,a.cs,h.t,h.c,m.lf,m.st,m.sb,m.br,,m.rf,m.rc,n.lf,n.ss,n.sb,n.rf,pft,growingCondition,status,light,,location,latitude,longitude,vegetation,lai,map,mat
0 K - 0 Na,1,34.15,0.00179,0,0.002166,,,,6.6,1.1,2.72,3.19,0.65,3.949,,,,0.022599265,0.0025,0.0035,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,1.4,1360,20
0 K - 0 Na,2,3.54,0,0,0.000828,,,,6.6,2.9,0.28,1.07,0.33,0.33,,,,0.020228571,0.0012,0.0034,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.7,1360,20
0 K - 0 Na,2,4.51,0.00156,0,0.00179,,,,8.5,2.8,0.47,2.51,0.719,0.658,,,,0.023029787,0.0013,0.0034,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.7,1360,20
0 K - 0 Na,2,28.18,0.003443,0,0.003887,,,,8.4,0.8,2.78,5.44,1.428,5.364,,,,0.020273381,0.0017,0.0036,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.7,1360,20
0 K - 0 Na,2,13.34,0.002437,0,0.003377,,,,8.8,2.8,1.18,5.15,1.144,2.203,,,,0.021479661,0.0013,0.0031,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.7,1360,20
0 K - 0 Na,2,41.81,0.005421,0,0.007162,,,,10.9,2.2,4.39,11.45,2.359,7.305,,,,0.020000228,0.0015,0.0034,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.7,1360,20
0 K - 0 Na,2,47.46,0.007019,0,0.007451,,,,10.7,1.2,5.9,14.04,3.346,8.751,,,,0.017696949,0.0016,0.0031,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.7,1360,20
0 K - 0 Na,2,44,0.007896,0,0.009253,,,,13.2,4,4.45,18.53,3.628,6.256,,,,0.019775281,0.0011,0.003,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.7,1360,20
0 K - 0 Na,2,75.69,0.010029,0,0.011191,,,,14.1,2.6,7.84,25.49,4.512,9.918,,,,0.01834324,0.0012,0.0032,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.7,1360,20
0 K - 0 Na,3,1.78,0.000297,0.000347,0.000998,,2.4,,8,7.2,0.13,1.24,0.336,0.179,,,,0.030123077,0.0016,0.0042,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.4,1360,20
0 K - 0 Na,3,4.84,0.001035,0.001688,0.003476,,2.6,,10.9,8.5,0.34,6.29,1.132,0.611,,,,0.025623529,0.0014,0.0033,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.4,1360,20
0 K - 0 Na,3,7.42,0.0012,0.001826,0.004029,,2.4,,12.3,,0.48,7.48,1.507,0.778,,,,0.027825,0.0015,0.0034,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.4,1360,20
