dataset,Country,Forest.type,Species,Family,a.lf,h.t,m.lf,m.st,m.rt,lf.sz,a.cs,h.c,a.cp,d.ba
Lusk2012,Chile,CTRF,Podocarpus nubigena,Podocarpaceae,0.00064,0.076,5.40E-05,2.60E-05,0.000273,1.69E-05,0.010907618,0.121209301,0.001835821,0.0013
Lusk2012,Chile,CTRF,Podocarpus nubigena,Podocarpaceae,0.00043,0.055,5.00E-05,1.70E-05,6.00E-05,1.26E-05,0.006904374,0.08058058,0.001055368,0.0033
Lusk2012,Chile,WTRF,Lomatia hirsuta,Proteaceae,0.00688,0.06,0.000908,0.000264,0.000309,0.000625845,0.012343132,0.07135645,0.004379649,0.0019
Lusk2012,Chile,CTRF,Podocarpus nubigena,Podocarpaceae,0.00435,0.3,0.000412,0.000431,0.00042,5.18E-05,0.03127279,0.170899888,0.005084552,0.00559
Lusk2012,Chile,WTRF,Podocarpus salignus,Podocarpaceae,0.00127,0.063,8.90E-05,6.40E-05,0.000112,7.91E-05,0.015137027,0.077446427,0.005287836,0.0017
Lusk2012,Chile,CTRF,Saxegothaea conspicua,Podocarpaceae,0.00067,0.077,5.10E-05,8.40E-05,8.00E-05,1.69E-05,0.009609842,0.089635022,0.001629838,0.0017
Lusk2012,Chile,WTRF,Podocarpus salignus,Podocarpaceae,0.00079,0.053,6.90E-05,5.10E-05,6.10E-05,4.31E-05,0.003488523,0.027872217,0.00180783,0.0011
Lusk2012,Chile,WTRF,Podocarpus salignus,Podocarpaceae,0.00079,0.053,6.90E-05,5.10E-05,6.10E-05,4.31E-05,0.003488523,0.027872217,0.00180783,0.0011
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.080447,0.763,0.00645,0.00391,NA,0.00198292,0.604266656,0.722080203,0.100300328,0.0077
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.00069,0.071,0.000126,0.000125,0.000269,1.42E-05,0.00392351,0.064024689,0.000487784,0.0043
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.01285,0.242,0.001765,0.001559,0.001656,3.83E-05,0.046605306,0.237136798,0.008525777,0.0048
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.00118,0.132,0.000158,0.000213,0.000288,2.90E-05,0.00566775,0.071205489,0.000982495,0.0033
Lusk2012,Chile,WTRF,Persea lingue,Lauraceae,0.00071,0.116,3.80E-05,7.20E-05,9.50E-05,0.00035746,NA,0.036052455,0.001848542,0.0028
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.00134,0.095,0.000125,7.60E-05,0.000358,2.64E-05,0.005274381,0.061485239,0.001010261,0.0057
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.00361,0.221,0.00041,0.001128,0.00113,2.30E-05,0.015483695,0.157110995,0.001499385,0.0045
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.00503,0.243,0.001081,0.001283,0.001601,3.24E-05,0.01656952,0.0992015,0.004292419,0.0041
Lusk2012,NZ,WTRF,Agathis australis,Araucariaceae,0.00049,0.055,6.00E-05,4.00E-05,6.00E-05,8.22E-05,0.003841921,0.017461954,0.002755593,0.0014
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.01471,0.358,0.00225,0.00164,0.000586,4.91E-05,0.057810598,0.196486049,0.015357375,0.0036
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.00945,0.225,0.000797,0.000676,0.000545,5.90E-05,0.026258619,0.191370678,0.003503148,0.00371
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.00295,0.122,0.00033,0.000197,0.000236,2.94E-05,0.009674916,0.098326251,0.00170901,0.00379
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.00603,0.302,0.000658,0.000649,0.000524,3.33E-05,0.02343611,0.195412434,0.002185271,0.00401
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.00382,0.135,0.000357,0.000325,0.00053,2.63E-05,0.016669201,0.136001838,0.003156616,0.00401
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.00717,0.314,0.000574,0.000869,0.000694,3.02E-05,0.028319717,0.255016711,0.002232536,0.00371
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.00693,0.232,0.000679,0.000464,0.000871,2.18E-05,0.026259114,0.210679162,0.00459778,0.0027
Lusk2012,Chile,CTRF,Nothofagus nitida,Nothofagaceae,0.00068,0.06,4.60E-05,5.00E-06,2.50E-05,5.70E-05,0.003113794,0.050180099,0.000792128,0.00305
Lusk2012,Chile,WTRF,Podocarpus salignus,Podocarpaceae,3.00E-04,0.051,2.50E-05,1.00E-05,1.10E-05,4.31E-05,0.003488523,0.027872217,0.00180783,0.0011
Lusk2012,Chile,WTRF,Podocarpus salignus,Podocarpaceae,3.00E-04,0.051,2.50E-05,1.00E-05,1.10E-05,4.31E-05,0.003488523,0.027872217,0.00180783,0.0011
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.00459,0.172,0.000446,0.000305,0.000509,3.60E-05,0.015090978,0.137960951,0.001888168,0.0032
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.00514,0.156,0.000407,0.000238,0.00041,3.54E-05,0.017155353,0.144457803,0.002365991,0.0031
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.00277,0.127,0.000282,0.000197,0.00033,2.70E-05,0.010656652,0.114953044,0.002336501,0.0044
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.00207,0.105,0.000263,0.000251,0.000336,2.97E-05,0.008359675,0.067991766,0.003812048,0.0034
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.00149,0.097,0.000191,0.000125,0.000358,1.85E-05,0.007820965,0.090261361,0.002105169,0.00379
Lusk2012,Chile,CTRF,Nothofagus nitida,Nothofagaceae,0.00141,0.109,0.000153,8.20E-05,0.000189,0.00010111,0.007932577,0.078696254,0.002396507,0.0019
Lusk2012,Chile,WTRF,Podocarpus salignus,Podocarpaceae,0.00051,0.06,1.50E-05,1.30E-05,1.10E-05,6.40E-05,0.008464652,0.039586873,0.005825415,9.00E-04
Lusk2012,Chile,CTRF,Nothofagus nitida,Nothofagaceae,0.00144,0.099,0.000132,4.40E-05,6.40E-05,0.00012045,0.011705026,0.104682919,0.002783028,7.00E-04
Lusk2012,Chile,CTRF,Nothofagus nitida,Nothofagaceae,0.00168,0.197,0.000272,0.00016,0.000159,0.000140481,0.015822087,0.130499144,0.004336713,0.002
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.00224,0.129,0.000214,0.000181,0.000312,2.44E-05,0.007727498,0.073739475,0.001897871,0.0032
Lusk2012,Chile,WTRF,Persea lingue,Lauraceae,0.00134,0.126,6.70E-05,7.60E-05,9.40E-05,0.000336087,0.00484974,0.034990929,0.002790575,0.0023
Lusk2012,Chile,CTRF,Podocarpus nubigena,Podocarpaceae,0.00101,0.096,8.60E-05,5.60E-05,0.00014,2.25E-05,0.014094971,0.132698778,0.00163431,0.002
Lusk2012,Chile,CTRF,Amomyrtus luma,Myrtaceae,0.00157,0.126,5.00E-05,3.30E-05,6.70E-05,9.84E-05,0.008339484,0.068311385,0.002021304,0.0015
Lusk2012,Chile,CTRF,Podocarpus nubigena,Podocarpaceae,0.0017,0.096,0.000144,0.000121,0.000314,3.63E-05,0.014007497,0.090948153,0.002951353,0.00431
Lusk2012,Chile,CTRF,Araucaria araucana,Araucariaceae,0.00087,0.084,0.000114,0.000174,0.000307,2.42E-05,0.003473395,0.041276401,0.000887205,0.00401
Lusk2012,NZ,WTRF,Agathis australis,Araucariaceae,0.00064,0.061,5.00E-05,3.00E-05,3.00E-05,8.02E-05,0.005072262,0.025250064,0.002831346,0.00279
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.00203,0.131829545,0.00026,9.00E-05,0.00022,0.000203492,0.020848867,0.085285543,0.008462212,0.00559
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.00189,0.11,0.000231,0.000105,0.000209,0.000315688,0.017581309,0.0562124,0.010638012,0.0022
Lusk2012,Chile,CTRF,Podocarpus nubigena,Podocarpaceae,0.00365,0.212,0.000545,0.000706,0.000544,3.85E-05,0.02640291,0.146049672,0.005301707,0.00711
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.00188,0.095,0.000172,9.10E-05,0.000149,0.000269093,0.014868601,0.073369471,0.006409491,0.0016
Lusk2012,Chile,WTRF,Persea lingue,Lauraceae,0.00223,0.181,0.000137,0.000187,0.000172,0.000558565,0.006223752,0.076634518,0.002109251,0.003
Lusk2012,NZ,WTRF,Agathis australis,Araucariaceae,0.00263,0.123,0.00037,0.00024,0.00017,9.76E-05,0.019566024,0.102397604,0.006431934,0.00533
Lusk2012,Chile,WTRF,Podocarpus salignus,Podocarpaceae,0.00227,0.108,0.00013,0.000106,0.000119,0.000113698,0.026061095,0.084676626,0.009320166,0.0016
Lusk2012,Chile,WTRF,Persea lingue,Lauraceae,0.00058,0.106,4.50E-05,5.20E-05,6.80E-05,0.000290504,NA,0.036204971,0.001395601,0.0028
Lusk2012,Chile,CTRF,Amomyrtus luma,Myrtaceae,0.00215,0.153,0.000146,0.000311,0.000326,0.000113331,0.009291986,0.066210238,0.003505962,0.002
Lusk2012,Chile,CTRF,Nothofagus nitida,Nothofagaceae,0.00083,0.094,5.10E-05,2.20E-05,3.10E-05,5.54E-05,0.006115605,0.06885145,0.001432312,8.00E-04
