"","var_in","method","unit_in","var_out","notes","var_in_unchecked_names"
"1","a.lf","","m2","a.lf",NA,"a.lf"
"2","h.t","","m","h.t",NA,"h.t"
"3","m.lf","m0","kg","m.lf",NA,"m.lf"
"4","m.st","m0","kg","m.st",NA,"m.st"
"5","m.rt","m0","kg","m.rt",NA,"m.rt"
"6","lf.sz","","m2","lf.sz",NA,"lf.sz"
"7","a.cs","","m2","a.cs",NA,"a.cs"
"8","h.c","","m","h.c",NA,"h.c"
"9","a.cp","","m2","a.cp",NA,"a.cp"
"10","d.ba","d","m","d.ba",NA,"d.ba"
"11","dataset",NA,NA,NA,NA,"dataset"
"12","Country",NA,NA,NA,NA,"Country"
"13","Forest.type",NA,NA,NA,NA,"Forest.type"
"14","Species",NA,NA,NA,NA,"Species"
"15","Family",NA,NA,NA,NA,"Family"
