lookupVariable,lookupValue,newVariable,newValue,source
,,growingCondition,GH,from paper[D Barneche]
,,pft,EA,from paper[D Barneche]
,,location,Glasshouse in New Zealand,from paper[D Barneche]
,,latitude,-37.7869,DBarneche[from_author_reply]
,,longitude,175.3139,DBarneche[from_author_reply]
