dataset,location,latitude,longitude,vegetation,species,family,pft,age,a.stbc,h.t,h.c,d.ba,d.bh,m.so,m.rt,m.to,growingCondition
Komiyama2003,Japan-Experimental Forest of Gifu University-,36.00,137.20,TempF,Quercus crispula,Fagaceae,DA,32,0.013273,8.3,2.7,0.254,0.128,44.71,NA,NA,FW
Komiyama2003,Japan-Experimental Forest of Gifu University-,36.00,137.20,TempF,Chamaecyparis obtusa,Cupressaceae,EG,48,0.009161,11.9,6.1,0.395,0.142,60.41,NA,NA,PM
