"spdataset","dataset","species","age","dbh","sapbh","sapcb","h_t","h_c","cw","m_lf","a_lf","wbr","m_st","a_cs","SAcon","Vell","sp","authorname","reference","country","remark","a_cp","a_st","a_ss_dbh","a_ss_crownbase"
"Vanninen-PISY","Vanninen","PISY",NA,16.89,NA,102.9676627,13.26,5.86,2.18,3.50826,NA,7.79543,35.9,33.1824798522623,24.1433210579919,14.5817358119587,"Pinus sylvestris","L.","Vanninen 2004","Finland","",3.73252623173003,0.0224052183408533,NA,0.01029676627
"Vanninen-PISY","Vanninen","PISY",NA,12.05,NA,68.66147094,11.52,6.2,1.97,3.06008,NA,4.08149,18.21,31.337371244137,22.4743727158288,12.5986138269605,"Pinus sylvestris","L.","Vanninen 2004","Finland","",3.04805173232916,0.0114041776820718,NA,0.006866147094
"Vanninen-PISY","Vanninen","PISY",NA,10.15,NA,41.28249096,11.11,5.36,1.7,1.42357,NA,2.21572,12.43,23.3756777376453,16.7617541837948,8.11075447352789,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.26980069221863,0.00809136822886136,NA,0.004128249096
"Vanninen-PISY","Vanninen","PISY",NA,18.05,NA,155.039561,14.17,8.64,2.35,8.23629,NA,14.68137,48.17,51.6059408476174,36.5243893092046,24.9832014184075,"Pinus sylvestris","L.","Vanninen 2004","Finland","",4.33736135736241,0.0255884685130297,NA,0.0155039561
"Vanninen-PISY","Vanninen","PISY",NA,16.89,NA,108.4340339,12.83,6.63,2.15,4.56404,NA,6.66359,37.08,36.6246956001093,26.3138379103556,16.0468233055468,"Pinus sylvestris","L.","Vanninen 2004","Finland","",3.6305030103047,0.0224052183408533,NA,0.01084340339
"Vanninen-PISY","Vanninen","PISY",NA,12.8,NA,79.327178,12.98,6.66,1.68,4.93745,NA,6.07645,23.7,28.3316741252699,19.9312745310738,9.84218252709593,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.21670777637296,0.0128679635091038,NA,0.0079327178
"Vanninen-PISY","Vanninen","PISY",NA,16.85,NA,129.6869082,14.73,8.36,2.8,6.79424,NA,11.79061,42.02,60.2847747053975,43.4387390116566,34.3179203897739,"Pinus sylvestris","L.","Vanninen 2004","Finland","",6.15752160103599,0.0222992210047212,NA,0.01296869082
"Vanninen-PISY","Vanninen","PISY",NA,13.35,NA,58.76545408,12.3,4.4,1.66,2.94198,NA,3.61285,22.33,18.9959113126038,13.839682737134,6.34844665857016,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.16424317905801,0.0139975624176102,NA,0.005876545408
"Vanninen-PISY","Vanninen","PISY",NA,16.25,NA,97.64266317,14.13,6.66,1.96,4.1964,NA,6.7598,38.82,33.3264131001646,23.74252885586,13.3963039952139,"Pinus sylvestris","L.","Vanninen 2004","Finland","",3.01718558450764,0.0207394202522139,NA,0.009764266317
"Vanninen-PISY","Vanninen","PISY",NA,18.5,NA,99,21.95,8.17,2.8,7.402100941,NA,18.69935819,132.6039243,59.0178676412672,42.6148135629283,33.5379676536427,"Pinus sylvestris","L.","Vanninen 2004","Finland","",6.15752160103599,0.0268802521422777,NA,0.0099
