"spdataset","dataset","species","age","dbh","sapbh","sapcb","h_t","h_c","cw","m_lf","a_lf","wbr","m_st","a_cs","SAcon","Vell","sp","authorname","reference","country","remark","a_cp","a_st","a_ss_dbh","a_ss_crownbase"
"Brown-ABGR","Brown","ABGR",32,16.51,NA,NA,12.37488,11.76528,4.35864,18.928728,NA,18.2537712,NA,133.152274750007,96.8424597826208,117.031531924328,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",14.9207921856932,0.0214083909918693,NA,NA
"Brown-ABGR","Brown","ABGR",124,19.05,NA,NA,14.478,12.67968,3.13944,15.009624,NA,13.5004968,NA,100.711109770666,70.7471232381863,65.4351783330859,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",7.74094988987331,0.0285022956992343,NA,NA
"Brown-ABGR","Brown","ABGR",93,26.67,NA,NA,24.01824,21.21408,4.05384,46.08576,NA,59.548608,NA,215.529061359767,148.608241953782,182.539153348489,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",12.9069339807681,0.0558644995704991,NA,NA
"Brown-ABGR","Brown","ABGR",121,30.226,NA,NA,24.0792,20.4216,4.20624,34.968024,NA,43.922088,NA,215.775549418013,149.537754962816,189.180550901412,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",13.8956216139832,0.0717548461149966,NA,NA
"Brown-ABGR","Brown","ABGR",91,31.496,NA,NA,21.0312,12.40536,4.7244,33.126408,NA,42.765408,NA,152.555134735633,111.245253999079,144.977736812975,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",17.530051946857,0.0779113419860312,NA,NA
"Brown-ABGR","Brown","ABGR",80,7.62,NA,NA,7.55904,3.74904,1.70688,2.1019824,NA,2.1378168,NA,16.9737401307009,12.597146313476,5.71906030168157,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",2.28820990240764,0.00456036731187748,NA,NA
"Brown-ABGR","Brown","ABGR",39,0,NA,NA,1.3716,1.03632,0.97536,0.2419956,NA,0.21600432,NA,3.11396223471104,2.50192816821417,0.516205210571557,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",0.747170580378006,0,NA,NA
"Brown-ABGR","Brown","ABGR",24,0,NA,NA,1.3716,0.73152,0.9144,0.10301256,NA,0.07398216,NA,2.28444675054513,1.89573856516475,0.320255990014523,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",0.656692892910357,0,NA,NA
"Brown-ABGR","Brown","ABGR",15,0,NA,NA,1.12776,0.88392,0.85344,0.1759968,NA,0.127008,NA,2.34288177630062,1.88787468331208,0.337099082822694,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",0.572052475601911,0,NA,NA
"Brown-ABGR","Brown","ABGR",16,0,NA,NA,1.12776,0.82296,0.4572,0.08201088,NA,0.05901336,NA,1.02619474612084,0.777575006123681,0.0900719971915846,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",0.164173223227589,0,NA,NA
