"var_in","method","unit_in","var_out","notes"
"dataset",NA,NA,NA,NA
"location",NA,NA,"location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,NA,"vegetation",NA
"species",NA,NA,"species",NA
"pft",NA,NA,"pft",NA
"a.lf","a4,e1,x1","m2","a.lf",NA
"h.t","?","m","h.t",NA
"d.bh","d3","m","d.bh",NA
"m.lf","mx,x1","kg","m.lf",NA
"m.st","mx,j,e2","kg","m.st",NA
"m.so","mx","kg","m.so",NA
"m.br","mx","kg","m.br",NA
"m.rt","mx","kg","m.rt",NA
"m.to","mx","kg","m.to",NA
"growingCondition",NA,NA,"growingCondition",NA
