Species,Tree #,Height (m),D1.10,Crown width (m),Ave Leaf Height (m),Lowest leaf height (m),Crown length
Rinorea deflexiflora,,6,7.68,5.1,4.75,2.3,3.7
Rinorea deflexiflora,,1.57,1.73,1.26,1.32,0.78,0.79
Rinorea deflexiflora,,1.89,1.59,1.13,1.56,1,0.89
Rinorea deflexiflora,,3.35,3.3,2.85,3,1.45,1.9
Rinorea deflexiflora,,2.37,2.77,2.58,1.55,0.8,1.57
Rinorea deflexiflora,,0.73,0.77,0.49,,,
Rinorea deflexiflora,,2.22,2.32,1.67,,1.06,1.16
Rinorea deflexiflora,,2,2.5,2,1.77,1.55,0.45
Rinorea deflexiflora,,6.1,8.45,3.42,5.5,1.05,5.05
Rinorea deflexiflora,,2.4,2.22,1.92,,0.94,1.46
Rinorea deflexiflora,,2.41,1.89,1.57,2,1.07,1.34
Rinorea deflexiflora,,3.3,2.46,2.11,2,0.65,2.65
Rinorea deflexiflora,,3.75,3.64,2.74,,2.44,1.31
Rinorea deflexiflora,,8.5,16,7.14,6,2.9,5.6
Rinorea deflexiflora,,4.65,4.92,2.74,4,2.35,2.3
Rinorea deflexiflora,,9.4,9.55,6.39,6.2,1.94,7.46
Rinorea deflexiflora,,9.6,17.8,7.01,7,3.3,6.3
Rinorea deflexiflora,,10,16.42,7.6,7.6,2.5,7.5
Rinorea deflexiflora,,7.6,11.65,6.31,6.3,2.5,5.1
Rinorea deflexiflora,,11.4,13.83,5.7,8.9,5.3,6.1
Virola sebifera,1,3.34,2.21,1.4,2.95,1.42,1.92
Virola sebifera,2,11.2,10.2,4.59,9.8,,
Virola sebifera,3,8.3,4.92,2.99,7.7,6.8,1.5
Virola sebifera,4,12.6,9.24,5.04,11.5,,
Virola sebifera,6,18.5,18.9,7.03,,,
Virola sebifera,7,7.8,4.86,2.57,7.05,5.8,2
Virola sebifera,8,17.9,15.5,5.01,15.5,,
Virola sebifera,9,7.2,4.15,2.74,6.7,5.5,1.7
Virola sebifera,10,4.7,3.1,2.07,4,1.9,2.8
Virola sebifera,11,1.02,0.79,0.6,0.76,,
Virola sebifera,12,13.2,9.22,5.94,9.8,,
Virola sebifera,13,13.2,10.03,5.68,10.5,,
Virola sebifera,14,7.3,4.51,2.56,6.7,5.9,1.4
Virola sebifera,15,11.3,7.58,3.96,9.7,,
Virola sebifera,16,8.1,5.44,3.24,7.5,6.3,1.8
Virola sebifera,17,19.5,15,6.83,16.8,,
Virola sebifera,18,19.6,17.6,6.47,17.5,,
Virola sebifera,19,13.6,9.22,4.22,11.2,,
Virola sebifera,20,2.49,1.34,1.02,2.05,1.58,0.91
Virola sebifera,21,1.73,1,0.73,1.45,,
Virola sebifera,22,1.66,1.01,0.9,1.2,,
Virola sebifera,23,10.8,6.56,4.21,8.8,,
Virola sebifera,24,10,6.94,4.3,8.2,5.4,4.6
Virola sebifera,26,7.6,5.2,3.04,6.5,5.1,2.5
Virola sebifera,27,10,6.39,3.2,8.3,6.6,3.4
Virola sebifera,28,4.65,2.12,1.44,4.35,4,0.65
Virola sebifera,29,16,14.16,6.4,13.6,,
Virola sebifera,30,2.36,1.52,1.16,2.04,1.35,1.01
Virola sebifera,31,6.5,4.36,2.73,5.5,3.9,2.6
Virola sebifera,32,4.7,2.84,1.88,3.75,2.57,2.13
Virola sebifera,33,4.55,3.14,1.64,4.3,3.9,0.65
Virola sebifera,34,4.05,2.42,1.58,3.5,2.35,1.7
Virola sebifera,35,5.6,3.96,3.3,4.9,3.8,1.8
Virola sebifera,36,4.08,2.22,1.92,3.5,1.67,2.41
Virola sebifera,37,32.2,45.3,10.25,29.2,26,
Virola sebifera,38,30,49.7,14,27,24,
Virola sebifera,39,22.6,31.1,11.05,18.7,13.8,
Virola sebifera,40,26.7,33.4,7.5,24.2,22,
Virola sebifera,41,23.5,23.4,7.9,21,18.2,
Virola sebifera,42,29.3,48.1,12.05,25.7,22.3,
Virola sebifera,43,25.5,27.4,9,21.5,16.3,
Virola sebifera,44,28,46.1,13.3,23.8,19,
