Species,Tree #,Height (m),D1.10,Crown width (m),Ave Leaf Height (m),Lowest leaf height (m),Crown length
Goethalsia meiantha,20,6.3,4.59,3.15,5.6,3.8,
Goethalsia meiantha,21,1.2,0.84,0.67,0.98,0.35,
Goethalsia meiantha,22,2.74,1.83,2.1,2.1,1.3,
Goethalsia meiantha,23,10.9,10.67,5,7.2,3,
Goethalsia meiantha,24,3.6,2.04,1.55,3,1.6,
Goethalsia meiantha,25,28,58.4,13.65,23.4,16.3,
Goethalsia meiantha,26,4.2,3.06,2.6,3.25,0.57,
Goethalsia meiantha,27,2.6,1.76,1.21,2.24,0.28,
Goethalsia meiantha,28,1.11,0.78,0.69,0.88,0.25,
Goethalsia meiantha,29,1.08,0.85,0.56,0.91,0.46,
Goethalsia meiantha,30,11.9,13,5.95,9.5,4.1,
Goethalsia meiantha,31,6.8,4.54,3.54,5.3,2.65,
Goethalsia meiantha,32,1.24,0.88,0.98,0.9,0.49,
Goethalsia meiantha,33,6,3.94,4.05,4.5,2.8,
Goethalsia meiantha,34,6.1,3.66,2.65,4.4,1.05,
Laetia procera,1,6.4,4.09,2.45,5.5,4.2,
Laetia procera,2,27.3,30.9,7.5,24.8,22.3,
Laetia procera,3,18.5,13.9,4.5,17,12.8,
Laetia procera,4,12,6.82,3.75,10.2,8.4,
Laetia procera,5,25.9,32.5,9.35,23.3,10.6,
Laetia procera,6,27.4,36.4,10.6,25,23,
Laetia procera,7,24.1,22.6,9.25,22.3,20,
Laetia procera,8,30.2,39.1,11.4,28,25.6,
Laetia procera,9,8.9,6.63,3.85,7.2,5.3,
Laetia procera,10,8,6.63,4.32,7,5.4,
Laetia procera,11,36.5,83.3,16.5,31,24.5,
Laetia procera,12,34,65.1,21.5,30,22,
Laetia procera,13,16.2,12,7.25,15.2,14,
Laetia procera,14,35.5,72.8,19,32.5,29,
Laetia procera,15,14.5,8.33,2.9,14.2,13.8,
Laetia procera,16,20.8,15.4,4.55,19.4,18,
Laetia procera,17,16,12,5.5,14.9,13.5,
Laetia procera,18,3.03,1.67,1.42,2.6,2.2,
Laetia procera,19,22.3,19.6,6.3,,16,
Laetia procera,20,12.3,6.95,2.8,11.9,11.4,
Laetia procera,21,13.5,7.03,4.25,12,10.7,
Laetia procera,22,3.8,2.3,2.35,2.4,0.86,
Laetia procera,23,4.6,2.88,2.35,3.6,2.5,
Laetia procera,24,4.7,3.1,2.98,3.5,2.4,
Laetia procera,25,3.4,2.56,1.95,2.7,1.9,
Laetia procera,26,3.5,2.16,2.05,2.65,1.15,
Laetia procera,27,5.8,3.8,3.4,5,3.8,
Laetia procera,28,3.8,1.89,2.08,2.8,1.56,
Laetia procera,29,2.5,1.38,1.62,2.25,1.88,
Laetia procera,30,1.41,1.32,1.12,1.1,0.21,
Laetia procera,31,1.4,1.12,0.98,0.9,0.39,
Laetia procera,32,32.5,73.6,20.75,30,27.3,
Laetia procera,L7,1.82,1.19,1.37,1.5,1.03,
Laetia procera,L8,2.1,1.11,1.09,1.39,0.565,
Laetia procera,L12,2.09,1.52,1.45,1.52,0.435,
Laetia procera,L13,1.19,0.53,0.64,0.7,0.285,
Laetia procera,L14,1.92,0.98,1.16,1.25,0.41,
Laetia procera,L15,1.56,1.11,1.22,0.85,0.27,
Laetia procera,L16,1.4,0.88,1.04,0.79,0.26,
Lecythis ampla,60267,3.68,2.55,1.8,3.14,2.5,
Lecythis ampla,60186,12,10.5,4,10.7,8.8,
Lecythis ampla,60128,42,74.6,24.75,,29.5,
Lecythis ampla,60144,8.8,5.94,4.52,7.4,5.4,
Lecythis ampla,6015,40,90,30.5,35,30,
Lecythis ampla,6058,39,119,31.75,33.5,21.5,
Lecythis ampla,6067,16.9,16.7,8.2,13.8,10.7,
Lecythis ampla,6066,33,45.8,12.8,30,27.5,
