"var_in","method","unit_in","var_out","notes"
"species",NA,NA,"species",NA
"family",NA,NA,"family",NA
"Time",NA,NA,NA,NA
"light level","li",NA,"light","see dataNew"
"SLA (cm2 g-1)","b,m5,6","cm2.g","ma.ilf",NA
"leafbiomass_fixed","m5,6","g","m.lf",NA
"Stem biomass (g)","m5","g","m.st",NA
"Root biomass (g)","m5","g","m.rt",NA
"Initial height (cm)",NA,NA,NA,NA
"Final height (cm)","xx3","cm","h.t",NA
