species,family,Time ,light level,SLA (cm2 g-1),Leaf biomass (g),Stem biomass (g),Root biomass (g),Initial height (cm),Final height (cm),leafbiomass_fixed,leafmassproblem
Magnolia iltisiana,Magnoliaceae,1,a,284.02,0.979,0.1,0.255,9,11.8,0.979,
Magnolia iltisiana,Magnoliaceae,1,a,278.36,0.956,0.037,0.124,6,9.1,0.956,
Magnolia iltisiana,Magnoliaceae,1,a,297.24,0.964,0.061,0.186,7,9.7,0.964,
Magnolia iltisiana,Magnoliaceae,2,a,328.48,0.11,0.049,0.178,6.5,8,0.11,
Magnolia iltisiana,Magnoliaceae,2,a,248.22,0.264,0.078,0.21,5.5,7.5,0.264,
Magnolia iltisiana,Magnoliaceae,2,a,291.43,0.361,0.121,0.278,9,10.5,0.361,
Magnolia iltisiana,Magnoliaceae,2,a,179.72,0.917,0.307,0.009,10,12,0.917,
Magnolia iltisiana,Magnoliaceae,2,a,214.18,0.264,0.095,0.272,7,7.5,0.264,
Magnolia iltisiana,Magnoliaceae,2,a,221.46,0.347,0.099,0.264,7,8,0.347,
Magnolia iltisiana,Magnoliaceae,2,a,315.34,0.296,0.122,0.331,8.5,12,0.296,
Magnolia iltisiana,Magnoliaceae,2,a,269.02,0.274,0.106,0.368,8,10.3,0.274,
Magnolia iltisiana,Magnoliaceae,2,a,183.7,0.556,0.144,0.44,10,10.7,0.556,
Magnolia iltisiana,Magnoliaceae,2,a,0,0,0,0,5,0,0,
Magnolia iltisiana,Magnoliaceae,3,a,274.69,0.507,0.117,0.298,7,13.2,0.507,
Magnolia iltisiana,Magnoliaceae,3,a,215.54,0.372,0.15,0.479,8,11,0.372,
Magnolia iltisiana,Magnoliaceae,3,a,195.88,0.375,0.201,0.361,6.5,12.5,0.375,
Magnolia iltisiana,Magnoliaceae,3,a,228.35,1.04,0.282,0.524,9,17.4,1.04,
Magnolia iltisiana,Magnoliaceae,3,a,271.3,0.75,0.58,0.185,10,15.7,0.75,
Magnolia iltisiana,Magnoliaceae,3,a,237.04,1.31,0.289,0.984,7.5,16.2,1.31,
Magnolia iltisiana,Magnoliaceae,3,a,0,0,0,0,6.5,0,0,
Magnolia iltisiana,Magnoliaceae,3,a,0,0,0,0,4.5,0,0,
Magnolia iltisiana,Magnoliaceae,3,a,0,0,0,0,10,0,0,
Magnolia iltisiana,Magnoliaceae,3,a,0,0,0,0,9,0,0,
Magnolia iltisiana,Magnoliaceae,4,a,282.3,0.102,0.175,0.478,6,14,0.102,
Magnolia iltisiana,Magnoliaceae,4,a,287.34,0.108,0.213,0.7,6,16,0.108,
Magnolia iltisiana,Magnoliaceae,4,a,187.15,0.111,0.495,1.29,7.5,18.5,0.111,
Magnolia iltisiana,Magnoliaceae,4,a,370.77,0.446,0.188,0.365,7,15,0.446,
Magnolia iltisiana,Magnoliaceae,4,a,284.11,0.998,0.208,0.307,10,14,0.998,
Magnolia iltisiana,Magnoliaceae,4,a,243.45,0.105,0.285,0.646,6,16,0.105,
Magnolia iltisiana,Magnoliaceae,4,a,287.09,0.105,0.198,0.468,6.5,15,0.104,
Magnolia iltisiana,Magnoliaceae,4,a,252.68,0.109,0.438,0.715,10,20,0.109,
Magnolia iltisiana,Magnoliaceae,4,a,0,0,0,0,6.4,0,0,
Magnolia iltisiana,Magnoliaceae,4,a,0,0,0,0,7.3,0,0,
Magnolia iltisiana,Magnoliaceae,5,a,308.29,0.116,0.355,0.706,6.5,19,0.116,
Magnolia iltisiana,Magnoliaceae,5,a,529.62,0.196,0.298,0.606,8.3,16.5,0.196,
Magnolia iltisiana,Magnoliaceae,5,a,163.76,0.585,0.165,0.42,6.5,12,0.585,
Magnolia iltisiana,Magnoliaceae,5,a,209.18,0.154,1.14,1.4,8,29,0.154,
Magnolia iltisiana,Magnoliaceae,5,a,305.31,0.08,0.389,0.691,6.5,21.5,0.08,
Magnolia iltisiana,Magnoliaceae,5,a,261.45,0.129,0.64,1.65,9,27.5,0.129,
Magnolia iltisiana,Magnoliaceae,5,a,332.34,0.055,0.48,1.1,7.5,20,0.055,
Magnolia iltisiana,Magnoliaceae,5,a,319.03,0.089,0.329,0.76,6,19,0.089,
Magnolia iltisiana,Magnoliaceae,5,a,369.95,0.042,0.363,1.05,10,22.5,0.042,
Magnolia iltisiana,Magnoliaceae,5,a,0,0,0,0,8.5,0,0,
Magnolia iltisiana,Magnoliaceae,1,b,259.9,0.947,0.05,0.095,6,13.2,0.947,
Magnolia iltisiana,Magnoliaceae,1,b,277.4,0.977,0.075,0.143,8.5,14.5,0.977,
Magnolia iltisiana,Magnoliaceae,1,b,244.65,0.98,0.107,0.247,7.5,12.9,0.98,
Magnolia iltisiana,Magnoliaceae,1,b,263.78,0.946,0.029,0.062,6,13.6,0.046,y
Magnolia iltisiana,Magnoliaceae,1,b,259.09,0.974,0.092,0.208,8,12.5,0.974,
Magnolia iltisiana,Magnoliaceae,1,b,293.25,0.966,0.064,0.173,5.5,14,0.966,
Magnolia iltisiana,Magnoliaceae,1,b,316.24,0.95,0.019,0.037,7.5,11.8,0.95,
Magnolia iltisiana,Magnoliaceae,1,b,260.82,0.955,0.048,0.056,8.5,18.4,0.955,
Magnolia iltisiana,Magnoliaceae,1,b,243.57,0.978,0.148,0.277,8,11.9,0.978,
Magnolia iltisiana,Magnoliaceae,1,b,758.79,0.951,0.134,0.312,8,15.3,0.951,
Magnolia iltisiana,Magnoliaceae,2,b,182.51,0.292,0.105,0.171,7.5,13.3,0.292,
Magnolia iltisiana,Magnoliaceae,2,b,175.29,0.286,0.115,0.322,9,10.7,0.286,
Magnolia iltisiana,Magnoliaceae,2,b,149.34,0.336,0.082,0.234,6,7.8,0.336,
Magnolia iltisiana,Magnoliaceae,2,b,0,0,0,0,7.5,0,0,
Magnolia iltisiana,Magnoliaceae,2,b,0,0,0,0,5.5,0,0,
Magnolia iltisiana,Magnoliaceae,2,b,0,0,0,0,9,0,0,
Magnolia iltisiana,Magnoliaceae,2,b,0,0,0,0,8.5,0,0,
Magnolia iltisiana,Magnoliaceae,2,b,0,0,0,0,8,0,0,
Magnolia iltisiana,Magnoliaceae,2,b,0,0,0,0,6.5,0,0,
Magnolia iltisiana,Magnoliaceae,2,b,0,0,0,0,4.5,0,0,
Magnolia iltisiana,Magnoliaceae,3,b,236.38,0.625,0.234,0.74,8.5,14.5,0.625,
Magnolia iltisiana,Magnoliaceae,3,b,253.55,0.905,0.373,0.894,4.5,6.4,0.905,
Magnolia iltisiana,Magnoliaceae,3,b,222.33,0.5,0.342,0.107,3.5,6.4,0.5,
Magnolia iltisiana,Magnoliaceae,3,b,230.18,0.091,0.308,0.657,4.5,8.2,0.091,
Magnolia iltisiana,Magnoliaceae,3,b,186.76,1.05,0.281,1.51,7.5,9.5,1.05,
Magnolia iltisiana,Magnoliaceae,3,b,227.01,0.492,0.197,0.396,6.5,7.8,0.492,
Magnolia iltisiana,Magnoliaceae,3,b,246.78,0.301,0.06,0.311,8.3,12.7,0.301,
Magnolia iltisiana,Magnoliaceae,3,b,258.73,0.703,0.268,0.62,8.5,10.6,0.703,
Magnolia iltisiana,Magnoliaceae,3,b,198.45,0.317,0.143,0.298,6.5,9.7,0.317,
Magnolia iltisiana,Magnoliaceae,3,b,189.34,0.549,0.182,0.562,7.5,10.7,0.549,
Magnolia iltisiana,Magnoliaceae,4,b,234.55,0.109,0.473,1.2,6,8.6,0.109,
Magnolia iltisiana,Magnoliaceae,4,b,243.84,0.107,0.344,0.93,7.5,9.3,0.107,
Magnolia iltisiana,Magnoliaceae,4,b,237.22,0.986,0.214,0.279,7,8.6,0.986,
Magnolia iltisiana,Magnoliaceae,4,b,218.35,0.104,0.41,0.893,10,12.7,0.104,
Magnolia iltisiana,Magnoliaceae,4,b,0,0,0.236,0.718,6,7.8,0,
Magnolia iltisiana,Magnoliaceae,4,b,0,0,0.323,0.68,6.5,11,0,
Magnolia iltisiana,Magnoliaceae,4,b,0,0,0,0,9.5,0,0,
Magnolia iltisiana,Magnoliaceae,4,b,0,0,0,0,6.4,0,0,
Magnolia iltisiana,Magnoliaceae,4,b,0,0,0,0,7.4,0,0,
Magnolia iltisiana,Magnoliaceae,4,b,0,0,0,0,6.5,0,0,
Magnolia iltisiana,Magnoliaceae,5,b,190.31,0.107,0.288,0.827,7.5,11.5,0.107,
Magnolia iltisiana,Magnoliaceae,5,b,243.11,0.085,0.386,0.7,6.3,10.2,0.085,
Magnolia iltisiana,Magnoliaceae,5,b,240.82,0.057,0.475,1.09,8.5,10.5,0.057,
Magnolia iltisiana,Magnoliaceae,5,b,229.58,0.092,0.409,1.51,6.5,7.6,0.092,
Magnolia iltisiana,Magnoliaceae,5,b,233.09,0.053,0.34,0.608,8.5,11.2,0.053,
Magnolia iltisiana,Magnoliaceae,5,b,226.29,0.64,0.488,1.19,7.5,9.3,0.64,
Magnolia iltisiana,Magnoliaceae,5,b,243.61,0.079,0.417,1.28,6.5,8.5,0.079,
Magnolia iltisiana,Magnoliaceae,5,b,0,0,0.526,1.27,9.5,12.6,0,
Magnolia iltisiana,Magnoliaceae,5,b,0,0,0,0,8.5,0,0,
Magnolia iltisiana,Magnoliaceae,5,b,0,0,0,0,6.5,0,0,
Magnolia iltisiana,Magnoliaceae,1,c,298.17,0.96,0.067,0.182,4,8.5,0.96,
Magnolia iltisiana,Magnoliaceae,1,c,325.67,0.961,0.063,0.161,7.5,9.2,0.961,
Magnolia iltisiana,Magnoliaceae,1,c,258.75,0.979,0.123,0.256,9,13,0.979,
Magnolia iltisiana,Magnoliaceae,1,c,252.53,0.952,0.052,0.067,5,10,0.952,
Magnolia iltisiana,Magnoliaceae,1,c,152.51,0.952,0.03,0.073,5.5,7.4,0.952,
Magnolia iltisiana,Magnoliaceae,1,c,284.66,0.97,0.082,0.195,9,12,0.97,
Magnolia iltisiana,Magnoliaceae,1,c,253.33,0.948,0.018,0.017,3.5,6.4,0.948,
Magnolia iltisiana,Magnoliaceae,1,c,312.04,0.956,0.064,0.093,6.5,9.4,0.956,
Magnolia iltisiana,Magnoliaceae,1,c,213.69,0.963,0.072,0.126,7.5,10.4,0.963,
Magnolia iltisiana,Magnoliaceae,1,c,269.87,0.958,0.093,0.086,7.5,12,0.958,
Magnolia iltisiana,Magnoliaceae,2,c,243.72,0.205,0.163,0.2,9,10,0.205,
Magnolia iltisiana,Magnoliaceae,2,c,209.36,0.267,0.139,0.243,8,9.5,0.267,
Magnolia iltisiana,Magnoliaceae,2,c,296.26,0.326,0.107,0.31,7,9.7,0.326,
Magnolia iltisiana,Magnoliaceae,2,c,272.98,0.228,0.073,0.109,6,10,0.228,
Magnolia iltisiana,Magnoliaceae,2,c,190.26,0.537,0.215,0.431,8.5,10.3,0.537,
Magnolia iltisiana,Magnoliaceae,2,c,298.01,0.241,0.116,0.281,7.5,11.5,0.241,
Magnolia iltisiana,Magnoliaceae,2,c,355.48,0.072,0.037,0.075,6,8.5,0.072,
Magnolia iltisiana,Magnoliaceae,2,c,221.91,0.3,0.14,0.241,8,11.3,0.3,
Magnolia iltisiana,Magnoliaceae,2,c,263.56,0.1,0.036,0.079,5.5,7,0.1,
Magnolia iltisiana,Magnoliaceae,2,c,324.05,0.175,0.111,0.193,7.5,10,0.175,
Magnolia iltisiana,Magnoliaceae,3,c,283.97,0.496,0.387,0.368,9,11.5,0.496,
Magnolia iltisiana,Magnoliaceae,3,c,293.58,0.317,0.136,0.296,8,13,0.317,
Magnolia iltisiana,Magnoliaceae,3,c,292.45,0.458,0.189,0.445,7.5,12.5,0.458,
Magnolia iltisiana,Magnoliaceae,3,c,244.28,0.381,0.188,0.445,8,11,0.381,
Magnolia iltisiana,Magnoliaceae,3,c,225.93,0.241,0.106,0.176,7.5,9,0.241,
Magnolia iltisiana,Magnoliaceae,3,c,245.93,0.322,0.139,0.344,6,7.5,0.322,
Magnolia iltisiana,Magnoliaceae,3,c,257.8,0.503,0.197,0.569,9,12.5,0.503,
Magnolia iltisiana,Magnoliaceae,3,c,358.32,0.368,0.12,0.268,5.5,8,0.368,
Magnolia iltisiana,Magnoliaceae,3,c,265.01,0.602,0.261,0.744,8,13,0.602,
Magnolia iltisiana,Magnoliaceae,3,c,0,0,0,0,8,0,0,
Magnolia iltisiana,Magnoliaceae,4,c,240.59,2.09,0.577,1.17,9,19.5,2.09,
Magnolia iltisiana,Magnoliaceae,4,c,312.96,1.01,0.19,0.477,8.5,14.5,1.01,
Magnolia iltisiana,Magnoliaceae,4,c,253.47,0.98,0.272,0.708,7.5,12.5,0.98,
Magnolia iltisiana,Magnoliaceae,4,c,238.13,1.02,0.324,0.668,6,13.9,1.02,
Magnolia iltisiana,Magnoliaceae,4,c,259.79,1.01,0.25,0.472,8,14,1.01,
Magnolia iltisiana,Magnoliaceae,4,c,291.21,1,0.197,0.371,4.5,16,1,
Magnolia iltisiana,Magnoliaceae,4,c,238.52,0.126,0.353,1.2,7,21,0.126,
Magnolia iltisiana,Magnoliaceae,4,c,237.84,1.04,0.367,0.888,7.5,42,1.04,
Magnolia iltisiana,Magnoliaceae,4,c,254.58,0.947,0.363,1.09,8,18.3,0.947,
Magnolia iltisiana,Magnoliaceae,4,c,213.1,1.58,1.07,1.71,8,19,1.58,
Magnolia iltisiana,Magnoliaceae,5,c,213.49,0.035,0.28,0.685,9,20.5,0.035,
Magnolia iltisiana,Magnoliaceae,5,c,348.14,0.54,0.136,0.27,8.5,14.9,0.54,
Magnolia iltisiana,Magnoliaceae,5,c,279.68,0.223,0.398,0.824,10,17.3,0.223,
Magnolia iltisiana,Magnoliaceae,5,c,237.98,1.25,0.584,1.67,9,20.5,1.25,
Magnolia iltisiana,Magnoliaceae,5,c,369.99,0.264,0.419,0.826,7,22.3,0.264,
Magnolia iltisiana,Magnoliaceae,5,c,278.16,0.568,0.44,1.12,9,21.2,0.568,
Magnolia iltisiana,Magnoliaceae,5,c,328.68,0.452,0.379,1.05,6.5,20.4,0.452,
Magnolia iltisiana,Magnoliaceae,5,c,284.68,0.28,0.421,0.87,5,21.9,0.28,
Magnolia iltisiana,Magnoliaceae,5,c,270.67,0.33,0.515,0.794,5,25,0.33,
Magnolia iltisiana,Magnoliaceae,5,c,105.53,0.139,0.225,0.647,9.5,17.3,0.139,
Magnolia iltisiana,Magnoliaceae,1,d,186.06,0.243,0.169,0.587,8.5,11.7,0.243,
Magnolia iltisiana,Magnoliaceae,1,d,223.17,0.971,0.091,0.438,6.5,8.5,0.971,
Magnolia iltisiana,Magnoliaceae,1,d,44.04,0.991,0.032,0.07,4.5,6,0.991,
Magnolia iltisiana,Magnoliaceae,1,d,236.27,0.901,0.037,0.062,3,5.3,0.901,
Magnolia iltisiana,Magnoliaceae,1,d,248.02,0.876,0.028,0.085,4,6.6,0.876,
Magnolia iltisiana,Magnoliaceae,1,d,134.61,0.965,0.135,0.216,6.5,7.9,0.965,
Magnolia iltisiana,Magnoliaceae,1,d,183.11,0.985,0.118,0.206,6.5,9.9,0.985,
Magnolia iltisiana,Magnoliaceae,1,d,238.73,0.99,0.133,0.293,9.5,13.4,0.99,
Magnolia iltisiana,Magnoliaceae,1,d,272.39,0.101,0.141,0.413,7.5,11.8,0.101,
Magnolia iltisiana,Magnoliaceae,1,d,227.01,0.192,0.241,0.724,9,16.5,0.192,
Magnolia iltisiana,Magnoliaceae,2,d,229.97,0.142,0.08,0.133,6,6.5,0.142,
Magnolia iltisiana,Magnoliaceae,2,d,171.36,1.21,0.458,1.109,11,13,1.21,
Magnolia iltisiana,Magnoliaceae,2,d,186.26,0.568,0.154,0.486,6,9,0.568,
Magnolia iltisiana,Magnoliaceae,2,d,173.02,0.851,0.229,0.669,8,11.5,0.851,
Magnolia iltisiana,Magnoliaceae,2,d,181.95,1.009,0.439,0.96,9,14,1.009,
Magnolia iltisiana,Magnoliaceae,2,d,154.22,0.668,0.361,0.461,6.2,7.5,0.668,
Magnolia iltisiana,Magnoliaceae,2,d,162.46,0.986,0.255,0.658,6.5,4,0.986,
Magnolia iltisiana,Magnoliaceae,2,d,210.34,0.189,0.26,0.607,8.5,11,0.189,
Magnolia iltisiana,Magnoliaceae,2,d,0,0,0,0,7.5,0,0,
Magnolia iltisiana,Magnoliaceae,2,d,0,0,0,0,6.8,0,0,
Magnolia iltisiana,Magnoliaceae,3,d,153.1,0.781,0.441,1.28,9.5,19,0.781,
Magnolia iltisiana,Magnoliaceae,3,d,360.04,0.976,0.16,0.461,8,14,0.976,
Magnolia iltisiana,Magnoliaceae,3,d,212.3,0.949,0.516,1.25,10,16.1,0.949,
Magnolia iltisiana,Magnoliaceae,3,d,234.7,0.774,0.335,1.13,7,14.2,0.774,
Magnolia iltisiana,Magnoliaceae,3,d,235.59,1.13,0.217,1.35,6,15.5,1.13,
Magnolia iltisiana,Magnoliaceae,3,d,229.45,0.347,0.141,0.445,9,14,0.347,
Magnolia iltisiana,Magnoliaceae,3,d,314.54,0.238,0.09,0.387,4,9.3,0.238,
Magnolia iltisiana,Magnoliaceae,3,d,185.17,0.265,0.153,0.702,6,9,0.265,
Magnolia iltisiana,Magnoliaceae,3,d,227.1,0.623,0.363,0.585,8,17,0.623,
Magnolia iltisiana,Magnoliaceae,3,d,0,0,0,0,7.5,0,0,
Magnolia iltisiana,Magnoliaceae,4,d,216.72,3.23,0.32,1.15,4.5,14,3.23,
Magnolia iltisiana,Magnoliaceae,4,d,231.39,1.12,0.005,1.61,9.3,32,1.12,
Magnolia iltisiana,Magnoliaceae,4,d,211.25,1.06,0.375,1.25,7,14,1.06,
Magnolia iltisiana,Magnoliaceae,4,d,200.17,1.06,0.433,0.916,9,12,1.06,
Magnolia iltisiana,Magnoliaceae,4,d,186.91,1.05,1.58,3.78,10,30,1.05,
Magnolia iltisiana,Magnoliaceae,4,d,218.1,1.23,0.322,0.698,6.5,15.5,1.23,
Magnolia iltisiana,Magnoliaceae,4,d,218.95,1.05,0.341,0.705,5,15,1.05,
Magnolia iltisiana,Magnoliaceae,4,d,192.45,0.998,0.525,1.39,7,17,0.998,
Magnolia iltisiana,Magnoliaceae,4,d,281.82,1.05,0.365,0.891,7.5,12,1.05,
Magnolia iltisiana,Magnoliaceae,4,d,190.12,2.14,0.178,1.93,9,32,2.14,
Magnolia iltisiana,Magnoliaceae,5,d,244.25,1.17,0.513,1.31,6,15.5,1.17,
Magnolia iltisiana,Magnoliaceae,5,d,280.87,1.13,1.01,1.83,5,25,1.13,
Magnolia iltisiana,Magnoliaceae,5,d,459.44,1.28,1.53,2.32,7,34.5,1.28,
Magnolia iltisiana,Magnoliaceae,5,d,441.9,1.16,0.47,1.08,5,11.5,1.16,
Magnolia iltisiana,Magnoliaceae,5,d,785.2,0.72,0.676,1.11,4.6,22,0.72,
Magnolia iltisiana,Magnoliaceae,5,d,260.14,0.386,0.174,0.429,7,8,0.386,
Magnolia iltisiana,Magnoliaceae,5,d,616.22,2.07,0.781,2.31,6.5,21,2.07,
Magnolia iltisiana,Magnoliaceae,5,d,162.82,1.14,0.845,1.65,8.5,22,1.14,
Magnolia iltisiana,Magnoliaceae,5,d,262.44,0.827,0.955,0.903,6,20.5,0.827,
Magnolia iltisiana,Magnoliaceae,5,d,285.81,1.04,1.276,1.97,12.5,31.5,1.04,
Persea hintonii,Lauraceae,1,a,315.47,0.945,0.018,0.023,5,7.6,0.062,y
Persea hintonii,Lauraceae,1,a,303.94,0.949,0.025,0.047,6.5,8.4,0.949,
Persea hintonii,Lauraceae,1,a,248.83,0.952,0.057,0.069,7.5,11.6,0.952,
Persea hintonii,Lauraceae,1,a,248.33,0.952,0.037,0.055,7.5,9,0.952,
Persea hintonii,Lauraceae,1,a,236.38,0.952,0.048,0.067,6,8.6,0.952,
Persea hintonii,Lauraceae,1,a,222.17,0.956,0.054,0.096,7,8.7,0.956,
Persea hintonii,Lauraceae,1,a,134.7,0.951,0.035,0.044,7.5,9.4,0.951,
Persea hintonii,Lauraceae,1,a,252.36,0.948,0.023,0.042,6.5,7.5,0.948,
Persea hintonii,Lauraceae,1,a,228.33,0.948,0.021,0.048,6.5,6.7,0.948,
Persea hintonii,Lauraceae,1,a,0,0,0,0,8,0,0,
Persea hintonii,Lauraceae,2,a,369.41,0.069,0.041,0.072,5,8.5,0.069,
Persea hintonii,Lauraceae,2,a,177.03,0.093,0.04,0.102,7.5,10.2,0.093,
Persea hintonii,Lauraceae,2,a,178.6,0.168,0.085,0.159,9,11.2,0.168,
Persea hintonii,Lauraceae,2,a,186.76,0.964,0.07,0.188,8,11,0.964,
Persea hintonii,Lauraceae,2,a,175.72,0.841,0.059,0.14,5.5,8,0.841,
Persea hintonii,Lauraceae,2,a,210.14,0.161,0.093,0.101,8.5,12.5,0.161,
Persea hintonii,Lauraceae,2,a,218.85,9.54,0.131,0.092,9.5,14,9.54,
Persea hintonii,Lauraceae,2,a,171.58,0.094,0.062,0.113,7,8.5,0.094,
Persea hintonii,Lauraceae,2,a,192.52,0.111,0.06,0.118,8.5,10.5,0.111,
Persea hintonii,Lauraceae,2,a,0,0,0,0,6.5,0,0,
Persea hintonii,Lauraceae,3,a,241.54,0.223,0.081,0.268,9.6,14.4,0.223,
Persea hintonii,Lauraceae,3,a,107.82,0.266,0.127,0.343,6,12.5,0.266,
Persea hintonii,Lauraceae,3,a,197.64,0.302,0.085,0.223,5.5,10,0.302,
Persea hintonii,Lauraceae,3,a,232.8,0.269,0.057,0.221,4,10.3,0.269,
Persea hintonii,Lauraceae,3,a,229.37,0.112,0.036,0.149,5,10.2,0.112,
Persea hintonii,Lauraceae,3,a,261.64,0.113,0.064,0.144,6,9,0.113,
Persea hintonii,Lauraceae,3,a,254.01,0.128,0.059,0.057,4.5,10.1,0.128,
Persea hintonii,Lauraceae,3,a,237.62,0.267,0.076,0.206,9,14,0.267,
Persea hintonii,Lauraceae,3,a,385.78,0.257,0.111,0.232,5.2,13.5,0.257,
Persea hintonii,Lauraceae,3,a,355.96,0.22,0.052,0.114,5,10.5,0.22,
Persea hintonii,Lauraceae,4,a,267.32,0.346,0.202,0.346,5.5,16,0.346,
Persea hintonii,Lauraceae,4,a,280.23,0.204,0.134,0.204,9.5,20,0.204,
Persea hintonii,Lauraceae,4,a,240.61,0.335,0.158,0.335,6.5,13,0.335,
Persea hintonii,Lauraceae,4,a,133.74,0.137,0.117,0.137,6,16,0.137,
Persea hintonii,Lauraceae,4,a,212.08,0.142,0.085,0.142,5,10,0.142,
Persea hintonii,Lauraceae,4,a,300.16,0.227,0.11,0.227,6.5,16,0.227,
Persea hintonii,Lauraceae,4,a,273.12,0.252,0.117,0.252,5,14,0.252,
Persea hintonii,Lauraceae,4,a,321.06,0.32,0.188,0.32,10.5,23,0.32,
Persea hintonii,Lauraceae,4,a,228.02,0.227,0.102,0.227,6,12.5,0.227,
Persea hintonii,Lauraceae,4,a,333.12,0.346,0.272,0.346,8.3,26.2,0.346,
Persea hintonii,Lauraceae,5,a,327.02,0.612,0.293,0.612,9.6,24,0.612,
Persea hintonii,Lauraceae,5,a,285.98,1.2,0.643,1.2,5.5,23,1.2,
Persea hintonii,Lauraceae,5,a,282.54,0.576,0.317,0.576,8,27,0.576,
Persea hintonii,Lauraceae,5,a,276.3,0.682,0.477,0.682,7.5,32,0.682,
Persea hintonii,Lauraceae,5,a,239.98,0.453,0.479,0.453,9,33.5,0.453,
Persea hintonii,Lauraceae,5,a,299.13,0.718,0.418,0.718,5,30.5,0.718,
Persea hintonii,Lauraceae,5,a,289.13,0.41,0.264,0.41,8,25.5,0.41,
Persea hintonii,Lauraceae,5,a,290.74,0.373,0.177,0.373,8,19.2,0.373,
Persea hintonii,Lauraceae,5,a,276.93,0.36,0.293,0.36,9,27.8,0.36,
Persea hintonii,Lauraceae,5,a,256.75,0.507,0.315,0.507,9.5,25,0.507,
Persea hintonii,Lauraceae,1,b,215.55,0.951,0.045,0.178,7.5,11.6,0.951,
Persea hintonii,Lauraceae,1,b,344.09,0.948,0.033,0.03,9,10.5,0.948,
Persea hintonii,Lauraceae,1,b,329.26,0.946,0.023,0.031,7.5,8.6,0.04,y
Persea hintonii,Lauraceae,1,b,218.02,0.948,0.024,0.053,7,8.7,0.948,
Persea hintonii,Lauraceae,1,b,194.83,0.95,0.036,0.054,6.5,9.4,0.95,
Persea hintonii,Lauraceae,1,b,221.87,0.948,0.033,0.047,6.5,7.5,0.948,
Persea hintonii,Lauraceae,1,b,236.97,0.946,0.029,0.034,6.7,9,0.044,y
Persea hintonii,Lauraceae,1,b,283.28,0.945,0.021,0.021,7.5,8.8,0.034,y
Persea hintonii,Lauraceae,1,b,301.2,0.948,0.023,0.035,4.5,6.5,0.948,
Persea hintonii,Lauraceae,1,b,347.91,0.947,0.018,0.025,6.5,10.2,0.947,
Persea hintonii,Lauraceae,2,b,163.59,0.155,0.08,0.32,7.5,11.2,0.155,
Persea hintonii,Lauraceae,2,b,194.13,0.158,0.101,0.21,4,11,0.158,
Persea hintonii,Lauraceae,2,b,196.36,0.085,0.028,0.202,7,8,0.085,
Persea hintonii,Lauraceae,2,b,189.47,0.011,0.04,0.154,8.8,22.5,0.011,
Persea hintonii,Lauraceae,2,b,196.74,0.016,0.009,0.091,7,11.6,0.016,
Persea hintonii,Lauraceae,2,b,166.97,0.109,0.045,0.174,8,9.8,0.109,
Persea hintonii,Lauraceae,2,b,161.2,0.117,0.438,0.216,4.5,8.6,0.117,
Persea hintonii,Lauraceae,2,b,155.12,0.153,0.057,0.29,8,18.7,0.153,
Persea hintonii,Lauraceae,2,b,144.95,0.131,0.047,0.278,6,9.4,0.131,
Persea hintonii,Lauraceae,2,b,195.02,0.184,0.089,0.275,7,7.5,0.184,
Persea hintonii,Lauraceae,3,b,310.28,0.023,0.018,0.141,6.5,7.7,0.023,
Persea hintonii,Lauraceae,3,b,228.45,0.138,0.045,0.094,5.5,8.3,0.138,
Persea hintonii,Lauraceae,3,b,176.49,0.245,0.093,0.387,4.5,8.5,0.245,
Persea hintonii,Lauraceae,3,b,423.77,0.835,0.046,0.091,5,10.2,0.835,
Persea hintonii,Lauraceae,3,b,239.46,0.244,0.104,0.164,7.5,11.2,0.244,
Persea hintonii,Lauraceae,3,b,206.09,0.055,0.041,0.79,5.5,11,0.055,
Persea hintonii,Lauraceae,3,b,202.57,0.232,0.089,0.213,6,8,0.232,
Persea hintonii,Lauraceae,3,b,214.21,0.13,0.045,0.138,9,32.5,0.13,
Persea hintonii,Lauraceae,3,b,192.29,0.164,0.071,0.223,6,7.3,0.164,
Persea hintonii,Lauraceae,3,b,0,0,0,0,6,0,0,
Persea hintonii,Lauraceae,4,b,239.53,1,0.179,0.384,7.5,15.2,1,
Persea hintonii,Lauraceae,4,b,252.1,0.977,0.126,0.261,6,11.3,0.977,
Persea hintonii,Lauraceae,4,b,321.16,0.622,0.101,0.277,7,6.2,0.622,
Persea hintonii,Lauraceae,4,b,257.17,0.964,0.146,0.231,7.5,8.1,0.964,
Persea hintonii,Lauraceae,4,b,245.44,0.988,0.146,0.257,6,7.8,0.988,
Persea hintonii,Lauraceae,4,b,276.24,0.963,0.076,0.214,5.5,7.5,0.963,
Persea hintonii,Lauraceae,4,b,217.02,0.99,0.152,0.423,7.5,9.4,0.99,
Persea hintonii,Lauraceae,4,b,224.45,0.959,0.076,0.153,6.5,8.3,0.959,
Persea hintonii,Lauraceae,4,b,248.77,0.965,0.086,0.16,9.4,30.7,0.965,
Persea hintonii,Lauraceae,4,b,210.54,0.99,0.116,0.353,6,8.2,0.99,
Persea hintonii,Lauraceae,5,b,254.97,0.324,0.204,0.436,7.5,8.3,0.324,
Persea hintonii,Lauraceae,5,b,262.12,0.225,0.39,0.588,6.5,8.2,0.225,
Persea hintonii,Lauraceae,5,b,192.89,0.909,0.365,0.544,7.3,8.7,0.909,
