"var_in","method","unit_in","var_out","notes"
"Total.leaf.area..cm2.","c,t","cm2","a.lf",""
"Mean.leaf.area..cm2.","b,1","cm2","lf.sz",""
"Area.of.total.stem.cross.section..basal.area..mm2.","","mm2","a.stba",""
"Crown.projected.area..cm2.","a","cm2","a.cp",""
"Height.to.crown.base..cm.","","cm","h.c",""
"Crown.lenght..cm.","","cm","c.d",""
"Total.height.of.plant..cm.","","cm","h.t",""
"Specific.leaf.area..cm2.g.1.","","cm2.g","lf.ma",""
"ISF..percent...Indirect.Site.Factor..in.percent.of.above.canopy.light","li","-","light",""
"LAI..cm2.cm.2.","","m2.m2","lai",""
