"var_in","method","unit_in","var_out","notes"
"Source",NA,NA,NA,NA
"Species",NA,NA,NA,NA
"DBH",NA,NA,NA,NA
"Height",NA,NA,NA,NA
"Leaf biomass",NA,NA,NA,NA
"Branch biomass",NA,NA,NA,NA
"Trunk biomass",NA,NA,NA,NA
"Total biomass",NA,NA,NA,NA
"trees per ha",NA,NA,NA,NA
"Total biomass per ha",NA,NA,NA,NA
