"","var_in","method","unit_in","var_out","notes","var_in_unchecked_names"
"1","base.sap",NA,"cm2","a.ssba",NA,"base.sap"
"2","bh.sap",NA,"cm2","a.ssbh",NA,"bh.sap"
"3","cb.sap",NA,"cm2","a.ssbc",NA,"cb.sap"
"4","leaf.area",NA,"m2","a.lf",NA,"leaf.area"
"5","dbh",NA,"cm","d.bh",NA,"dbh"
"6","hgt.crown.base.",NA,"m","h.c",NA,"hgt.crown.base."
"7","basal.diameter",NA,"cm","d.ba",NA,"basal.diameter"
"8","Basal.cross.sectional.area",NA,"cm2","a.stba",NA,"Basal.cross.sectional.area"
"9","height",NA,"m","h.t",NA,"height"
"10","X",NA,NA,NA,NA,""
"11","num.of.branches",NA,NA,NA,NA,"num.of.branches"
