Topic, Description
Sampling strategy, Redwood trees from a range of diameters and crown positions were subjectively sampled.
Leaf area,projected LA in m2
Stem cross sectional area, cross sectional area of stem section including only sapwood in cm2
Height, Tree height from ground to tree top
Growth environment, second-growth redwood forests on coastal sites in Mediterranean environment
