"lookupVariable","lookupValue","newVariable","newValue","source"
"","","vegetation"," TempF"," from authors during review"
"species"," Actinodaphne acuminata"," species"," Litsea acuminata"," Name changed by Masae I. Ishihara, see methods for details"
"family"," Ternstroemiaceae"," family"," Theaceae","  Name changed by Masae I. Ishihara, see methods for details"
"","","h.bh","1.3","default"
