"lookupVariable","lookupValue","newVariable","newValue","source"
NA,NA,"latitude","53.198861","Converted from original file"
NA,NA,"longitude","-117.348611","Converted from original file"
NA,NA,"species","Pinus contorta var. latifolia","email"
NA,NA,"h.bh","1.3","default"
