spdataset,dataset,species,age,dbh,sapbh,sapcb,h_t,h_c,cw,m_lf,a_lf,wbr,m_st,a_cs,sitequal,socialclass,SAcon,Vell,sp,authorname,reference,country,remark,a_cp,a_st,a_ss_dbh,a_ss_crownbase
Reid-PICO,Reid,PICO,NA,12.8,85.69445227,NA,12.5,6.4,1.85,2.6216,16.48239837,NA,NA,30.19574466,good,D,21.47950156,11.46890758,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,2.688025214,0.012867964,0.008569445,NA
Reid-PICO,Reid,PICO,NA,13,89.93788464,NA,10.7,4.4,1.65,2.68959,16.8733013,NA,NA,18.87122465,good,D,13.74095689,6.272189733,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,2.1382465,0.013273229,0.008993788,NA
Reid-PICO,Reid,PICO,NA,12.5,74.66178616,NA,12.5,4.3,1.4,2.1058,12.35365143,NA,NA,15.47183944,good,D,11.12005339,4.412890481,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.5393804,0.012271846,0.007466179,NA
Reid-PICO,Reid,PICO,NA,14.1,99.18238228,NA,12.7,5.2,1.8,1.991234,13.32617655,NA,NA,24.16673596,good,D,17.46593232,8.821592171,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,2.544690049,0.015614501,0.009918238,NA
Reid-PICO,Reid,PICO,NA,14.7,102.9559231,NA,10.2,4.3,2,4.2416,28.47338169,NA,NA,22.87119453,good,D,17.01093257,9.00589894,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,3.141592654,0.016971669,0.010295592,NA
Reid-PICO,Reid,PICO,NA,12.7,82.58757676,NA,8.8,3.8,1.73,1.9931,13.63452831,NA,NA,17.43739983,good,D,12.94119197,5.954899347,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,2.350618163,0.012667687,0.008258758,NA
Reid-PICO,Reid,PICO,NA,12.4,88.8353062,NA,12.3,5.6,1.85,2.391167,13.53101017,NA,NA,26.65397698,good,D,19.18198328,10.03529413,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,2.688025214,0.012076282,0.008883531,NA
Reid-PICO,Reid,PICO,NA,19.3,159.882906,NA,17.2,8.3,2.15,2.818351,15.18711193,NA,NA,45.24344699,good,D,31.89549354,20.08878332,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,3.63050301,0.029255296,0.015988291,NA
Reid-PICO,Reid,PICO,NA,16.4,134.99,NA,14,8.5,2.1,4.833971,29.33670296,NA,NA,45.1556945,good,D,31.71543899,19.6271001,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,3.463605901,0.021124069,0.013499,NA
Reid-PICO,Reid,PICO,NA,11.2,65.16180516,NA,12.2,4.5,1.4,0.610295,3.795199634,NA,NA,16.14089189,good,D,11.55441119,4.618141201,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.5393804,0.009852035,0.006516181,NA
Reid-PICO,Reid,PICO,NA,14.4,108.3320414,NA,11.8,6.9,2.15,4.0457,24.2590152,NA,NA,38.01187131,good,D,27.21438181,16.70031385,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,3.63050301,0.016286016,0.010833204,NA
Reid-PICO,Reid,PICO,NA,14,95.23249771,NA,12,5.9,2.2,3.9243,23.82516425,NA,NA,33.72243925,good,D,24.54159741,14.95188664,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,3.801327111,0.015393804,0.00952325,NA
Reid-PICO,Reid,PICO,NA,8.1,15.45674328,NA,12.2,2.3,0.38,0.005843,0.045438019,NA,NA,2.182338056,good,S,1.490963908,0.173897625,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.113411495,0.005152997,0.001545674,NA
