Topic,Description
Sampling strategy,"The study site was 20 m times 20 m plot situated at ca. 320 m a. s. l. in a subtropical evergreen broadleaf forest. "Stand density was 2900 trees/ha. Thriteen sample trees were chosen from the plot taking tree species and DBH distribution into consideration, and felled for destructive sampling." (Kawanabe 1977)."
Leaf area,"Method not reported in Kawanabe (1977)."
Stem cross sectional area,"Estimated from stem diameter."
Height,"Method not reported in Kawanabe (1977)."
Biomass,"Method not reported in Kawanabe (1977)."
Other variables,"Other variables,"M. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Kawanabe (1977). Based on this reference, meta data was also created by M. Ishihara. Species name and family names were converted by M. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo.""
