Species,CO2,Temp,Water,Potnum,LeafDW,StemDW,RootDW,RootShoot,LMA,LA,Leafnum,LAR,Basaldia1,Basaldia2,Tipdia1,Tipdia2,Height,Branchnum,Mainstemnum,Primarybranchnum,Secondarybranchnum,Tertiarybranchnum,,,
Sideroxylon,400,Amb,wet,11,4.78,3.89,4.76,0.54,78.69,613,159,4.5,4.84,4.94,0.74,0.63,59,16,1,16,0,0,,,
Sideroxylon,400,Amb,wet,16,3.23,0.74,3.39,0.82,83.68,386,163,5.1,4.97,4.83,0.52,0.35,64,22,1,22,0,0,,,
Sideroxylon,400,Amb,wet,29,2.65,2.93,1.57,0.28,114.22,232,110,3.2,4.67,3.84,0.73,0.73,29,11,1,6,5,0,,,
Sideroxylon,400,Amb,wet,30,7.08,5.02,10.62,0.86,81.79,866,287,3.8,6.45,6.29,0.57,0.57,65,25,1,25,0,0,,,
Sideroxylon,400,Amb,wet,31,5.10,5.58,5.05,0.47,65.47,779,141,4.9,5.07,4.99,0.88,0.8,82,9,1,5,4,0,,,
Sideroxylon,400,Amb,wet,33,4.51,4.45,4.17,0.46,86.57,522,167,3.9,5.94,5.19,0.6,0.65,66,14,1,14,0,0,,,
Sideroxylon,400,Amb,wet,34,3.94,2.08,2.78,0.45,88.22,447,296,5.0,4.73,4.97,0.67,0.63,59,27,1,24,3,0,,,
Sideroxylon,640,Amb,wet,201,8.96,6.66,9.19,0.58,115.61,775,394,3.1,7.15,7.19,0.82,0.89,83,46,1,33,13,0,,,
Sideroxylon,640,Amb,wet,219,8.31,8.77,12.38,0.72,65.04,1276,347,4.3,7.6,8.07,0.74,0.67,78,32,1,30,2,0,,,
Sideroxylon,640,Amb,wet,220,11.58,8.02,13.32,0.68,71.17,1627,543,4.9,5.38,5.6,0.87,0.84,83,52,2,52,0,0,,,
Sideroxylon,640,Amb,wet,225,4.02,5.69,15.38,1.57,66.12,608,292,2.4,5.44,5.21,0.61,0.79,97,27,1,27,0,0,,,
Sideroxylon,640,Amb,wet,230,15.40,14.04,14.94,0.51,85.74,1792,587,4.0,7.81,6.81,0.82,0.6,93,43,1,38,5,0,,,
Sideroxylon,640,Amb,wet,237,4.68,5.92,13.37,1.25,76.97,608,255,2.5,4.51,4.55,0.85,0.71,78,29,6,29,0,0,,,
Sideroxylon,640,Amb,wet,281,7.54,9.44,7.80,0.45,102.48,737,354,2.9,6.49,6.67,0.84,0.75,103,33,1,33,0,0,,,
Sideroxylon,640,Amb,wet,282,13.15,12.28,7.34,0.29,84.93,1546,471,4.7,7.17,7.46,0.74,0.7,101,42,1,35,7,0,,,
Sideroxylon,640,Amb,wet,311,10.26,7.40,7.97,0.45,91.04,1127,285,4.4,6.68,6.36,0.75,0.62,108,28,1,28,0,0,,,
Sideroxylon,280,Elv,wet,419,14.09,13.66,11.05,0.40,72.55,1942,360,5.0,5.38,5.6,0.72,1.05,133,29,1,29,0,0,,,
Sideroxylon,280,Elv,wet,420,6.16,6.79,6.11,0.47,68.09,906,222,4.8,6.21,5.65,0.87,0.85,96,11,1,11,0,0,,,
Sideroxylon,280,Elv,wet,426,3.19,2.90,3.55,0.58,56.66,563,156,5.8,3.86,3.51,0.66,0.63,71,13,4,13,0,0,,,
Sideroxylon,280,Elv,wet,429,6.13,4.66,5.21,0.48,65.42,937,290,5.9,5.39,5.69,0.89,0.66,80,24,1,22,2,0,,,
Sideroxylon,280,Elv,wet,430,4.04,4.41,3.58,0.42,93.09,434,163,3.6,4.66,4.28,0.79,0.85,96,19,1,19,0,0,,,
Sideroxylon,280,Elv,wet,434,6.54,4.07,4.67,0.44,64.13,1019,235,6.7,6.37,5.87,0.68,0.72,77,21,2,21,0,0,,,
Sideroxylon,280,Elv,wet,485,5.12,2.69,5.11,0.65,56.17,896,399,6.9,5.34,4.27,0.75,0.78,62,27,3,24,3,0,,,
Sideroxylon,280,Elv,wet,489,6.50,9.29,4.77,0.30,81.14,805,324,3.9,6.43,5.66,0.74,0.86,80,25,2,19,5,1,,,
Sideroxylon,280,Elv,wet,491,7.60,5.60,5.04,0.38,83.32,914,353,5.0,6.16,5.94,0.36,0.59,82,31,1,31,0,0,,,
Sideroxylon,400,Elv,wet,314,9.40,8.14,10.21,0.58,84.67,1107,431,4.0,7.19,6.56,0.55,0.53,78,25,1,25,0,0,,,
Sideroxylon,400,Elv,wet,316,6.09,8.35,7.35,0.51,84.14,724,350,3.3,6.17,6.31,0.59,0.59,104,35,1,35,0,0,,,
Sideroxylon,400,Elv,wet,317,7.68,10.67,5.81,0.32,65.47,1173,410,4.9,6.66,6.97,0.72,0.75,117,52,1,47,5,0,,,
Sideroxylon,400,Elv,wet,324,11.33,12.74,15.08,0.63,77.81,1456,474,3.7,7.02,7.83,0.65,0.7,119,45,1,35,10,0,,,
Sideroxylon,400,Elv,wet,326,5.78,4.56,4.30,0.42,74.58,773,253,5.3,5.4,6.46,0.95,0.72,103,20,2,20,0,0,,,
Sideroxylon,400,Elv,wet,330,10.89,12.77,11.14,0.47,88.50,1235,376,3.5,7.31,8.92,0.74,0.61,111,26,1,26,0,0,,,
Sideroxylon,400,Elv,wet,335,4.68,4.15,4.15,0.47,75.01,624,321,4.8,5.05,5.65,0.62,0.78,88,22,1,22,0,0,,,
Sideroxylon,400,Elv,wet,348,7.43,7.62,6.70,0.45,81.09,916,338,4.2,4.73,6.11,0.52,0.66,97,29,1,29,0,0,,,
Sideroxylon,400,Elv,wet,350,6.36,7.22,5.48,0.40,82.10,775,367,4.1,5.83,5.36,0.61,0.62,78,22,3,19,3,0,,,
Sideroxylon,640,Elv,wet,517,21.64,19.05,27.49,0.67,84.63,2557,466,3.7,7.24,7.79,0.73,0.86,129,41,2,41,0,0,,,
Sideroxylon,640,Elv,wet,523,15.23,16.36,19.65,0.62,89.83,1697,627,3.3,7.53,7.3,0.67,0.69,116,52,1,52,0,0,,,
Sideroxylon,640,Elv,wet,554,13.31,13.80,10.56,0.39,92.30,1442,516,3.8,8.11,7.83,0.79,0.68,113,42,1,42,0,0,,,
Sideroxylon,640,Elv,wet,556,21.02,20.26,18.40,0.44,79.56,2638,674,4.4,7.85,7.9,0.81,0.89,121,52,1,46,6,0,,,
Sideroxylon,640,Elv,wet,558,15.81,13.97,10.57,0.35,110.10,1436,437,3.6,5.78,5.37,0.82,0.85,120,39,1,37,2,0,,,
Sideroxylon,640,Elv,wet,559,14.13,16.23,11.53,0.38,85.74,1648,425,3.9,7.29,7.22,0.85,0.82,120,39,1,39,0,0,,,
Sideroxylon,640,Elv,wet,561,15.47,15.20,19.20,0.62,91.97,1682,675,3.4,6.79,7.04,0.72,0.74,133,57,1,56,1,0,,,
Sideroxylon,640,Elv,wet,563,17.97,15.96,13.66,0.40,89.49,2008,644,4.2,8.12,7.76,0.54,0.63,124,61,1,47,14,0,,,
Sideroxylon,640,Elv,wet,567,6.26,6.36,6.36,0.50,71.94,872,329,4.5,5.55,6.26,0.81,0.82,103,33,1,33,0,0,,,
