Species,CO2,Temp,Water,Potnum,LeafDW,StemDW,RootDW,RootShoot,LMA,LA,Leafnum,LAR,Basaldia1,Basaldia2,Tipdia1,Tipdia2,Height,Branchnum,Mainstemnum,Primarybranchnum,Secondarybranchnum,Tertiarybranchnum,,,
Saligna,400,Elv,dry,384,36.84,31.41,42.77,0.62,34.71,10624,1343,9.5,11.28,11.35,1.56,2.6,142,38,,38,0,0,,,
Saligna,400,Elv,dry,385,25.61,32.20,17.58,0.30,42.47,6054,854,7.9,12.52,12.25,1.49,2.56,161,108,,40,68,0,,,
Saligna,400,Elv,dry,388,29.18,36.92,22.44,0.33,37.10,7871,812,8.7,12.3,12.04,1.01,2.6,159,100,,37,63,0,,,
Saligna,400,Elv,dry,389,31.64,37.80,25.29,0.36,44.80,7043,583,7.4,11.55,13.37,2.09,2.82,149,62,,35,23,4,,,
Saligna,400,Elv,dry,390,25.95,26.64,22.81,0.43,36.92,7024,778,9.2,9.37,10.54,1.31,1.61,123,81,,30,49,2,,,
Saligna,640,Elv,dry,524,36.55,35.19,55.41,0.75,55.68,6566,705,5.1,12.72,11.76,1.65,3.04,130,101,,34,67,0,,,
Saligna,640,Elv,dry,526,36.49,32.51,84.88,1.21,52.60,6930,777,4.5,14.62,15.78,3.54,1.68,134,90,,36,54,0,,,
Saligna,640,Elv,dry,539,23.32,34.25,39.37,0.67,42.61,5473,608,5.6,13.55,12.23,1.59,3.02,152,85,,38,47,0,,,
Saligna,640,Elv,dry,544,23.72,25.16,82.23,1.67,41.26,5747,1033,4.4,13.87,13.24,1.51,2.65,123,94,,33,61,0,,,
Saligna,640,Elv,dry,550,39.99,46.63,58.11,0.66,52.48,7620,930,5.2,15.51,14.13,1.55,3.3,166,118,,38,80,0,,,
Saligna,640,Elv,dry,573,33.41,39.32,40.44,0.55,46.45,7193,755,6.3,15.35,13.72,1.65,3.3,138,110,,33,77,0,,,
Saligna,640,Elv,dry,578,35.17,41.45,72.90,0.92,51.01,6898,924,4.5,15.73,15.87,2.42,1.96,140,125,,39,86,0,,,
Saligna,640,Elv,dry,579,36.17,41.91,41.76,0.52,47.18,7667,1590,6.3,14.52,15.75,3.05,1.49,150,150,,41,109,0,,,
Saligna,640,Elv,dry,544B,29.92,33.55,40.73,0.64,43.75,6839,655,6.5,12.55,12.97,1.44,2.4,150,94,,33,61,0,,,
Saligna,280,Amb,wet,131,22.94,19.17,18.72,0.44,37.59,6103,522,9.9,9.67,9.96,1.52,2.33,113,58,,31,27,0,,,
Saligna,280,Amb,wet,135,21.28,18.87,23.79,0.59,37.60,5660,470,8.8,10.49,10.64,1.36,2.21,95,56,,24,32,0,,,
