Topic, Description
Sampling strategy, "Please a brief description of the sampling strategy used in this paper (up to 4 sentences)"
Leaf area, "Please provide ..."
Stem cross sectional area,"Please provide ..."
Height,"Please provide ..."
Crown area,"Please provide ..."
Biomass,"Please provide ..."
traits,"Please provide ..."
Growth environment,"Please provide ..."
Other variables,"Please provide ..."
