"lookupVariable","lookupValue","newVariable","newValue","source"
NA,NA,"location","Riberalta, Bolivia","from paper[L Poorter]"
NA,NA,"latitude","-11","from paper[L Poorter]"
NA,NA,"longitude","-66","from paper[L Poorter]"
NA,NA,"map","1780","from paper[L Poorter]"
NA,NA,"mat","27","from paper[L Poorter]"
NA,NA,"vegetation","TropRF","from paper[L Poorter]"
