SPEC,species,family,pft,growth period,age,growingCondition,light,plant #,harvest #,m.rt,m.st,m.so,m.to,m.lf,m.br,m.to2,a.lf,ma.ilf,a.ilf,c.d,h.t,d.ba,d.cr,d.cr2,a.cp,r.st
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,100,7,2,3.341,2.19,5.522,8.863,3.332,,25.438,0.045,0.074,28.1,11,21.2,0.63,24,19,0.0363,0.33
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,100,8,2,0.307,0.238,0.575,0.882,0.337,,2.577,0.006,0.056,6.7,2,10,0.32,10,7,0.0057,0.3
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,100,9,2,1.386,1.126,2.682,4.068,1.556,,11.944,0.02,0.078,18.2,6.5,13,0.52,19,15,0.0227,0.41
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,100,10,2,0.11,0.078,0.082,0.192,0.004,,0.544,0.000103,0.039,0.3,0,6.5,0.15,2,1,0.0002,0.68
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,3,1,1,0.028,0.063,0.103,0.131,0.04,,0.194,0.0028,0.036,7.1,,7.8,0.2,,,,0.26
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,3,2,1,0.073,0.129,0.239,0.312,0.11,,0.429,0.0059,0.039,9.8,,12.7,0.22,,,,0.27
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,3,3,1,0.123,0.137,0.28,0.403,0.143,,0.512,0.0073,0.035,9.1,,12.5,0.21,,,,0.32
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,3,4,1,0.067,0.098,0.203,0.27,0.105,,0.361,0.0046,0.043,5.7,,10.8,0.19,,,,0.32
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,3,5,1,0.116,0.154,0.43,0.546,0.276,,0.687,0.0107,0.039,13.3,,13.3,0.23,,,,0.28
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,3,6,1,0.02,0.032,0.039,0.059,0.007,,0.122,0.002,0.035,2.8,,7.2,0.11,,,,0.47
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,3,7,1,0.077,0.16,0.299,0.376,0.139,,0.503,0.0067,0.039,9.6,,13.5,0.23,,,,0.29
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,3,8,1,0.05,0.122,0.202,0.252,0.08,,0.371,0.004,0.049,8,,11.4,0.2,,,,0.34
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,6,1,1,0.61,1.224,1.795,2.405,0.571,,2.585,0.0151,0.05,11.7,,18.7,0.48,,,,0.36
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,6,2,1,0.242,0.408,0.681,0.923,0.273,,1.05,0.0079,0.051,9.9,,11.2,0.36,,,,0.36
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,6,3,1,0.189,0.32,0.565,0.754,0.245,,0.862,0.0073,0.048,9.1,,13,0.3,,,,0.35
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,6,4,1,0.482,0.768,1.197,1.679,0.429,,1.837,0.0116,0.051,8.9,,18.7,0.47,,,,0.24
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,6,5,1,0.288,0.398,0.668,0.956,0.27,,1.06,0.0081,0.046,6.7,,13.2,0.38,,,,0.27
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,6,6,1,0.344,0.411,0.878,1.222,0.467,,1.36,0.0113,0.053,10.3,,15.1,0.34,,,,0.3
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,6,7,1,0.167,0.28,0.513,0.68,0.233,,0.774,0.0059,0.056,5.9,,10.9,0.3,,,,0.36
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,6,8,1,0.359,0.48,0.827,1.186,0.347,,1.286,0.0086,0.052,8.6,,13.1,0.35,,,,0.38
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,12,1,1,0.321,0.491,0.857,1.178,0.366,,1.289,0.0105,0.045,10.5,,14.4,0.4,,,,0.27
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,12,2,1,0.651,0.713,1.121,1.772,0.408,,1.897,0.0121,0.044,15.1,,13.8,0.39,,,,0.43
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,12,3,1,0.318,0.508,0.948,1.266,0.44,,1.385,0.0119,0.047,10.8,,13.5,0.37,,,,0.35
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,12,4,1,0.396,0.589,1.025,1.421,0.436,,1.649,0.0101,0.066,8.4,,17.9,0.38,,,,0.29
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,12,5,1,0.532,0.748,1.411,1.943,0.663,,2.067,0.0137,0.058,8.5,,20.5,0.4,,,,0.29
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,12,6,1,0.57,0.766,1.308,1.878,0.542,,1.95,0.014,0.044,12.8,,18.4,0.41,,,,0.32
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,12,7,1,0.507,0.718,1.338,1.845,0.62,,1.99,0.0152,0.05,13.8,,15.1,0.42,,,,0.34
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,12,8,1,0.729,0.93,1.566,2.295,0.636,,2.374,0.016,0.045,22.8,,18,0.48,,,,0.29
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,12,9,1,0.085,0.108,0.287,0.372,0.179,,0.409,0.0053,0.041,6.6,,7.7,0.19,,,,0.49
PAM,Aspidosperma tambopatense,Apocynaceae,EA,0,,CG,25,1,1,0.488,0.577,1.007,1.495,0.43,,1.602,0.0128,0.042,12.8,,13.1,0.37,,,,0.41
