SPEC,species,family,pft,growth period,age,growingCondition,light,plant #,harvest #,m.rt,m.st,m.so,m.to,m.lf,m.br,m.to2,a.lf,ma.ilf,a.ilf,c.d,h.t,d.ba,d.cr,d.cr2,a.cp,r.st
GAB,Aspidosperma ramiflorum,Apocynaceae,EA,0,,CG,12,3,1,0.206,0.14,0.614,0.82,0.474,,0.906,0.0096,0.059,6.8,,14.5,0.19,,,,0.34
GAB,Aspidosperma ramiflorum,Apocynaceae,EA,0,,CG,12,4,1,0.202,0.154,0.534,0.736,0.38,,0.829,0.0078,0.06,7.8,,12.8,0.23,,,,0.29
GAB,Aspidosperma ramiflorum,Apocynaceae,EA,0,,CG,12,5,1,0.19,0.126,0.529,0.719,0.403,,0.821,0.0089,0.057,6.8,,12.7,0.18,,,,0.39
GAB,Aspidosperma ramiflorum,Apocynaceae,EA,0,,CG,12,6,1,0.354,0.195,0.563,0.917,0.368,,1,0.0071,0.064,5.4,,17.1,0.2,,,,0.36
GAB,Aspidosperma ramiflorum,Apocynaceae,EA,0,,CG,12,7,1,0.162,0.133,0.483,0.645,0.35,,0.741,0.0075,0.059,5.8,,14.5,0.18,,,,0.36
GAB,Aspidosperma ramiflorum,Apocynaceae,EA,0,,CG,25,1,1,0.323,0.171,0.595,0.918,0.424,,1.035,0.0083,0.065,7.6,,12.5,0.18,,,,0.54
GAB,Aspidosperma ramiflorum,Apocynaceae,EA,0,,CG,25,2,1,0.374,0.281,0.971,1.345,0.69,,1.456,0.0124,0.064,10.4,,19.5,0.23,,,,0.35
GAB,Aspidosperma ramiflorum,Apocynaceae,EA,0,,CG,25,3,1,0.29,0.193,0.711,1.001,0.518,,1.045,0.0085,0.066,7.1,,14.6,0.22,,,,0.35
GAB,Aspidosperma ramiflorum,Apocynaceae,EA,0,,CG,25,4,1,0.19,0.127,0.373,0.563,0.246,,0.673,0.0054,0.066,4.1,,10.2,0.18,,,,0.49
GAB,Aspidosperma ramiflorum,Apocynaceae,EA,0,,CG,25,5,1,0.279,0.149,0.774,1.053,0.625,,1.104,0.0112,0.06,8,,14,0.2,,,,0.34
GAB,Aspidosperma ramiflorum,Apocynaceae,EA,0,,CG,50,1,1,0.247,0.135,0.294,0.541,0.159,,0.659,0.0016,0.101,1.7,,11,0.14,,,,0.8
GAB,Aspidosperma ramiflorum,Apocynaceae,EA,0,,CG,50,2,1,0.182,0.135,0.465,0.647,0.33,,0.756,0.0042,0.078,3.5,,10.6,0.18,,,,0.5
GAB,Aspidosperma ramiflorum,Apocynaceae,EA,0,,CG,50,3,1,0.381,0.148,0.482,0.863,0.334,,0.968,0.0032,0.106,2.4,,14.4,0.17,,,,0.45
GAB,Aspidosperma ramiflorum,Apocynaceae,EA,0,,CG,50,4,1,0.234,0.131,0.312,0.546,0.181,,0.641,0.0019,0.096,2.4,,11.7,0.15,,,,0.63
GAB,Aspidosperma ramiflorum,Apocynaceae,EA,0,,CG,50,5,1,0.483,0.16,0.453,0.936,0.293,,1.049,0.0048,0.061,4.4,,13,0.17,,,,0.54
GAB,Aspidosperma ramiflorum,Apocynaceae,EA,0,,CG,50,6,1,0.395,0.185,0.762,1.157,0.577,,1.279,0.0058,0.1,3.6,,13.7,0.19,,,,0.48
GAB,Aspidosperma ramiflorum,Apocynaceae,EA,0,,CG,50,7,1,0.226,0.15,0.405,0.631,0.255,,0.74,0.0042,0.06,4.2,,11,0.19,,,,0.48
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,3,1,2,0.264,0.531,1.155,1.419,0.624,,4.524,0.0148,0.042,14.8,8,20,0.39,18,13,0.0189,0.22
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,3,2,2,0.216,0.316,0.929,1.145,0.613,,3.535,0.0137,0.045,10.5,7.5,15.5,0.3,14,12,0.0133,0.29
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,3,3,2,0.342,0.528,1.612,1.954,1.084,,6.048,0.0284,0.038,21.8,9.5,23.5,0.34,23,16,0.0299,0.25
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,3,4,2,0.481,0.893,1.532,2.013,0.639,,6.451,0.0145,0.044,13.2,8,22,0.44,16,14,0.0177,0.27
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,3,5,2,0.307,0.52,1.013,1.32,0.493,,4.173,0.0097,0.051,13.9,6,16.5,0.36,15,13,0.0154,0.31
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,3,6,2,0.062,0.141,0.278,0.34,0.137,,1.099,0.0034,0.04,2.8,3,11,0.22,7,9,0.005,0.34
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,3,7,2,0.226,0.355,0.975,1.201,0.62,,3.732,0.0134,0.046,11.2,7.5,16.5,0.37,16,11,0.0143,0.2
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,3,8,2,0.557,0.936,2.544,3.101,1.608,,9.682,0.0398,0.04,26.5,11.5,20.5,0.5,24,22,0.0415,0.23
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,3,9,2,0.417,0.765,1.98,2.397,1.215,,7.539,0.0293,0.041,19.5,11.5,22.5,0.46,22,18,0.0314,0.2
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,3,10,2,0.22,0.268,0.719,0.939,0.451,,2.865,0.0094,0.048,9.4,5,12,0.29,11,10,0.0087,0.34
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,3,11,2,0.319,0.544,1.328,1.647,0.784,,5.166,0.0194,0.04,16.2,9,16.5,0.36,18,19,0.0269,0.32
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,3,12,2,0.289,0.407,1.195,1.484,0.788,,4.57,0.0189,0.042,17.2,6.5,16,0.34,19,15,0.0227,0.28
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,6,1,2,2.041,2.267,5.057,7.098,2.79,,21.52,0.064,0.044,27.8,25.5,31,0.65,26,23,0.0471,0.22
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,6,2,2,1.51,1.644,3.541,5.051,1.897,,15.287,0.0401,0.047,22.3,14,23.5,0.55,24,20,0.038,0.29
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,6,3,2,1.438,1.792,4.214,5.652,2.422,,17.31,0.056,0.043,23.3,19.5,28,0.71,28,23,0.0511,0.16
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,6,4,2,0.624,0.91,2.673,3.297,1.763,,10.177,0.0379,0.047,18,17,24,0.48,23,17,0.0314,0.21
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,6,5,2,0.959,1.26,2.873,3.832,1.613,,11.797,0.0337,0.048,17.7,15,25,0.56,20,19,0.0299,0.2
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,6,6,2,0.863,1.123,2.791,3.654,1.668,,11.222,0.036,0.046,20,11.5,20,0.55,22,21,0.0363,0.24
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,6,7,2,1.375,2.039,4.827,6.202,2.788,,19.27,0.0625,0.045,27.2,20,28,0.69,21,19,0.0314,0.19
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,6,8,2,0.585,0.779,2.268,2.853,1.489,,8.753,0.0361,0.041,18.1,14.5,21.5,0.42,24,19,0.0363,0.26
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,6,9,2,0.714,1.052,2.6,3.314,1.548,,10.28,0.0335,0.046,17.6,12,19.5,0.51,22,19,0.033,0.26
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,6,10,2,1.199,1.48,3.29,4.489,1.81,,13.748,0.0382,0.047,20.1,15,23.5,0.65,27,16,0.0363,0.19
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,6,11,2,1.751,1.854,4.595,6.346,2.741,,19.141,0.063,0.044,22.5,20,28,0.57,28,18,0.0415,0.26
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,6,12,2,0.675,0.924,1.983,2.658,1.059,,8.223,0.0211,0.05,26.4,4.5,15,0.56,19,18,0.0269,0.25
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,12,1,2,1.737,1.863,4.135,5.872,2.272,,17.742,0.0482,0.047,20.1,23.5,28.5,0.56,25,23,0.0452,0.27
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,12,2,2,2.896,2.406,4.714,7.61,2.308,,22.34,0.0517,0.045,30.4,24,30.5,0.59,28,26,0.0573,0.29
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,12,3,2,2.978,3.623,6.59,9.568,2.967,,29.349,0.0665,0.045,27.7,17.5,28,0.82,25,24,0.0471,0.25
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,12,4,2,1.638,1.812,4.53,6.168,2.718,,18.678,0.0743,0.037,33.8,23,29.5,0.59,28,25,0.0552,0.22
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,12,5,2,1.965,2.18,4.529,6.494,2.349,,19.697,0.0529,0.044,24,22,31.5,0.69,25,19,0.038,0.19
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,12,6,2,2.574,3.022,5.844,8.418,2.822,,25.702,0.0637,0.044,31.9,27.5,35.5,0.67,28,28,0.0616,0.24
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,12,7,2,1.399,1.388,3.252,4.651,1.864,,13.942,0.0409,0.046,19.5,17,23,0.52,23,25,0.0452,0.28
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,12,8,2,1.291,1.627,3.722,5.013,2.095,,15.375,0.0439,0.048,20,19.5,27,0.55,20,23,0.0363,0.25
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,12,9,2,2.145,2.73,7.438,9.583,4.708,0.23,29.334,0.1161,0.041,35.2,21.5,31,0.66,31,30,0.0731,0.24
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,12,10,2,2.41,2.782,4.949,7.359,2.167,,22.449,0.046,0.047,27.1,15.5,28.5,0.7,25,25,0.0491,0.25
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,12,11,2,0.796,0.684,2.282,3.078,1.598,,9.122,0.0356,0.045,27.4,11.5,18,0.34,26,24,0.0491,0.42
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,12,12,2,1.757,2.32,5.163,6.92,2.843,,21.323,0.0591,0.048,31.1,19.5,31,0.58,28,20,0.0452,0.28
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,25,1,2,2.77,3.35,7.706,10.476,4.356,,32.008,0.0922,0.047,40.1,21,33.5,0.7,30,26,0.0616,0.26
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,25,2,2,3.602,4.114,8.238,11.84,4.124,0.31,36.032,0.0943,0.044,24.8,20.5,27.5,0.89,31,26,0.0638,0.22
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,25,3,2,2.051,2.958,5.684,7.735,2.726,,24.112,0.0313,0.087,15.7,18,29.5,0.74,24,23,0.0434,0.23
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,25,4,2,2.504,1.854,4.572,7.076,2.718,,20.578,0.0571,0.048,27.2,17,25.5,0.56,22,19,0.033,0.3
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,25,5,2,3.845,5.029,9.93,13.775,4.901,0.06,42.509,0.1022,0.048,37.9,22,36,0.81,31,28,0.0683,0.27
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,25,6,2,2.404,2.839,5.165,7.569,2.326,,23.142,0.0482,0.048,25.4,23,29,0.62,23,20,0.0363,0.32
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,25,7,2,2.583,2.828,5.992,8.575,3.164,,25.97,0.0554,0.057,24.1,23,32,0.61,25,22,0.0434,0.3
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,25,8,2,3.809,4.445,8.133,11.942,3.688,,36.462,0.0762,0.048,28.2,19.5,29,0.86,28,22,0.0491,0.26
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,25,9,2,2.093,2.467,5.129,7.222,2.662,,22.04,0.0494,0.054,17.6,16,25,0.68,22,24,0.0415,0.27
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,25,10,2,1.775,2.233,5.52,7.295,3.287,,22.343,0.0715,0.046,29.8,24.5,32,0.62,34,25,0.0683,0.23
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,25,11,2,2.14,2.9,6.003,8.143,3.103,,25.189,0.0653,0.048,27.2,22,33,0.59,28,22,0.0491,0.32
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,25,12,2,2.29,2.044,4.941,7.231,2.897,,21.447,0.0518,0.056,24.7,17.5,27,0.58,25,22,0.0434,0.29
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,50,1,2,1.763,1.31,1.872,3.635,0.562,,10.452,0.0121,0.046,24.2,0.5,21.5,0.55,19,14,0.0214,0.26
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,50,2,2,2.428,2.124,4.382,6.81,2.258,,20.126,0.0359,0.063,22.4,7,21.5,0.67,20,20,0.0314,0.28
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,50,3,2,1.514,1.593,4.362,5.876,2.769,,17.707,0.0511,0.054,34.1,11,21,0.57,25,18,0.0363,0.3
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,50,4,2,1.75,1.654,4.49,6.24,2.836,,18.624,0.0447,0.063,27.9,7,16.8,0.57,28,19,0.0434,0.39
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,50,5,2,2.479,2.132,4.734,7.213,2.602,,21.292,0.0429,0.061,26.8,11.5,20.5,0.64,24,19,0.0363,0.32
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,50,6,2,1.349,0.981,2.19,3.539,1.209,,10.249,0.0247,0.049,16.5,6,16.5,0.49,19,18,0.0269,0.32
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,50,7,2,2.647,2.032,4.778,7.425,2.746,,21.66,0.0519,0.053,28.8,16.5,26.5,0.62,24,25,0.0471,0.25
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,50,8,2,2.573,2.087,4.702,7.275,2.615,,21.339,0.0452,0.058,30.1,9.5,23.5,0.68,24,21,0.0398,0.24
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,50,9,2,1.315,1.106,2.158,3.473,1.052,,10.21,0.0184,0.057,20.4,3,16.3,0.48,20,17,0.0269,0.37
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,100,1,2,0.078,0.124,0.152,0.23,0.028,,0.736,0.00063,0.044,1.6,0.5,7.6,0.18,4,3,0.001,0.64
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,100,2,2,0.826,0.9,1.475,2.301,0.575,,6.977,0.00765,0.075,19.1,2.5,16.5,0.47,18,8,0.0133,0.31
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,100,3,2,0.607,0.422,0.542,1.149,0.12,,3.262,0.00175,0.069,2.5,0.5,11.5,0.38,7,4,0.0024,0.32
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,100,4,2,3.445,1.757,4.351,7.796,2.594,,21.7,0.03945,0.066,18.8,14,20,0.61,20,21,0.033,0.3
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,100,5,2,2.544,1.576,4.246,6.79,2.67,,19.402,0.0431,0.062,20.5,13,21,0.59,21,20,0.033,0.27
PAM,Aspidosperma tambopatense,Apocynaceae,EA,178,,CG,100,6,2,1.196,0.857,1.145,2.341,0.288,,6.684,0.00345,0.083,3.8,1,12.2,0.41,11,7,0.0064,0.53
