dataset,location,latitude,longitude,map,mat,species,growingcondition,dominanceclass,stem.ha-1,harvest_year,age,tree_id,d.bhcm,d.bacm,h.t,h.c,d.ccm,a.ssbhcm2,a.shbhcm2,a.ssbccm2,a.shbccm2,a.lf,SLAcm2g-1
Battaglia1998,"Creekton B1/3, Tasmania, Australia",43D21MS,146D54ME,,,Eucalyptus nitens,PM,1,1430,1996,7,B1-3CL1,6.5,4.1,9.23,4.51,4.1,23.4,5,10.4,0,5.9197,55.4
Battaglia1998,"Creekton B1/3, Tasmania, Australia",43D21MS,146D54ME,,,Eucalyptus nitens,PM,2,1430,1996,7,B1-3CL2,9.8,7.4,12.91,5.02,7.4,51.4,12.6,35.8,0,15.74191,47.9
Battaglia1998,"Creekton B1/3, Tasmania, Australia",43D21MS,146D54ME,,,Eucalyptus nitens,PM,3,1430,1996,7,B1-3CL3,11.6,8.9,11.83,3.85,8.9,72.2,16.4,51.7,0,20.79007,46.2
Battaglia1998,"Creekton B1/3, Tasmania, Australia",43D21MS,146D54ME,,,Eucalyptus nitens,PM,4,1430,1996,7,B1-3CL4,13,10.2,11.85,4.11,10.2,78,33.5,68.5,0,30.5246,48.3
Battaglia1998,"Creekton B1/3, Tasmania, Australia",43D21MS,146D54ME,,,Eucalyptus nitens,PM,5,1430,1996,7,B1-3CL5,14.2,10,14.6,6.13,10,70.2,65.5,61.4,5.1,22.83578,47.2
Battaglia1998,"Creekton B1/3, Tasmania, Australia",43D21MS,146D54ME,,,Eucalyptus nitens,PM,6,1430,1996,7,B1-3CL6,17.7,14.6,15.12,4.6,14.6,137.8,68.4,128.3,19.4,67.7661,47.7
Battaglia1998,"Creekton c1/2, Tasmania, Australia",43D21MS,146D54ME,,,Eucalyptus nitens,PM,1,1430,1996,7,C1-2CL1,7.7,4.8,11.23,5.8,4.8,27,10.5,14.8,0,7.6011,64.5
Battaglia1998,"Creekton c1/2, Tasmania, Australia",43D21MS,146D54ME,,,Eucalyptus nitens,PM,2,1430,1996,7,C1-2CL2,12.9,9.2,13.68,5.03,9.2,50.9,54.4,36.7,18.5,25.1286,52.3
Battaglia1998,"Creekton c1/2, Tasmania, Australia",43D21MS,146D54ME,,,Eucalyptus nitens,PM,3,1430,1996,7,C1-2CL3,14.5,11.9,14.35,4.66,11.9,91.8,47,87.2,7.5,42.4977,51.6
Battaglia1998,"Creekton c1/2, Tasmania, Australia",43D21MS,146D54ME,,,Eucalyptus nitens,PM,4,1430,1996,7,C1-2CL4,16.7,9.9,16.47,8,9.9,54.4,133.5,32.9,33.1,28.1292,49.2
Battaglia1998,"Creekton c1/2, Tasmania, Australia",43D21MS,146D54ME,,,Eucalyptus nitens,PM,5,1430,1996,7,C1-2CL5,19.7,16,18.7,5.89,16,147.2,104.7,123.1,44.4,76.6598,49.4
Battaglia1998,"Creekton c1/2, Tasmania, Australia",43D21MS,146D54ME,,,Eucalyptus nitens,PM,6,1430,1996,7,C1-2CL6,22.9,17.4,18.98,5.91,17.4,137.4,199.3,125.1,68.1,80.6192,47
Battaglia1998,"CreektonNutr-A, Tasmania, Australia",43D21MS,146D54ME,,,Eucalyptus nitens,PM,1,1430,1996,7,NUTACL1,3.6,2.8,4.6,2.14,2.8,7,0,3.5,0,0.600673,61.9
Battaglia1998,"CreektonNutr-A, Tasmania, Australia",43D21MS,146D54ME,,,Eucalyptus nitens,PM,2,1430,1996,7,NUTACL2,6.5,5.7,7.01,2.03,5.7,20.7,3.5,19.8,0,5.1174,55.2
Battaglia1998,"CreektonNutr-A, Tasmania, Australia",43D21MS,146D54ME,,,Eucalyptus nitens,PM,3,1430,1996,7,NUTACL3,8.2,6.7,9.27,2.75,6.7,35.3,7.2,28.2,0,3.73558,47
