ID,Species,Botanical.family,Wood.density..g.cm-3.,dbh..cm.,Total.height..m.,Basal.area..m2.,Basal.area..m2.ha-1.,Wood.mass..kg........bole.+.branches.,Wood.mass..kg.ha-1........bole.+.branches.,Leaf.mass..kg.,Leaf.mass..kg.ha-1.,Vegetation.type,Growing.environment,Location,Mean.annual.rainfall,Mean.annual.temperature
33,Erythroxylum suberosum A. St.-Hil.er ,Erythroxylaceae,0.55,6.4,3,0.0032,0.0064,3.18,54.77,0.09844,1.69,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
50,Erythroxylum suberosum A. St.-Hil.er ,Erythroxylaceae,0.55,6.4,2.5,0.0032,0.0064,4.85,67.9,0,0,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
51,Erythroxylum suberosum A. St.-Hil.er ,Erythroxylaceae,0.55,5,2,0.002,0.0039,1.94,27.23,0.24584,3.44,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
55,Erythroxylum suberosum A. St.-Hil.er ,Erythroxylaceae,0.55,10.8,4,0.0092,0.0184,10.94,170.68,1.22142,19.05,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
75,Erythroxylum suberosum A. St.-Hil.er ,Erythroxylaceae,0.55,6.4,2.5,0.0032,0.0064,2.58,53.14,0.15607,3.22,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
79,Erythroxylum suberosum A. St.-Hil.er ,Erythroxylaceae,0.55,5.4,2,0.0023,0.0046,0.31,8.01,0.14505,3.77,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
81,Erythroxylum suberosum A. St.-Hil.er ,Erythroxylaceae,0.55,5.1,1.5,0.002,0.0041,1.06,27.56,0.27104,7.05,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
82,Erythroxylum suberosum A. St.-Hil.er ,Erythroxylaceae,0.55,5.7,2,0.0026,0.0052,1.55,40.2,0.23636,6.15,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
85,Erythroxylum suberosum A. St.-Hil.er ,Erythroxylaceae,0.55,9.5,2,0.007,0.0141,7.6,210.66,0.63916,17.71,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
102,Erythroxylum suberosum A. St.-Hil.er ,Erythroxylaceae,0.55,10.2,4,0.0081,0.0163,13.97,405.25,3.99853,115.96,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
118,Erythroxylum suberosum A. St.-Hil.er ,Erythroxylaceae,0.55,11.1,4,0.0097,0.0195,15.77,308.03,0.69313,13.54,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
29,Lafoensia pacari A. St.-Hil.er ,Lythraceae,0.6,5,3,0.002,0.0039,5.27,90.7,0.23237,4,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
77,Lafoensia pacari A. St.-Hil.er ,Lythraceae,0.6,8.1,2,0.0051,0.0103,8.6,223.6,0.18941,4.92,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
93,Lafoensia pacari A. St.-Hil.er ,Lythraceae,0.6,6.2,3,0.003,0.0061,4.36,130.95,0.02243,0.67,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
41,Piptocarpha rotundifolia (Less.) Bakerer ,Asteraceae,0.46,6.4,3.5,0.0032,0.0064,3.61,50.59,0.04629,0.65,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
47,Plathymenia reticulata Benth.er ,Mimosaceae,0.58,11.1,3,0.0097,0.0195,29.02,406.3,2.70609,37.89,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
43,Pouteria torta (Mart.) Radlk.er ,Sapotaceae,0.59,18.5,3.8,0.027,0.054,157.96,2211.45,1.9624,27.47,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
45,Pouteria torta (Mart.) Radlk.er ,Sapotaceae,0.59,5,2.5,0.002,0.0039,2.51,35.16,0.49537,6.94,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
