Topic, Description
Sampling strategy, Trees without any evidence of breakage were collected from closed stands.
Leaf area, Leaf areas were measured for 108 leaves taken from 11 sample trees of 37 cm to 1870 cm in height.
Stem cross sectional area, Measured by a caliper in two directions
Height, Measured by a measuring tape.
Crown area, Measured by a measuring tape.
Biomass, Fresh weights were measured and some samples were oven dried and weighed. And the fresh weights were later converted to oven dry weights.
traits, A species with moderately shade tolerance.
Growth environment, A species with moderately shade tolerance.
Other variables,
