"dataset","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","family","pft","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","growingCondition","status","light","Note","studyName"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",22,3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001405305,NA,NA,6.3,2.83,NA,0.0497,NA,NA,0.698,NA,NA,NA,3.32,4.476,0.458,NA,NA,1.2,5.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Tanao, T. (1991) Biomass and its increment in a hinoki plantation [in Japanese] . Bachelor's Thesis, Faculty of Agriculture, Nagoya University  [data reported in Hagihara et al. 1993]","Tanao1991"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",22,7.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002349982,NA,NA,7.95,3.25,NA,0.0656,NA,NA,1.64,NA,NA,NA,6.31,8.722,0.772,NA,NA,1.68,10.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Tanao, T. (1991) Biomass and its increment in a hinoki plantation [in Japanese] . Bachelor's Thesis, Faculty of Agriculture, Nagoya University  [data reported in Hagihara et al. 1993]","Tanao1991"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",23,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006734601,NA,NA,9.17,3.33,NA,0.108,NA,NA,5.1,NA,NA,NA,17,24.64,2.54,NA,NA,6.63,31.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Tanao, T. (1991) Biomass and its increment in a hinoki plantation [in Japanese] . Bachelor's Thesis, Faculty of Agriculture, Nagoya University  [data reported in Hagihara et al. 1993]","Tanao1991"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",24,7.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003216991,NA,NA,9.18,4.69,NA,0.0879,NA,NA,1.83,NA,NA,NA,10.7,13.61,1.08,NA,NA,3.82,17.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Tanao, T. (1991) Biomass and its increment in a hinoki plantation [in Japanese] . Bachelor's Thesis, Faculty of Agriculture, Nagoya University  [data reported in Hagihara et al. 1993]","Tanao1991"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",25,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004208352,NA,NA,8.6,2.56,NA,0.0809,NA,NA,2.46,NA,NA,NA,9.99,13.49,1.04,NA,NA,2.81,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Tanao, T. (1991) Biomass and its increment in a hinoki plantation [in Japanese] . Bachelor's Thesis, Faculty of Agriculture, Nagoya University  [data reported in Hagihara et al. 1993]","Tanao1991"
