"","","lookupVariable","lookupValue","newVariable","newValue","source"
"1",1,NA,NA," growingCondition","PU ","from paper[D Barneche]"
"2",2,NA,NA," latitude","-11 ","from paper[D Barneche]"
"3",3,NA,NA," longitude","-66 ","from paper[D Barneche]"
"4",4,NA,NA," location","Riberalta, Bolivian Amazon","from paper[D Barneche]"
