,,yr,m2,cm2 (5),m2,m,,,g,g,g,g/m2,,,,,,mol/m2 (3) ,,(4),,,,,,,,
Species,Code,family,Age,a.lf,lf.sz,a.st,h.t,h.c,m.lf,m.st,m.br.2.,lf.ma.1.,d.st,n.lf,pft,growth.conditions,status,light,Dawkins,Climbing,group..7.,lat,long,vegetation,lai,map,mat,reference
Trema micrantha,2,,0.5,0.8280,26.9000,0.000246057,2.21,1.59,57.7972,117.0400,20.2120,69.79982093,0.349410354,2.39E-02,EA,unmanaged,,33.11600982,5.00,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,7,,0.5,0.1317,26.9000,5.153E-05,1.23,0.55,6.2350,13.5520,,47.3439559,0.237259971,2.82E-02,EA,unmanaged,,24.28200603,5.00,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,11,,0.5,0.4271,26.9000,0.000145267,1.45,1.07,23.4398,31.2460,5.7820,54.88751094,0.189774372,2.92E-02,EA,unmanaged,,22.99093116,5.00,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,15,,0.5,0.8264,26.9000,0.000248846,1.83,1.1,49.4757,94.7200,20.9680,59.86875259,0.320327202,2.53E-02,EA,unmanaged,,26.16762027,5.00,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,21,,0.5,0.1191,26.9000,3.52565E-05,1.32,0.66,6.8780,17.0150,1.7170,57.74981476,0.442925122,2.16E-02,EA,unmanaged,,29.15257377,5.00,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,26,,0.5,0.0593,26.9000,2.46301E-05,0.78,0.26,2.7530,5.6540,0.8480,46.43839955,0.294303391,3.12E-02,EA,unmanaged,,27.65009448,5.00,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,39,,0.5,0.3301,26.9000,8.65901E-05,1.43,0.79,19.5702,29.5870,5.3730,59.28388633,0.301512363,2.05E-02,EA,unmanaged,,29.61670272,5.00,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,64,,0.5,0.6446,26.9000,0.000193593,2.35,1.79,31.0227,77.9170,11.9140,48.12670008,0.279256263,3.31E-02,EA,unmanaged,,31.89772667,4.00,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,116,,0.5,0.2138,26.9000,6.22114E-05,1.56,1.16,10.1650,16.9950,1.4280,47.54415292,0.229282778,3.32E-02,EA,unmanaged,,26.60228895,4.00,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
Trema micrantha,120,,0.5,0.6224,26.9000,0.000147411,1.87,1.59,37.3112,77.3850,,59.94447511,0.336921068,2.92E-02,EA,unmanaged,,24.55410234,5.00,,secondary forest 6 mo,11S,66W,TropRF,1.66,1780,26,Selaya et al. (2007) Annals of Botany 99:141-151; Selaya & Anten (2010) Ecology 91: 1102-1113
