"var_in","method","unit_in","var_out","notes"
"Species_name",NA,NA,"species",NA
"Family",NA,NA,"family",NA
"site",NA,NA,"grouping",NA
"age","n2","yr","age",NA
"height","p3","mm","h.t",NA
"leaf_weight","m3","mg","m.lf",NA
"stem_weight","m3","mg","m.st",NA
"total_weight","m3","mg","m.so",NA
"dia","d1,p2","mm","d.ba",NA
"stem.area","d1,p2","mm2","a.stba",NA
"lma","m3,x1,x8","mg.mm2","ma.ilf",NA
"leaf_area","e1,b1","mm2","a.lf",NA
