"lookupVariable","lookupValue","newVariable","newValue","source"
NA,NA,"pft","EA",NA
NA,NA,"vegetation","Wo",NA
NA,NA,"latitude","-33.593065",NA
NA,NA,"longitude","151.283069",NA
NA,NA,"location","Ku-Ring-Gai Chase NP, NSW Australia",NA
NA,NA,"growingCondition","FW",NA
