"Species_name","Family","site","age","height","leaf_weight","stem_weight","total_weight","dia","stem.area","lma","leaf_area"
"Persoonia lanceolata","Proteaceae","Basin1981",32,1880,4747.1,95492,100239.1,16.85,222.992210047212,0.235,20200.4255319149
"Persoonia lanceolata","Proteaceae","Basin2005",7,850,46110,26250.6,72360.6,12.8666666666667,130.023538615074,0.216666666666667,212815.384615385
"Persoonia lanceolata","Proteaceae","Basin2005",7,800,48470,31020,79490,12.3533333333333,119.85556455222,0.216666666666667,223707.692307692
"Persoonia lanceolata","Proteaceae","Basin2005",7,575,14783.7,8195.2,22978.9,7.79,47.6611806874271,0.216666666666667,68232.4615384615
"Persoonia lanceolata","Proteaceae","Basin2005",7,530,13340.9,6711.2,20052.1,6.56,33.7985104043804,0.216666666666667,61573.3846153846
"Persoonia lanceolata","Proteaceae","Basin2005",7,730,44896,22433.3,67329.3,12.1833333333333,116.579485553118,0.216666666666667,207212.307692308
"Persoonia lanceolata","Proteaceae","Basin2005",7,1070,61256.8,42920.8,104177.6,12.3733333333333,120.243970123959,0.216666666666667,282723.692307692
"Persoonia lanceolata","Proteaceae","Basin2005",7,570,19331,6587.2,25918.2,7.31666666666667,42.0451998466999,0.216666666666667,89220
"Persoonia lanceolata","Proteaceae","Basin2007",5,248,4640.7,1487.5,6128.2,4.05333333333333,12.9037078521846,0.253333333333333,18318.552631579
"Persoonia lanceolata","Proteaceae","Basin2007",5,285,7546.6,2918.1,10464.7,5.45333333333333,23.3568338082291,0.253333333333333,29789.2105263158
"Persoonia lanceolata","Proteaceae","Basin2007",5,670,30773.4,12080.8,42854.2,9.39333333333333,69.2993800545711,0.253333333333333,121473.947368421
"Persoonia lanceolata","Proteaceae","Basin2007",5,303,8361,2005.1,10366.1,4.49,15.8337055139089,0.253333333333333,33003.9473684211
"Persoonia lanceolata","Proteaceae","Basin2007",5,300,4762,1242.3,6004.3,4.04333333333333,12.8401167808882,0.253333333333333,18797.3684210526
"Persoonia lanceolata","Proteaceae","Basin2007",5,320,7479.8,2089,9568.8,4.92666666666667,19.0632191285679,0.253333333333333,29525.5263157895
"Persoonia lanceolata","Proteaceae","Basin2007",5,240,5360.9,1255.5,6616.4,4.03666666666667,12.7978099998199,0.253333333333333,21161.4473684211
"Persoonia lanceolata","Proteaceae","Waratah2003",9,700,26945.8,14891.2,41837,8.24333333333333,53.3698036048502,0.233333333333333,115482
"Persoonia lanceolata","Proteaceae","Waratah2003",9,905,59284.6,31313.5,90598.1,10.53,87.0856552158561,0.233333333333333,254076.857142857
"Persoonia lanceolata","Proteaceae","Waratah2003",9,1005,69172.8,64637.6,133810.4,13.06,133.960338182457,0.233333333333333,296454.857142857
"Persoonia lanceolata","Proteaceae","Waratah2003",9,1380,25688.7,53212.5,78901.2,12.7533333333333,127.743056507833,0.233333333333333,110094.428571429
"Persoonia lanceolata","Proteaceae","Waratah2003",9,1280,65645.5,72369.7,138015.2,14.3466666666667,161.656025604559,0.233333333333333,281337.857142857
"Persoonia lanceolata","Proteaceae","Waratah2003",9,1330,43319,48600.5,91919.5,12.24,117.666467884614,0.233333333333333,185652.857142857
"Persoonia lanceolata","Proteaceae","Waratah2003",9,1110,54380.9,53446,107826.9,11.98,112.720658570067,0.233333333333333,233061
"Persoonia lanceolata","Proteaceae","Waratah2011",1.3,38,60,30.6,90.6,1.20666666666667,1.14357463249172,0.18,333.333333333333
"Persoonia lanceolata","Proteaceae","Waratah2011",1.3,70,386.7,93.4,480.1,1.71333333333333,2.30554503529947,0.18,2148.33333333333
"Persoonia lanceolata","Proteaceae","Waratah2011",1.3,60,188.2,100.3,288.5,1.61,2.03583057934253,0.18,1045.55555555556
"Persoonia lanceolata","Proteaceae","Waratah2011",1.3,46,550.9,74.6,625.5,1.68,2.21670777637296,0.18,3060.55555555556
"Persoonia lanceolata","Proteaceae","Waratah2011",1.3,30,58.9,61.5,120.4,2.088888889,3.42705094939167,0.18,327.222222222222
"Persoonia lanceolata","Proteaceae","Waratah2011",1.3,90,1078.8,163.1,1241.9,1.93,2.92552961883916,0.18,5993.33333333333
"Persoonia lanceolata","Proteaceae","Waratah2011",1.3,61,335.8,76.9,412.7,1.82666666666667,2.62064677845453,0.18,1865.55555555556
"Petrophile pulchella","Proteaceae","Basin1981",32,1740,10413.7,38160.8,48574.5,8.3,54.1060794764502,0.396666666666667,26253.025210084
"Petrophile pulchella","Proteaceae","Basin1981",32,2010,13509.6,80013.2,93522.8,10.2466666666667,82.4622343940918,0.396666666666667,34057.8151260504
"Petrophile pulchella","Proteaceae","Basin1981",32,1605,13800.2,55906.6,69706.8,12.3833333333333,120.438408529277,0.396666666666667,34790.4201680672
"Petrophile pulchella","Proteaceae","Basin1981",32,1540,17440.4,49700,67140.4,10.2166666666667,81.9800784615822,0.396666666666667,43967.3949579832
"Petrophile pulchella","Proteaceae","Basin1981",32,1730,21180.5,65674.2,86854.7,12.5833333333333,124.360163358508,0.396666666666667,53396.218487395
"Petrophile pulchella","Proteaceae","Basin1981",32,2090,12186.8,76462.1,88648.9,12.3066666666667,118.951728345782,0.396666666666667,30723.025210084
"Petrophile pulchella","Proteaceae","Basin1981",32,1295,9592.1,41991.3,51583.4,8.60333333333333,58.133086386223,0.396666666666667,24181.7647058823
