"lookupVariable","lookupValue","newVariable","newValue","source"
NA,NA,"latitude","34.823","converted"
NA,NA,"longitude","-77.303","converted"
NA,NA,"growingCondition","PM",""
NA,NA,"status","1",""
NA,NA,"vegetation","TempF",""
NA,NA,"family","Pinaceae",""
NA,NA,"pft","EG",""
