dataset,location,latitude,longitude,map,mat,species,growingcondition,status,light,harvest_year,age,tree_id,rep,number,genlev,genotype,dbh,grdiam,ht,SLA,stemdw,branchdw,leafdw,stembranchdw,agdw,taprootdw,coarserootdw,finerootdw,bgdw,totaldw,totalLA
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,3_5,3,5,cl,C1B,,4.30,2.32,35.12,0.448235294,0.23217975,0.762624,0.680415044,1.443039044,0.185,0.1956,0.00844,0.38909,1.832129044,2.678335488
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,3_6,3,6,cl,C1C,,3.83,2.00,38.21,0.296,0.121882714,0.55272,0.417882714,0.970602714,0.138,0.07051,0.00607,0.21501,1.185612714,2.11194312
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,3_7,3,7,hs,HS3,,5.43,2.36,36.55,0.564285714,0.510733615,1.120931667,1.07501933,2.195950996,0.329,0.2379,0.01462,0.58124,2.777190996,4.097005242
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,3_8,3,8,cl,C3B,,6.41,3.19,34.81,0.924,0.437824071,1.532373333,1.361824071,2.894197405,,,,,,5.334191573
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,3_9,3,9,cl,C3C,,6.20,2.96,38.1,0.833333333,0.35801425,1.469437143,1.191347583,2.660784726,0.350,0.21245,0.01037,0.57328,3.234064726,5.598555514
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,3_10,3,10,cl,C2,,6.23,2.82,37.65,0.903846154,0.786682591,1.251558333,1.690528745,2.942087078,0.361,0.1829,0.00595,0.55009,3.492177078,4.712117125
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,3_11,3,11,fs,FS2,,2.92,1.38,36.71,0.116,0.078865286,0.262423636,0.194865286,0.457288922,0.074,0.03573,0.00382,0.1137,0.570988922,0.963357169
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,4_1,4,1,fs,FS3,,3.05,1.70,37.55,0.1386,0.080498667,0.275351818,0.219098667,0.494450485,0.090,0.043,0.00195,0.13515,0.629600485,1.033946077
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,4_2,4,2,fs,FS1,,6.02,2.24,38.11,0.501818182,0.210561,0.83971,0.712379182,1.552089182,0.255,0.16855,0.0088,0.43201,1.984099182,3.20013481
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,4_3,4,3,hs,HS1,,4.91,2.12,35.99,0.39825,0.300623333,1.160439444,0.698873333,1.859312778,0.293,0.11397,0.01243,0.41917,2.278482778,4.176421561
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,4_4,4,4,cl,C2,,4.44,2.20,36.99,0.336,0.139408333,0.587258182,0.475408333,1.062666515,0.198,0.10267,0.01875,0.31968,1.382346515,2.172268015
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,4_5,4,5,hs,HS2,,5.04,3.18,37.7,0.723076923,0.236083545,0.817886667,0.959160469,1.777047135,0.261,0.17912,0.02881,0.46855,2.245597135,3.083432733
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,4_6,4,6,cl,C3B,,4.48,2.11,36.62,0.385,0.160498667,0.55085,0.545498667,1.096348667,0.169,0.14542,0.03436,0.34897,1.445318667,2.0172127
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,4_7,4,7,cl,C3C,,5.45,2.93,35.13,0.73485,0.320854857,1.056853571,1.055704857,2.112558429,0.367,0.18206,0.04238,0.59094,2.703498429,3.712726596
