species,Tree #,Dia. (mm),D.B.H.(mm),Hieght (cm),Branch (cm),Foliage,Branch,Dead Branch,Stem Wood,Stem Bark,Lrg. Root,Med. Root,Sm. Root ,TOTAL
Abies lasiocarpa,19,9.7,0,68.2,55.6,3.94,2.19,1.54,15.06,7.49,0,3.98,0.62,34.82
Abies lasiocarpa,20,14.3,0,96.4,77,6.57,5.4,3.73,40.52,20.4,0,12.55,2.95,92.12
Abies lasiocarpa,21,74,50.4,482.5,44.6,2188.41,896.7,129.86,2070.86,368.36,290.67,722.88,111.11,6778.85
Abies lasiocarpa,22,30.8,11.1,184,30.2,294.77,187.34,15.67,198.68,62.48,0,103.84,29.14,891.92
Abies lasiocarpa,23,24.6,3.2,126.6,31.5,197.46,105.73,3.89,93.78,30.83,0,57.13,21.65,510.47
Abies lasiocarpa,24,15.5,0,97.4,17.4,40.36,27.3,1.81,28.85,20.62,0,12.36,8.71,140.01
Abies lasiocarpa,25,16.7,0,100.8,26.8,46.33,23.9,3.08,37.44,23.32,0,16,10.04,160.11
Abies lasiocarpa,26,50.3,25.1,243,36.2,536.34,791.47,87.67,547.08,103.33,0,338.57,60.09,2464.55
Abies lasiocarpa,27,82.7,65.6,529,51.2,985.78,2537.7,7.64,2915.28,610.86,483.22,852.53,187.03,8580.04
Abies lasiocarpa,28,71.1,65.4,693.6,23.8,845.22,1679.33,4.44,4601.09,1208.66,480.69,860.13,107.17,9786.73
Abies lasiocarpa,29,76.4,62.9,545,67.2,781.35,1405.78,4.23,3691.69,778.53,25.8,21.89,5.58,6714.85
Abies lasiocarpa,30,66.4,56.3,588,145.8,665.36,856.13,3.6,3001.69,564.48,200.37,424.62,82.19,5798.44
Betula papyrifera,1,53.4,26.6,572,360,47.5,101.4,0,969.21,244.1,0,242.92,71.06,1676.19
Betula papyrifera,2,107,66.3,989,670,248.94,565.28,0,7995.55,1895.89,946.89,1640.44,210.33,13503.32
Betula papyrifera,3,132,75.6,1055,420,567.17,1147.85,0,10750.22,2294.02,1414.99,1332.83,227.77,17734.85
Betula papyrifera,4,31.4,24.7,507.2,325.1,10.4,21.5,0,413.72,171.83,0,109.55,23.17,750.17
Betula papyrifera,5,98.4,70.2,945,631.7,564.12,396.96,0,8680.99,1569.54,918.28,1471.22,121.01,13722.12
Betula papyrifera,6,48.1,26.4,615.4,319,19.33,77.5,0,1026.78,268.47,92.38,154.54,22.8,1661.8
Betula papyrifera,7,110,65.2,950,?,500.65,455.85,0,6788.11,1493.91,725.23,1104.32,264.11,11332.18
Betula papyrifera,8,53.2,36.8,766,517.7,101.17,105.78,0,1775.17,447.32,147.28,248.09,142.18,2966.99
Betula papyrifera,9,150,90,1078,586.2,1786.3,1817.97,0,15157.81,2597.54,2829.15,2076.54,457.5,26722.81
Betula papyrifera,10,113.5,78.4,1079.2,508,428.32,1189.64,0,11698.15,2282.98,1204.52,1591.24,155.69,18550.54
Betula papyrifera,11,42.3,25.3,665.3,520.2,28.8,60.21,0,1213.26,322.58,0,233.97,38.79,1897.61
Betula papyrifera,12,92.5,59.6,1103.1,602.8,342.09,688.14,0,7558.47,1234.3,634.89,787.9,143.69,11389.48
Betula papyrifera,13,62.4,44.8,910.8,556.3,74.65,186.65,0,3499.9,707.71,207.07,584.85,45.31,5306.14
Betula papyrifera,14,68,46.8,1003.6,776,100.42,209.32,0,4202.15,927.14,293.93,599.71,99.97,6432.64
Betula papyrifera,15,6.2,0,52.2,16.5,1.74,0.26,0,1.34,0.77,0,0.91,1.02,6.04
Betula papyrifera,16,10.5,0,86.9,12.2,6.09,3.29,0,6.42,3.16,0,2.51,2.65,24.12
Betula papyrifera,17,5.1,0,32.3,17.3,1.2,0.04,0,0.59,0.48,0,0,0.94,3.25
Betula papyrifera,18,14,0,99.6,36.6,5.02,1.56,0,10.17,4.27,0,4.23,3.68,28.93
Betula papyrifera,19,16.8,0,67.1,1.4,9.37,4.16,0,7.59,4.29,0,4.37,4.62,34.4
Betula papyrifera,20,21,0,104.9,24.6,22.74,14.54,0,18.06,8.9,0,21.36,9.51,95.11
Betula papyrifera,21,9.4,0,45.3,0,2.66,0.63,0,2.44,1.32,0,0.66,1.78,9.49
Betula papyrifera,22,4.3,0,44.2,0,0.54,0.07,0,0.54,0.27,0,0.67,0.52,2.61
Betula papyrifera,23,3.9,0,33,0,0.54,0.07,0,0.77,0.38,0,0.67,0.52,2.95
Betula papyrifera,24,7.6,0,76,43.1,2.93,1.27,0,1.68,0.9,0,1.06,2.01,9.85
Betula papyrifera,25,3.2,0,13.1,7,0.26,0.01,0,0.08,0.08,0,0,0.14,0.57
Betula papyrifera,26,3.7,0,34.2,0,0.74,0.23,0,0.42,0.42,0,0.28,0.63,2.72
Betula papyrifera,27,5,0,22.8,0,0.52,0.15,0,0.22,0.43,0,0,0.54,1.86
Betula papyrifera,28,15.6,0,58,5,1.46,1.27,0,3.5,3.5,0,1.08,1.76,12.57
Betula papyrifera,29,24.8,2.1,155.3,27.7,78.91,45.11,0,10.4,4.04,0,47.03,16.96,202.45
Betula papyrifera,30,136,87.9,1315.8,600,1540.74,1006.25,76.66,16186.26,2470.91,1727.98,2167.9,410.34,25587.04
