nr,forest,latitude,longitude,map,mat,species,family,individual,pft,age (yr),a.lf,a.stba,a.stbc,h.c,m.lf,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,growingCondition,status,light
16,Inpa (DRY),-16,-61,1160,24.3,Pterogyne nitens,Fabaceae - Caesalpinioideae,6,EA,0.667,34.129,1.744,0.528,76,0.118,0.058,0.176,,0.006,0.066,0.072,0.248,4.876,34.575,0.708,FW,3,full overhead light along logging road or in tree fall gap
17,Inpa (DRY),-16,-61,1160,24.3,Pterogyne nitens,Fabaceae - Caesalpinioideae,7,EA,0.667,61.08,1.863,0.503,91,0.193,0.064,0.257,,0.012,0.183,0.195,0.452,6.787,31.598,0.633,FW,3,full overhead light along logging road or in tree fall gap
18,Inpa (DRY),-16,-61,1160,24.3,Pterogyne nitens,Fabaceae - Caesalpinioideae,8,EA,0.667,52.47,1.188,0.353,87,0.156,0.055,0.211,,0.004,0.145,0.149,0.36,6.559,29.731,0.867,FW,3,full overhead light along logging road or in tree fall gap
19,Inpa (DRY),-16,-61,1160,24.3,Pterogyne nitens,Fabaceae - Caesalpinioideae,9,EA,0.667,62.013,1.839,0.554,91,0.206,0.080,0.286,,0.007,0.16,0.167,0.453,7.752,33.219,0.775,FW,3,full overhead light along logging road or in tree fall gap
20,Inpa (DRY),-16,-61,1160,24.3,Pterogyne nitens,Fabaceae - Caesalpinioideae,10,EA,0.667,48.884,1.267,0.454,96,0.154,0.071,0.225,,0.004,0.107,0.111,0.336,6.111,31.503,0.895,FW,3,full overhead light along logging road or in tree fall gap
21,Inpa (DRY),-16,-61,1160,24.3,Ampelocera ruizii,Ulmaceae,1,EA,0.667,67.583,3.563,0.419,158,0.239,0.131,0.37,,0.014,0.087,0.101,0.471,9.655,35.364,0.478,FW,3,full overhead light along logging road or in tree fall gap
22,Inpa (DRY),-16,-61,1160,24.3,Ampelocera ruizii,Ulmaceae,2,EA,0.667,41.863,2.956,0.608,67,0.168,0.104,0.272,0.014,0.045,0.067,0.112,0.384,5.233,40.131,0.949,FW,3,full overhead light along logging road or in tree fall gap
23,Inpa (DRY),-16,-61,1160,24.3,Ampelocera ruizii,Ulmaceae,3,EA,0.667,42.526,2.405,0.273,100,0.146,0.060,0.206,,0.01,0.061,0.071,0.277,8.505,34.332,0.516,FW,3,full overhead light along logging road or in tree fall gap
24,Inpa (DRY),-16,-61,1160,24.3,Ampelocera ruizii,Ulmaceae,4,EA,0.667,25.71,0.709,0.196,110,0.071,0.029,0.1,,0.003,0.039,0.042,0.142,5.142,27.615,0.619,FW,3,full overhead light along logging road or in tree fall gap
25,Inpa (DRY),-16,-61,1160,24.3,Ampelocera ruizii,Ulmaceae,5,EA,0.667,46.929,4.486,0.466,113,0.168,0.067,0.235,,0.022,0.089,0.111,0.346,6.704,35.799,0.278,FW,3,full overhead light along logging road or in tree fall gap
26,Inpa (DRY),-16,-61,1160,24.3,Ampelocera ruizii,Ulmaceae,6,EA,0.667,57.627,5.269,0.567,150,0.231,0.156,0.387,,0.04,0.129,0.169,0.556,9.604,40.086,0.412,FW,3,full overhead light along logging road or in tree fall gap
