nr,forest,latitude,longitude,map,mat,species,family,individual,pft,age (yr),a.lf,a.stba,a.stbc,h.c,m.lf,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,growingCondition,status,light
101,Inpa (DRY),-16,-61,1160,24.3,Simira rubescens,Rubiaceae,1,DA,0.667,40.011,3.365,0.833,156,0.091,0.185,0.276,,0.022,0.213,0.235,0.511,6.668,22.744,0.606,FW,3,full overhead light along logging road or in tree fall gap
102,Inpa (DRY),-16,-61,1160,24.3,Simira rubescens,Rubiaceae,2,DA,0.667,30.938,6.881,2.63,130,0.066,0.274,0.34,,0.101,0.775,0.876,1.216,6.188,21.333,0.459,FW,3,full overhead light along logging road or in tree fall gap
103,Inpa (DRY),-16,-61,1160,24.3,Simira rubescens,Rubiaceae,3,DA,0.667,81.948,5.067,2.378,100,0.21,0.165,0.375,,0.024,0.46,0.484,0.859,13.658,25.626,0.453,FW,3,full overhead light along logging road or in tree fall gap
104,Inpa (DRY),-16,-61,1160,24.3,Simira rubescens,Rubiaceae,4,DA,0.667,153.757,7.258,2.087,171,0.392,0.453,0.845,,0.145,1.249,1.394,2.239,25.626,25.495,0.6,FW,3,full overhead light along logging road or in tree fall gap
105,Inpa (DRY),-16,-61,1160,24.3,Simira rubescens,Rubiaceae,5,DA,0.667,84.848,4.191,3.497,131,0.209,0.243,0.452,,0.033,0.436,0.469,0.921,14.141,24.632,0.483,FW,3,full overhead light along logging road or in tree fall gap
106,Inpa (DRY),-16,-61,1160,24.3,Simira rubescens,Rubiaceae,6,DA,0.667,115.64,5.391,1.887,141,0.277,0.277,0.554,,0.034,0.618,0.652,1.206,12.849,23.954,0.563,FW,3,full overhead light along logging road or in tree fall gap
107,Inpa (DRY),-16,-61,1160,24.3,Simira rubescens,Rubiaceae,7,DA,0.667,14.743,1.961,1.431,68,0.033,0.057,0.09,,0.011,0.133,0.144,0.234,4.914,22.384,0.496,FW,3,full overhead light along logging road or in tree fall gap
108,Inpa (DRY),-16,-61,1160,24.3,Simira rubescens,Rubiaceae,8,DA,0.667,38.325,3.767,0.933,148,0.077,0.143,0.22,,0.007,0.204,0.211,0.431,6.387,20.092,0.441,FW,3,full overhead light along logging road or in tree fall gap
109,Inpa (DRY),-16,-61,1160,24.3,Simira rubescens,Rubiaceae,9,DA,0.667,37.254,1.961,1.169,88,0.086,0.099,0.185,,0.034,0.183,0.217,0.402,6.209,23.084,0.727,FW,3,full overhead light along logging road or in tree fall gap
110,Inpa (DRY),-16,-61,1160,24.3,Simira rubescens,Rubiaceae,10,DA,0.667,35.756,2.659,1.208,94,0.086,0.103,0.189,,0.028,0.164,0.192,0.381,5.108,24.052,0.581,FW,3,full overhead light along logging road or in tree fall gap
111,Inpa (DRY),-16,-61,1160,24.3,Myrciaria cauliflora,Myrtaceae,1,EA,0.667,30.781,2.138,0.132,140,0.198,0.182,0.38,0.02,0.003,0.16,0.163,0.543,0.855,64.326,1.392,FW,3,full overhead light along logging road or in tree fall gap
112,Inpa (DRY),-16,-61,1160,24.3,Myrciaria cauliflora,Myrtaceae,2,EA,0.667,21.497,2.061,0.166,166,0.14,0.131,0.271,,0.009,0.159,0.168,0.439,1.654,65.124,0.842,FW,3,full overhead light along logging road or in tree fall gap
113,Inpa (DRY),-16,-61,1160,24.3,Myrciaria cauliflora,Myrtaceae,3,EA,0.667,22.215,2.405,0.119,151,0.131,0.159,0.29,0.016,0.005,0.136,0.141,0.431,1.01,58.968,1.033,FW,3,full overhead light along logging road or in tree fall gap
114,Inpa (DRY),-16,-61,1160,24.3,Myrciaria cauliflora,Myrtaceae,4,EA,0.667,6.641,0.554,0.066,117,0.039,0.046,0.085,,,0.025,0.025,0.11,0.83,58.73,1.454,FW,3,full overhead light along logging road or in tree fall gap
115,Inpa (DRY),-16,-61,1160,24.3,Myrciaria cauliflora,Myrtaceae,5,EA,0.667,5.828,0.454,0.057,78,0.026,0.028,0.054,,0.004,0.017,0.021,0.075,0.648,44.613,1.603,FW,3,full overhead light along logging road or in tree fall gap
116,Inpa (DRY),-16,-61,1160,24.3,Myrciaria cauliflora,Myrtaceae,6,EA,0.667,3.186,0.916,0.08,93,0.017,0.045,0.062,,,0.03,0.03,0.092,0.531,53.354,1.146,FW,3,full overhead light along logging road or in tree fall gap
117,Inpa (DRY),-16,-61,1160,24.3,Myrciaria cauliflora,Myrtaceae,7,EA,0.667,11.84,0.833,0.113,77,0.069,0.042,0.111,,0.003,0.05,0.053,0.164,0.789,58.276,1.306,FW,3,full overhead light along logging road or in tree fall gap
118,Inpa (DRY),-16,-61,1160,24.3,Myrciaria cauliflora,Myrtaceae,8,EA,0.667,9.257,0.419,0.126,84,0.049,0.027,0.076,,,0.014,0.014,0.09,0.487,52.934,1.245,FW,3,full overhead light along logging road or in tree fall gap
119,Inpa (DRY),-16,-61,1160,24.3,Myrciaria cauliflora,Myrtaceae,9,EA,0.667,9.389,1.327,0.086,92,0.057,0.061,0.118,,0.004,0.083,0.087,0.205,1.174,60.711,1.136,FW,3,full overhead light along logging road or in tree fall gap
120,Inpa (DRY),-16,-61,1160,24.3,Myrciaria cauliflora,Myrtaceae,10,EA,0.667,11.56,0.77,0.071,97,0.067,0.051,0.118,,0.001,0.037,0.038,0.156,0.826,57.956,1.468,FW,3,full overhead light along logging road or in tree fall gap
121,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma tomentosum,Apocynaceae,1,EA,0.667,70.98,4.638,3.836,128,0.239,0.270,0.509,,0.013,0.737,0.75,1.259,17.745,33.671,0.499,FW,3,full overhead light along logging road or in tree fall gap
122,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma tomentosum,Apocynaceae,2,EA,0.667,60.045,4.374,2.488,135,0.202,0.199,0.401,,,0.445,0.445,0.846,15.011,33.641,0.435,FW,3,full overhead light along logging road or in tree fall gap
123,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma tomentosum,Apocynaceae,3,EA,0.667,38.206,5.187,1.227,137,0.125,0.201,0.326,,0.008,0.422,0.43,0.756,7.641,32.717,0.493,FW,3,full overhead light along logging road or in tree fall gap
124,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma tomentosum,Apocynaceae,4,EA,0.667,84.84,8.194,3.11,224,0.298,0.604,0.902,,0.039,0.876,0.915,1.817,16.968,35.125,0.495,FW,3,full overhead light along logging road or in tree fall gap
125,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma tomentosum,Apocynaceae,5,EA,0.667,159.001,11.521,3.017,278,0.601,0.957,1.558,,0.053,1.504,1.557,3.115,26.5,37.798,0.505,FW,3,full overhead light along logging road or in tree fall gap
126,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma tomentosum,Apocynaceae,6,EA,0.667,64.211,12.254,2.297,203,0.241,0.629,0.87,,0.021,1.546,1.567,2.437,16.053,37.532,0.468,FW,3,full overhead light along logging road or in tree fall gap
127,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma tomentosum,Apocynaceae,7,EA,0.667,185.125,13.92,3.205,255,0.688,0.975,1.663,,0.142,2.207,2.349,4.012,37.025,37.164,0.482,FW,3,full overhead light along logging road or in tree fall gap
128,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma tomentosum,Apocynaceae,8,EA,0.667,38.906,2.806,2.405,143,0.153,0.200,0.353,,0.021,0.448,0.469,0.822,12.969,39.326,0.537,FW,3,full overhead light along logging road or in tree fall gap
129,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma tomentosum,Apocynaceae,9,EA,0.667,35.385,3.301,1.629,137,0.12,0.220,0.34,,0.031,0.373,0.404,0.744,11.795,33.913,0.665,FW,3,full overhead light along logging road or in tree fall gap
130,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma tomentosum,Apocynaceae,10,EA,0.667,44.317,3.333,1.169,138,0.147,0.197,0.344,,0.016,0.446,0.462,0.806,11.079,33.17,0.661,FW,3,full overhead light along logging road or in tree fall gap
131,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma cylindrocarpon,Apocynaceae,1,DA,0.667,13.354,1.791,0.665,60,0.173,0.030,0.203,,,0.022,0.022,0.225,4.451,129.547,0.423,FW,3,full overhead light along logging road or in tree fall gap
132,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma cylindrocarpon,Apocynaceae,2,DA,0.667,17.67,1.767,0.608,86,0.107,0.039,0.146,,0.004,0.041,0.045,0.191,4.417,60.555,0.399,FW,3,full overhead light along logging road or in tree fall gap
133,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma cylindrocarpon,Apocynaceae,3,DA,0.667,10.665,1.112,0.77,66,0.027,0.019,0.046,,,0.164,0.164,0.21,2.666,25.317,0.308,FW,3,full overhead light along logging road or in tree fall gap
134,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma cylindrocarpon,Apocynaceae,4,DA,0.667,10.977,1.863,0.622,66,0.084,0.040,0.124,,0.004,0.036,0.04,0.164,2.195,76.524,0.511,FW,3,full overhead light along logging road or in tree fall gap
135,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma cylindrocarpon,Apocynaceae,5,DA,0.667,13.917,1.539,0.43,55,0.176,0.025,0.201,,,0.031,0.031,0.232,3.479,126.468,0.49,FW,3,full overhead light along logging road or in tree fall gap
136,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma cylindrocarpon,Apocynaceae,6,DA,0.667,43.851,3.497,1.039,126,0.223,0.127,0.35,,0.038,0.08,0.118,0.468,6.264,50.853,0.469,FW,3,full overhead light along logging road or in tree fall gap
137,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma cylindrocarpon,Apocynaceae,7,DA,0.667,40.158,3.398,1.287,115,0.225,0.125,0.35,,0.028,0.094,0.122,0.472,6.693,56.028,0.481,FW,3,full overhead light along logging road or in tree fall gap
138,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma cylindrocarpon,Apocynaceae,8,DA,0.667,34.604,3.048,0.724,115,0.18,0.084,0.264,,0.004,0.075,0.079,0.343,5.767,52.018,0.417,FW,3,full overhead light along logging road or in tree fall gap
139,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma cylindrocarpon,Apocynaceae,9,DA,0.667,25.342,4.047,0.65,107,0.126,0.074,0.2,,0.023,0.05,0.073,0.273,4.224,49.72,0.328,FW,3,full overhead light along logging road or in tree fall gap
140,Inpa (DRY),-16,-61,1160,24.3,Aspidosperma cylindrocarpon,Apocynaceae,10,DA,0.667,25.715,4.714,1.169,86,0.159,0.095,0.254,,0.07,0.05,0.12,0.374,6.429,61.831,0.403,FW,3,full overhead light along logging road or in tree fall gap
141,Inpa (DRY),-16,-61,1160,24.3,Sweetia fruticosa,Fabaceae - Papilionoideae,1,EA,0.667,34.332,4.011,0.899,156,0.095,0.177,0.272,,,0.372,0.372,0.644,8.583,27.671,0.5,FW,3,full overhead light along logging road or in tree fall gap
142,Inpa (DRY),-16,-61,1160,24.3,Sweetia fruticosa,Fabaceae - Papilionoideae,2,EA,0.667,62.74,1.247,0.322,117,0.166,0.061,0.227,,,0.482,0.482,0.709,8.963,26.458,0.71,FW,3,full overhead light along logging road or in tree fall gap
143,Inpa (DRY),-16,-61,1160,24.3,Sweetia fruticosa,Fabaceae - Papilionoideae,3,EA,0.667,94.398,2.297,0.709,141,0.29,0.137,0.427,,,1.961,1.961,2.388,13.485,30.721,0.681,FW,3,full overhead light along logging road or in tree fall gap
144,Inpa (DRY),-16,-61,1160,24.3,Sweetia fruticosa,Fabaceae - Papilionoideae,4,EA,0.667,38.067,2.573,0.292,76,0.1,0.091,0.191,,,0.406,0.406,0.597,5.438,26.269,0.963,FW,3,full overhead light along logging road or in tree fall gap
145,Inpa (DRY),-16,-61,1160,24.3,Sweetia fruticosa,Fabaceae - Papilionoideae,5,EA,0.667,47.826,0.95,0.302,97,0.096,0.047,0.143,,,0.1,0.1,0.243,6.832,20.073,0.813,FW,3,full overhead light along logging road or in tree fall gap
146,Inpa (DRY),-16,-61,1160,24.3,Sweetia fruticosa,Fabaceae - Papilionoideae,6,EA,0.667,46.559,0.933,0.454,96,0.104,0.050,0.154,,,0.159,0.159,0.313,7.76,22.337,0.767,FW,3,full overhead light along logging road or in tree fall gap
147,Inpa (DRY),-16,-61,1160,24.3,Sweetia fruticosa,Fabaceae - Papilionoideae,7,EA,0.667,34.369,1.267,0.385,113,0.072,0.056,0.128,,,0.09,0.09,0.218,5.728,20.949,0.633,FW,3,full overhead light along logging road or in tree fall gap
148,Inpa (DRY),-16,-61,1160,24.3,Sweetia fruticosa,Fabaceae - Papilionoideae,8,EA,0.667,9.288,1.15,0.528,101,0.022,0.046,0.068,,,0.076,0.076,0.144,2.322,23.686,0.556,FW,3,full overhead light along logging road or in tree fall gap
149,Inpa (DRY),-16,-61,1160,24.3,Sweetia fruticosa,Fabaceae - Papilionoideae,9,EA,0.667,96.318,1.327,0.554,101,0.247,0.079,0.326,,,0.341,0.341,0.667,9.632,25.644,0.857,FW,3,full overhead light along logging road or in tree fall gap
150,Inpa (DRY),-16,-61,1160,24.3,Sweetia fruticosa,Fabaceae - Papilionoideae,10,EA,0.667,94.279,1.767,0.374,96,0.199,0.071,0.27,,,0.25,0.25,0.52,11.785,21.108,0.751,FW,3,full overhead light along logging road or in tree fall gap
151,Inpa (DRY),-16,-61,1160,24.3,Neea cf. steinbachii ,Nyctanginaceae,1,EA,0.667,19.654,1.72,0.528,88,0.083,0.056,0.139,,0.002,0.038,0.04,0.179,3.931,42.23,0.596,FW,3,full overhead light along logging road or in tree fall gap
152,Inpa (DRY),-16,-61,1160,24.3,Neea cf. steinbachii ,Nyctanginaceae,2,EA,0.667,27.822,3.017,1.348,78,0.11,0.101,0.211,,0.007,0.062,0.069,0.28,3.478,39.537,0.609,FW,3,full overhead light along logging road or in tree fall gap
153,Inpa (DRY),-16,-61,1160,24.3,Neea cf. steinbachii ,Nyctanginaceae,3,EA,0.667,64.813,5.147,1.839,78,0.297,0.132,0.429,,0.004,0.161,0.165,0.594,5.892,45.824,0.505,FW,3,full overhead light along logging road or in tree fall gap
154,Inpa (DRY),-16,-61,1160,24.3,Neea cf. steinbachii ,Nyctanginaceae,4,EA,0.667,126.924,8.042,2.27,134,0.551,0.212,0.763,,0.022,0.348,0.37,1.133,9.763,43.412,0.325,FW,3,full overhead light along logging road or in tree fall gap
155,Inpa (DRY),-16,-61,1160,24.3,Neea cf. steinbachii ,Nyctanginaceae,5,EA,0.667,22.973,4.524,0.801,95,0.098,0.154,0.252,0.025,0.004,0.203,0.207,0.459,2.872,42.658,0.673,FW,3,full overhead light along logging road or in tree fall gap
156,Inpa (DRY),-16,-61,1160,24.3,Neea cf. steinbachii ,Nyctanginaceae,6,EA,0.667,22.113,1.169,0.581,57,0.105,0.032,0.137,,0.019,0.037,0.056,0.193,2.457,47.483,0.654,FW,3,full overhead light along logging road or in tree fall gap
157,Inpa (DRY),-16,-61,1160,24.3,Neea cf. steinbachii ,Nyctanginaceae,7,EA,0.667,71.227,2.659,1.539,101,0.26,0.044,0.304,,0.01,0.156,0.166,0.47,5.088,36.503,0.21,FW,3,full overhead light along logging road or in tree fall gap
158,Inpa (DRY),-16,-61,1160,24.3,Neea cf. steinbachii ,Nyctanginaceae,8,EA,0.667,15.926,1.887,0.724,60,0.059,0.029,0.088,,0.002,0.033,0.035,0.123,2.654,37.046,0.384,FW,3,full overhead light along logging road or in tree fall gap
159,Inpa (DRY),-16,-61,1160,24.3,Neea cf. steinbachii ,Nyctanginaceae,9,EA,0.667,15.791,1.936,0.541,52,0.049,0.020,0.069,,0.006,0.194,0.2,0.269,1.436,31.03,0.33,FW,3,full overhead light along logging road or in tree fall gap
160,Inpa (DRY),-16,-61,1160,24.3,Neea cf. steinbachii ,Nyctanginaceae,10,EA,0.667,10.436,1.936,0.374,66,0.052,0.042,0.094,,0.034,0.033,0.067,0.161,3.479,49.83,0.604,FW,3,full overhead light along logging road or in tree fall gap
161,Inpa (DRY),-16,-61,1160,24.3,Ceiba samaura ,Malvaceae - Bombacoideae,1,DA,0.667,57.237,11.045,1.674,175,0.131,0.261,0.392,,0.012,0.345,0.357,0.749,28.618,22.887,0.263,FW,3,full overhead light along logging road or in tree fall gap
162,Inpa (DRY),-16,-61,1160,24.3,Ceiba samaura ,Malvaceae - Bombacoideae,2,DA,0.667,44.734,8.347,0.916,140,,,,,,,,,11.183,,,FW,3,full overhead light along logging road or in tree fall gap
163,Inpa (DRY),-16,-61,1160,24.3,Ceiba samaura ,Malvaceae - Bombacoideae,3,DA,0.667,69.064,9.621,1.791,201,0.145,0.246,0.391,,0.008,0.335,0.343,0.734,17.266,20.995,0.236,FW,3,full overhead light along logging road or in tree fall gap
164,Inpa (DRY),-16,-61,1160,24.3,Ceiba samaura ,Malvaceae - Bombacoideae,4,DA,0.667,12.574,22.564,0.916,158,0.036,0.543,0.579,0.015,0.134,0.876,1.01,1.589,3.143,28.631,0.368,FW,3,full overhead light along logging road or in tree fall gap
165,Inpa (DRY),-16,-61,1160,24.3,Ceiba samaura ,Malvaceae - Bombacoideae,5,DA,0.667,27.178,19.244,0.933,136,0.071,0.422,0.493,0.013,0.095,0.486,0.581,1.074,9.059,26.124,0.381,FW,3,full overhead light along logging road or in tree fall gap
166,Inpa (DRY),-16,-61,1160,24.3,Caesalpinia pluviosa,Fabaceae - Caesalpinioideae,1,EA,0.667,16.31,4.676,0.528,118,0.051,0.269,0.32,,,0.352,0.352,0.672,8.155,31.27,1.009,FW,3,full overhead light along logging road or in tree fall gap
167,Inpa (DRY),-16,-61,1160,24.3,Caesalpinia pluviosa,Fabaceae - Caesalpinioideae,2,EA,0.667,29.598,4.638,0.091,170,0.075,0.195,0.27,,0.004,0.092,0.096,0.366,7.399,25.34,0.64,FW,3,full overhead light along logging road or in tree fall gap
168,Inpa (DRY),-16,-61,1160,24.3,Caesalpinia pluviosa,Fabaceae - Caesalpinioideae,3,EA,0.667,68.731,4.988,0.95,156,0.26,0.329,0.589,,0.016,0.62,0.636,1.225,34.365,37.829,0.78,FW,3,full overhead light along logging road or in tree fall gap
169,Inpa (DRY),-16,-61,1160,24.3,Caesalpinia pluviosa,Fabaceae - Caesalpinioideae,4,EA,0.667,19.072,2.138,0.541,171,0.055,0.181,0.236,,,0.101,0.101,0.337,9.536,28.838,0.846,FW,3,full overhead light along logging road or in tree fall gap
170,Inpa (DRY),-16,-61,1160,24.3,Caesalpinia pluviosa,Fabaceae - Caesalpinioideae,5,EA,0.667,10.553,2.138,0.567,156,0.028,0.144,0.172,,,0.049,0.049,0.221,10.553,26.533,0.728,FW,3,full overhead light along logging road or in tree fall gap
171,Inpa (DRY),-16,-61,1160,24.3,Caesalpinia pluviosa,Fabaceae - Caesalpinioideae,6,EA,0.667,37.275,4.227,0.363,142,0.1,0.179,0.279,,0.005,0.269,0.274,0.553,18.638,26.827,0.649,FW,3,full overhead light along logging road or in tree fall gap
172,Inpa (DRY),-16,-61,1160,24.3,Caesalpinia pluviosa,Fabaceae - Caesalpinioideae,7,EA,0.667,80.724,4.449,0.622,234,0.253,0.351,0.604,,0.005,0.385,0.39,0.994,20.181,31.341,0.668,FW,3,full overhead light along logging road or in tree fall gap
173,Inpa (DRY),-16,-61,1160,24.3,Caesalpinia pluviosa,Fabaceae - Caesalpinioideae,8,EA,0.667,102.32,9.898,0.95,241,0.398,0.679,1.077,,0.016,1.45,1.466,2.543,51.16,38.898,0.607,FW,3,full overhead light along logging road or in tree fall gap
174,Inpa (DRY),-16,-61,1160,24.3,Caesalpinia pluviosa,Fabaceae - Caesalpinioideae,9,EA,0.667,238.736,10.694,1.169,255,0.692,0.640,1.332,,0.122,1.362,1.484,2.816,59.684,28.986,0.489,FW,3,full overhead light along logging road or in tree fall gap
175,Inpa (DRY),-16,-61,1160,24.3,Caesalpinia pluviosa,Fabaceae - Caesalpinioideae,10,EA,0.667,20.585,3.333,0.374,154,0.063,0.182,0.245,,,0.18,0.18,0.425,6.862,30.605,0.735,FW,3,full overhead light along logging road or in tree fall gap
176,Inpa (DRY),-16,-61,1160,24.3,Machaerium acutifolium,Fabaceae - Papilionoideae,1,EA,0.667,10.382,2.164,0.665,115,0.032,0.063,0.095,,0.003,0.061,0.064,0.159,3.461,30.824,0.408,FW,3,full overhead light along logging road or in tree fall gap
177,Inpa (DRY),-16,-61,1160,24.3,Machaerium acutifolium,Fabaceae - Papilionoideae,2,EA,0.667,37.638,2.545,0.608,164,0.102,0.137,0.239,,0.013,0.154,0.167,0.406,12.546,27.1,0.57,FW,3,full overhead light along logging road or in tree fall gap
178,Inpa (DRY),-16,-61,1160,24.3,Machaerium acutifolium,Fabaceae - Papilionoideae,3,EA,0.667,26.1,2.087,0.679,128,0.074,0.134,0.208,,0.003,0.125,0.128,0.336,8.7,28.352,0.794,FW,3,full overhead light along logging road or in tree fall gap
179,Inpa (DRY),-16,-61,1160,24.3,Machaerium acutifolium,Fabaceae - Papilionoideae,4,EA,0.667,27.918,4.083,0.785,94,0.082,0.090,0.172,,0.009,0.25,0.259,0.431,9.306,29.372,0.431,FW,3,full overhead light along logging road or in tree fall gap
180,Inpa (DRY),-16,-61,1160,24.3,Machaerium acutifolium,Fabaceae - Papilionoideae,5,EA,0.667,14.046,2.061,0.238,175,0.055,0.143,0.198,,0.005,0.129,0.134,0.332,3.511,39.158,0.817,FW,3,full overhead light along logging road or in tree fall gap
181,Inpa (DRY),-16,-61,1160,24.3,Machaerium acutifolium,Fabaceae - Papilionoideae,6,EA,0.667,35.161,2.746,0.709,138,0.123,0.133,0.256,,0.008,0.271,0.279,0.535,8.79,34.982,0.596,FW,3,full overhead light along logging road or in tree fall gap
182,Inpa (DRY),-16,-61,1160,24.3,Machaerium acutifolium,Fabaceae - Papilionoideae,7,EA,0.667,47.027,3.398,0.581,131,0.14,0.170,0.31,,0.018,0.537,0.555,0.865,15.676,29.77,0.723,FW,3,full overhead light along logging road or in tree fall gap
183,Inpa (DRY),-16,-61,1160,24.3,Machaerium acutifolium,Fabaceae - Papilionoideae,8,EA,0.667,11.513,1.887,0.608,141,0.05,0.124,0.174,,0.012,0.084,0.096,0.27,3.838,43.43,0.74,FW,3,full overhead light along logging road or in tree fall gap
184,Inpa (DRY),-16,-61,1160,24.3,Machaerium acutifolium,Fabaceae - Papilionoideae,9,EA,0.667,13.586,2.865,0.541,165,0.044,0.121,0.165,,0.008,0.139,0.147,0.312,6.793,32.386,0.473,FW,3,full overhead light along logging road or in tree fall gap
185,Inpa (DRY),-16,-61,1160,24.3,Machaerium acutifolium,Fabaceae - Papilionoideae,10,EA,0.667,63.123,3.497,0.65,168,0.203,0.217,0.42,,0.01,0.366,0.376,0.796,12.625,32.16,0.685,FW,3,full overhead light along logging road or in tree fall gap
186,Inpa (DRY),-16,-61,1160,24.3,Zanthoxylum monogynum ,Rutaceae,1,EA,0.667,43.388,1.517,0.985,81,0.159,0.084,0.243,0.009,0.004,0.068,0.072,0.315,6.198,36.646,0.835,FW,3,full overhead light along logging road or in tree fall gap
187,Inpa (DRY),-16,-61,1160,24.3,Zanthoxylum monogynum ,Rutaceae,2,EA,0.667,44.015,1.629,0.65,90,0.154,0.091,0.245,,0.003,0.074,0.077,0.322,5.502,34.988,0.917,FW,3,full overhead light along logging road or in tree fall gap
188,Inpa (DRY),-16,-61,1160,24.3,Zanthoxylum monogynum ,Rutaceae,3,EA,0.667,34.697,1.112,0.754,62,0.12,0.054,0.174,,0.023,0.048,0.071,0.245,4.337,34.585,0.939,FW,3,full overhead light along logging road or in tree fall gap
189,Inpa (DRY),-16,-61,1160,24.3,Zanthoxylum monogynum ,Rutaceae,4,EA,0.667,45.111,0.933,0.709,68,0.15,0.052,0.202,,0.034,0.055,0.089,0.291,5.639,33.251,0.934,FW,3,full overhead light along logging road or in tree fall gap
190,Inpa (DRY),-16,-61,1160,24.3,Zanthoxylum monogynum ,Rutaceae,5,EA,0.667,24.08,0.849,0.374,61,0.073,0.033,0.106,,0.017,0.022,0.039,0.145,4.013,30.316,0.908,FW,3,full overhead light along logging road or in tree fall gap
191,Inpa (DRY),-16,-61,1160,24.3,Zanthoxylum monogynum ,Rutaceae,6,EA,0.667,20.672,1.227,1.021,74,0.062,0.038,0.1,,0.013,0.031,0.044,0.144,3.445,29.993,0.458,FW,3,full overhead light along logging road or in tree fall gap
192,Inpa (DRY),-16,-61,1160,24.3,Zanthoxylum monogynum ,Rutaceae,7,EA,0.667,42.678,1.15,0.709,112,0.149,0.072,0.221,,0.037,0.03,0.067,0.288,5.335,34.913,0.698,FW,3,full overhead light along logging road or in tree fall gap
193,Inpa (DRY),-16,-61,1160,24.3,Zanthoxylum monogynum ,Rutaceae,8,EA,0.667,27.946,1.327,0.679,78,0.1,0.060,0.16,,0.002,0.057,0.059,0.219,4.658,35.784,0.781,FW,3,full overhead light along logging road or in tree fall gap
194,Inpa (DRY),-16,-61,1160,24.3,Zanthoxylum monogynum ,Rutaceae,9,EA,0.667,45.616,1.15,0.608,110,0.141,0.074,0.215,,0.038,0.029,0.067,0.282,5.702,30.91,0.778,FW,3,full overhead light along logging road or in tree fall gap
195,Inpa (DRY),-16,-61,1160,24.3,Zanthoxylum monogynum ,Rutaceae,10,EA,0.667,28.569,0.95,0.454,104,0.084,0.052,0.136,,0.049,0.019,0.068,0.204,4.762,29.402,0.728,FW,3,full overhead light along logging road or in tree fall gap
196,Inpa (DRY),-16,-61,1160,24.3,Spondias mombin,Anacardiaceae,1,DA,0.667,76.701,15.136,6.514,136,0.16,0.227,0.387,,0.05,0.767,0.817,1.204,15.34,20.86,0.159,FW,3,full overhead light along logging road or in tree fall gap
197,Inpa (DRY),-16,-61,1160,24.3,Spondias mombin,Anacardiaceae,2,DA,0.667,65.547,11.104,2.19,235,0.125,0.354,0.479,,0.048,0.641,0.689,1.168,16.387,19.07,0.248,FW,3,full overhead light along logging road or in tree fall gap
198,Inpa (DRY),-16,-61,1160,24.3,Spondias mombin,Anacardiaceae,3,DA,0.667,68.24,9.511,2.659,195,,,,,,,,,34.12,,,FW,3,full overhead light along logging road or in tree fall gap
199,Inpa (DRY),-16,-61,1160,24.3,Spondias mombin,Anacardiaceae,4,DA,0.667,95.138,11.163,3.142,211,0.19,0.359,0.549,,,0.815,0.815,1.364,23.785,19.971,0.252,FW,3,full overhead light along logging road or in tree fall gap
200,Inpa (DRY),-16,-61,1160,24.3,Capparis prisca,Capparaceae,1,EA,0.667,68.634,4.011,0.622,102,0.156,0.095,0.251,,,0.162,0.162,0.413,9.805,22.729,0.45,FW,3,full overhead light along logging road or in tree fall gap
201,Inpa (DRY),-16,-61,1160,24.3,Capparis prisca,Capparaceae,2,EA,0.667,55.045,2.297,0.899,112,0.213,0.170,0.383,,0.014,0.309,0.323,0.706,9.174,38.696,0.983,FW,3,full overhead light along logging road or in tree fall gap
202,Inpa (DRY),-16,-61,1160,24.3,Capparis prisca,Capparaceae,3,EA,0.667,64.289,6.835,1.629,126,0.373,0.331,0.704,,,0.8,0.8,1.504,12.858,58.019,0.668,FW,3,full overhead light along logging road or in tree fall gap
203,Inpa (DRY),-16,-61,1160,24.3,Capparis prisca,Capparaceae,4,EA,0.667,52.42,6.379,0.709,170,0.211,0.320,0.531,,0.037,0.427,0.464,0.995,8.737,40.252,0.613,FW,3,full overhead light along logging road or in tree fall gap
204,Inpa (DRY),-16,-61,1160,24.3,Capparis prisca,Capparaceae,5,EA,0.667,20.92,4.638,1.887,135,0.111,0.208,0.319,,0.007,0.177,0.184,0.503,5.23,53.06,0.487,FW,3,full overhead light along logging road or in tree fall gap
