,,,,,(cm),(cm),(m2),DBH 1.3 m),(m2),(cm2),(m2), (g),(g),(g), (g),(g),(g),(g),(g),(g)
Harvested,plot,treatment,seedling,height (cm),Diameter (base),underbark D,S/wood area (BD),Diameter (cm),S/wood area (1.3),Leaf area ,,stem,branch ,branch dead,leaf,Total,5-Oct,Oct-15,15 - 20,20  + stump
Jun_03,8,,6,,4.4,3.89,0.001188626,,,106991.9728,10.69919728,340.8660506,492.1796106,,857.668,1690.713661,,,,
Jun_03,8,,11,,3.24,2.99,0.000702245,,,33150.43648,3.315043648,151.6459024,120.9335506,,306.81,579.3894531,,,,
Jun_03,9,,19,,3.7,3.167,0.000787848,,,51077.2893,5.10772893,188.6923102,146.8367117,,374.44,709.9690219,,,,
Jun_03,9,,7,,3.53,3.25,0.000829684,,,32530.23323,3.253023323,178.5265413,167.1682495,,256.32,602.0147908,,,,
Oct_03,1,,12,,5.1,,,,,175612.0525,17.56120525,,,,,4127.6,118.9632,120.7392,102.144,500.5728
Oct_03,5,,15,,5,,,,,156513.7725,15.65137725,,,,,3605.3,287.7696,144.144,105.6,825.3408
Oct_03,9,,13,,3.7,,193.5927933,,,63381.79355,6.338179355,,,,,1664.7,80.4096,49.8432,32.592,168.2976
Jan_04,,,,,5.2,,0.019359279,,,107336.8293,10.73368293,712.1,592.7,,1100.365184,2405.165184,101.8101334,52.77270321,37.44850627,209.4626169
Jan_04,,,,,4.1,,,,,63791.33497,6.379133497,409.9,653.8,,798.5733996,1862.2734,47.40923428,46.10667754,8.208022985,103.6298818
Jan_04,,,,,1.995,,,,,16624.26755,1.662426755,133.2,139.1,,195.4463215,467.7463215,14.74953955,6.943776738,3.821471611,23.94405772
Aug_06,zulu,D1,,13.7,20.9,18.5,0.0246,16,0.01622,748700,74.87,63276,15871,,14492,93639,1957.3975,1047.4075,965.6775,2163.4575
Aug_06,zulu,d2,,13.1,19.7,17.6,0.02419,15.7,0.01596,974300,97.43,,,,,,,,,
Aug_06,zulu,d3,,12.7,22.4,19.5,0.02839,17.5,0.01996,850900,85.09,,,,,,,,,
Aug_06,zulu,a4,,12.3,18.2,15.7,0.019359279,12.6,0.00974,447060,44.706,36713,9180,,8352,54245,1010.0475,570.9175,433.0375,2238.2875
Aug_06,zulu,a5,,12.3,16.2,14.3,0.01536,12.9,0.01034,456300,45.63,,,,,,,,,
Aug_06,zulu,a6,,14.1,14.8,13.2,0.01323,12.7,0.01003,462700,46.27,,,,,,,,,
Aug_06,zulu,s7,,13.5,13,11.3,0.00967,10.7,0.00737,366600,36.66,30068,6343,,6513,42924,1057.7275,617.1175,508.2375,517.2775
Aug_06,zulu,s8,,10.8,13,11.3,0.00953,10,0.01032,228200,22.82,,,,,,,,,
Aug_06,zulu,s9,,10.4,11.2,9.5,0.00678,9.6,0.00542,150900,15.09,,,,,,,,,
Aug_07,2,,2,,,,,18.9,,976000,97.6,12339,10416,,16757.4,,909.31,590.34,516.69,17710.29
Aug_07,2,,4,,,,,14.6,,549000,54.9,7274,11869,,8269.69,,885.21,530.07,371.37,9950.69
Aug_07,2,,11,,,,,13.7,,366000,36.6,48311,11737,,8087.2,,374.27,251.53,211.96,10825.77
Jul_08,3,,10,,27.4,24.1,0.026502,22.5,0.016299,926000,92.6,,29850,7640,23201,,1341.62,1008.42,1130.92,10739.82
Jul_08,3,,11,,9.7,7.9,0.00463,9.7,0.003054,155000,15.5,,4590,1480,3088,,464.52,229.32,209.72,1188.74
Jul_08,4,,8,,20.3,18,0.018604,17,0.009495,535000,53.5,,13860,2070,12877,,949.62,758.52,655.62,11248.44
Jul_08,4,,19,,27.4,24.9,0.033944,23.2,0.019362,1060000,106,,43890,4450,25215,,2423.54,1503.32,1194.62,28956.06
Jul_08,8,,12,,12.6,10.8,0.007411,8.8,0.004318,124000,12.4,,2940,2380,3356,,645.82,371.42,381.22,5578.16
Jul_08,8,,20,,22.4,19.3,0.017778,17.6,0.01159,636000,63.6,,17430,5630,15345,,2321.62,1204.42,939.82,16471.84
