lookupVariable,lookupValue,newVariable,newValue,source
species,Trichilia,,Trichilia tuberculata,DBARNECHE
species,Tachigali,,Tachigalia versicolor,DBARNECHE
species,Protium panamensis,,Protium panamense,DBARNECHE
species,Herrania,,Herrania purpurea,DBARNECHE
species,Calophyllum,,Calophyllum longifolium,DBARNECHE
species,Alseis,,Alseis blackiana,DBARNECHE
species,Miconia,,Miconia argentea,DBARNECHE
species,Palicourea,,Palicourea guianensis,DBARNECHE
species,Cecropia,,Cecropia insignis,DBARNECHE
