"var_in","method","unit_in","var_out","notes"
"DBH","","cm","d.bh",""
"Height","","m","h.t",""
"Crown.depth","","m","c.d",""
"Crown.Projection.Area","a","m2","a.cp",""
"Stem.mass","","g","m.st",""
"Total.leaf.mass","","g","m.lf",""
"Total.leaf.area","c","m2","a.lf",""
"Individual.leaf.area","b,1","cm2","lf.sz",""
"SLA","","cm2.g","lf.ma",""
"LMA","","g.m2","lf.ma",""
"LAI","","m2.m2","lai",""
"D0","","mm","d.ba",""
"light.ISF","li4","-","light",""
"light.DSF","li4","-","light",""
"light.GSF","li4","-","light",""
