Topic,Description
Sampling strategy,"Eighty cotton (Gossypium hirsutum L.) plants were grown for 38 days under a treatment combination of ambient or elevated temperature (28/17?C or 32/21?C) and ambient (400 ?L L-1) or elevated [CO2] (640 ?L L-1).  Throughout treatments, plants were watered to full field capacity.   "
Leaf area,All leaves were placed in a leaf area meter.
Stem cross sectional area,
Height,Height was measured as the vertical distance from the pot surface to the highest apex.
Crown area,
Biomass,"All stems, leaves and roots were destructively harvested 38 days after planting, and dried for 1 week at 70degreesC."
traits,
Growth environment,Glasshouse.
Other variables,
