"dataset","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","family","pft","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","growingCondition","status","light","Note","studyName"
"Ishihara0000","Japan-Kyushu Research Center, Forestry and Forest Products Research Institute. Experimental forest compartment no. 9.-Remains",32.82,130.73,"TempF",NA,NA,NA,NA,"Castanopsis cuspidata","Fagaceae","EA",10,2.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.85,NA,NA,0.024,NA,NA,0.206,NA,NA,NA,0.743,1.087,0.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Tadaki, Yoshiya. (1995) Structure and productivity of young Castanopsis cuspidata forests growing in different stand densities [in Japanese]. Bulletin of the Nagoya University Forest 14: 1-24.","Tadaki1995"
"Ishihara0000","Japan-Kyushu Research Center, Forestry and Forest Products Research Institute. Experimental forest compartment no. 9.-Remains",32.82,130.73,"TempF",NA,NA,NA,NA,"Castanopsis cuspidata","Fagaceae","EA",10,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,0.025,NA,NA,0.264,NA,NA,NA,0.601,1.02,0.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Tadaki, Yoshiya. (1995) Structure and productivity of young Castanopsis cuspidata forests growing in different stand densities [in Japanese]. Bulletin of the Nagoya University Forest 14: 1-24.","Tadaki1995"
"Ishihara0000","Japan-Kyushu Research Center, Forestry and Forest Products Research Institute. Experimental forest compartment no. 9.-Remains",32.82,130.73,"TempF",NA,NA,NA,NA,"Castanopsis cuspidata","Fagaceae","EA",10,5.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.55,NA,NA,0.037,NA,NA,0.47,NA,NA,NA,1.696,2.517,0.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Tadaki, Yoshiya. (1995) Structure and productivity of young Castanopsis cuspidata forests growing in different stand densities [in Japanese]. Bulletin of the Nagoya University Forest 14: 1-24.","Tadaki1995"
"Ishihara0000","Japan-Kyushu Research Center, Forestry and Forest Products Research Institute. Experimental forest compartment no. 9.-Remains",32.82,130.73,"TempF",NA,NA,NA,NA,"Castanopsis cuspidata","Fagaceae","EA",9,4.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.15,NA,NA,0.03,NA,NA,0.372,NA,NA,NA,1.08,1.675,0.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Tadaki, Yoshiya. (1995) Structure and productivity of young Castanopsis cuspidata forests growing in different stand densities [in Japanese]. Bulletin of the Nagoya University Forest 14: 1-24.","Tadaki1995"
"Ishihara0000","Japan-Kyushu Research Center, Forestry and Forest Products Research Institute. Experimental forest compartment no. 9.-Remains",32.82,130.73,"TempF",NA,NA,NA,NA,"Castanopsis cuspidata","Fagaceae","EA",8,2.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15,NA,NA,0.019,NA,NA,0.174,NA,NA,NA,0.396,0.703,0.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Tadaki, Yoshiya. (1995) Structure and productivity of young Castanopsis cuspidata forests growing in different stand densities [in Japanese]. Bulletin of the Nagoya University Forest 14: 1-24.","Tadaki1995"
"Ishihara0000","Japan-Kyushu Research Center, Forestry and Forest Products Research Institute. Experimental forest compartment no. 9.-Remains",32.82,130.73,"TempF",NA,NA,NA,NA,"Castanopsis cuspidata","Fagaceae","EA",10,1.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,NA,0.018,NA,NA,0.136,NA,NA,NA,0.339,0.57,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Tadaki, Yoshiya. (1995) Structure and productivity of young Castanopsis cuspidata forests growing in different stand densities [in Japanese]. Bulletin of the Nagoya University Forest 14: 1-24.","Tadaki1995"
"Ishihara0000","Japan-Kyushu Research Center, Forestry and Forest Products Research Institute. Experimental forest compartment no. 9.-Remains",32.82,130.73,"TempF",NA,NA,NA,NA,"Castanopsis cuspidata","Fagaceae","EA",5,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,0.005,NA,NA,0.013,NA,NA,NA,0.033,0.056,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Tadaki, Yoshiya. (1995) Structure and productivity of young Castanopsis cuspidata forests growing in different stand densities [in Japanese]. Bulletin of the Nagoya University Forest 14: 1-24.","Tadaki1995"
"Ishihara0000","Japan-Kyushu Research Center, Forestry and Forest Products Research Institute. Experimental forest compartment no. 9.-Remains",32.82,130.73,"TempF",NA,NA,NA,NA,"Castanopsis cuspidata","Fagaceae","EA",8,2.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,0.029,NA,NA,0.222,NA,NA,NA,1.013,1.435,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Tadaki, Yoshiya. (1995) Structure and productivity of young Castanopsis cuspidata forests growing in different stand densities [in Japanese]. Bulletin of the Nagoya University Forest 14: 1-24.","Tadaki1995"
"Ishihara0000","Japan-Kyushu Research Center, Forestry and Forest Products Research Institute. Experimental forest compartment no. 9.-Remains",32.82,130.73,"TempF",NA,NA,NA,NA,"Castanopsis cuspidata","Fagaceae","EA",8,0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,NA,NA,0.016,NA,NA,0.062,NA,NA,NA,0.293,0.397,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Tadaki, Yoshiya. (1995) Structure and productivity of young Castanopsis cuspidata forests growing in different stand densities [in Japanese]. Bulletin of the Nagoya University Forest 14: 1-24.","Tadaki1995"
"Ishihara0000","Japan-Kyushu Research Center, Forestry and Forest Products Research Institute. Experimental forest compartment no. 9.-Remains",32.82,130.73,"TempF",NA,NA,NA,NA,"Castanopsis cuspidata","Fagaceae","EA",8,6.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,0.038,NA,NA,0.518,NA,NA,NA,1.873,2.85,0.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Tadaki, Yoshiya. (1995) Structure and productivity of young Castanopsis cuspidata forests growing in different stand densities [in Japanese]. Bulletin of the Nagoya University Forest 14: 1-24.","Tadaki1995"
