Site,Tree No,Species,Stump weight (kg),Stump oven-dry weight (kg),Bark weight (kg),Bark oven-dry weight (kg),Wood weight (kg),Wood oven-dry weight (kg),Tree weight (kg),Tree oven-dry weight (kg)
Flat Rock SF,46,SPG,2.7,1.6,10,3.8,87.7,75,44.4,49.8
Flat Rock SF,149,SPG,4.4,2.7,10.1,3.8,88.4,73.9,43.8,50.2
Flat Rock SF,50,SPG,3.3,2,10.6,4,93.3,79.4,47,53
Flat Rock SF,41,SPG,4.1,2.4,11.9,4.5,104.1,88.1,52.2,59.1
Flat Rock SF,20,SPG,2.4,1.4,14,5.3,122.4,106,62.8,69.5
Flat Rock SF,114,SPG,4.6,2.7,15,5.7,131.6,112,66.3,74.7
Flat Rock SF,26,SPG,6.6,3.9,17.6,6.7,154.6,130.4,77.2,87.8
Flat Rock SF,32,SPG,5.7,3.4,18.4,7,161.7,137.6,81.4,91.8
Flat Rock SF,38,SPG,7.9,4.7,19.9,7.6,174.9,147.1,87.1,99.3
Flat Rock SF,14,SPG,8.5,5.1,20.8,7.9,182.5,153.2,90.7,103.7
Flat Rock SF,140,SPG,7.6,4.5,20.8,7.9,182.6,154.2,91.3,103.7
Flat Rock SF,83,SPG,7.6,4.5,24.9,9.5,218.6,186.1,110.2,124.2
Flat Rock SF,172,SPG,12.6,7.5,27.2,10.3,238.6,198.8,117.7,135.5
Flat Rock SF,37,SPG,11.8,7,27.3,10.4,239.8,200.7,118.8,136.2
Flat Rock SF,191,SPG,9.8,5.8,32.1,12.2,281.8,239.9,142,160
Flat Rock SF,89,SPG,38.6,23,75.9,28.8,665.6,551.1,326.3,378.1
Flat Rock SF,183,SPG,51.5,30.7,78.8,30,691.5,561.2,332.2,392.9
Flat Rock SF,42,SPG,44.9,26.8,172.1,65.4,1509.3,1292.3,765.1,857.3
Flat Rock SF,11,SPG,83.1,49.6,191.6,72.8,1680.5,1405.8,832.2,954.7
Flat Rock SF,88,SPG,78.9,47.1,208.7,79.3,1830.5,1542.9,913.4,1039.8
Flat Rock SF,164,SPG,220.3,131.5,258,98,2263.3,1785,1056.7,1286.3
Flat Rock SF,45,SPG,279.6,166.9,260.5,99,2285,1744.9,1033,1298.9
Flat Rock SF,13,SPG,97.9,58.5,264.1,100.4,2316.9,1954.9,1157.3,1316.1
Flat Rock SF,120,SPG,81.7,48.8,273.2,103.8,2396.5,2041.6,1208.6,1361.2
Flat Rock SF,187,SPG,90.6,54.1,280.6,106.6,2461,2089.8,1237.2,1397.9
Flat Rock SF,86,SPG,55.4,33.1,281.9,107.1,2472.6,2135.3,1264.1,1404.3
Flat Rock SF,154,SPG,82,48.9,288.6,109.7,2531.5,2160.9,1279.3,1437.8
Flat Rock SF,158,SPG,89,53.2,316.6,120.3,2777,2371.4,1403.9,1577.3
Flat Rock SF,16,SPG,110.3,65.8,318.9,121.2,2797.3,2368.1,1401.9,1588.9
Flat Rock SF,184,SPG,145,86.6,329.5,125.2,2890,2415.5,1430,1641.8
Flat Rock SF,115,SPG,114,68.1,359.6,136.6,3154.2,2680.6,1586.9,1791.6
Flat Rock SF,90,SPG,120.6,72,422.9,160.7,3709.8,3166.3,1874.4,2107.1
Flat Rock SF,81,SPG,115.6,69,440.6,167.4,3865.2,3309,1958.9,2195.3
Flat Rock SF,182,SPG,183.7,109.7,448.1,170.3,3930.3,3298.5,1952.7,2232.7
Flat Rock SF,85,SPG,109.8,65.6,459.6,174.7,4031.8,3462.4,2049.7,2289.9
Flat Rock SF,54,SPG,158.4,94.6,461.3,175.3,4046.4,3426.7,2028.6,2298.5
Flat Rock SF,40,SPG,137.7,82.2,464.4,176.5,4073.5,3471.4,2055.1,2313.7
Flat Rock SF,77,SPG,98.2,58.6,478.6,181.9,4198.1,3621.3,2143.8,2384.3
Flat Rock SF,116,SPG,145.4,86.8,493.9,187.7,4332.8,3693.5,2186.5,2461.1
Flat Rock SF,121,SPG,194.2,115.9,497.1,188.9,4360.6,3669.3,2172.2,2477.1
Flat Rock SF,72,SPG,134.9,80.6,507.4,192.8,4450.9,3808.6,2254.7,2528.1
Flat Rock SF,178,SPG,174.4,104.1,646.9,245.8,5674.4,4853.1,2873,3223
Flat Rock SF,92,SPG,113.1,67.5,662,251.6,5806.9,5031.8,2978.8,3297.9
Flat Rock SF,76,SPG,138.9,82.9,692.3,263.1,6072.7,5241.5,3103,3449
Flat Rock SF,117,SPG,294.2,175.6,816.8,310.4,7164.6,6053.6,3583.8,4069.8
Flat Rock SF,17,SPG,210,125.4,856.1,325.3,7509.6,6443.5,3814.6,4265.2
Flat Rock SF,35,SPG,138.2,82.5,895.8,340.4,7858.2,6824.2,4039.9,4462.8
Flat Rock SF,12,SPG,267.2,159.5,998.7,379.5,8760.8,7494.9,4437,4976
Flat Rock SF,52,SPG,210.3,125.5,1001.9,380.7,8788.7,7576.5,4485.3,4991.6
Flat Rock SF,159,SPG,374,223.3,1034.8,393.2,9077.6,7668.8,4539.9,5156.4
Flat Rock SF,96,SPG,333.8,199.3,1037.4,394.2,9099.6,7728.4,4575.2,5168.7
Flat Rock SF,181,SPG,381.9,228,1060.7,403.1,9304.5,7861.9,4654.2,5285.3
Flat Rock SF,141,SPG,513.8,306.7,1141.1,433.6,10009.8,8354.9,4946.1,5686.4
Flat Rock SF,167,SPG,365.1,217.9,1167.4,443.6,10240.3,8707.8,5155,5816.6
Flat Rock SF,161,SPG,1641.7,980.1,2358.1,896.1,20685.5,16685.7,9877.9,11754.1
Flat Rock SF,137,WAT,4.4,3,4.8,2.6,48.4,39.2,26.7,32.3
Flat Rock SF,186,WAT,3.6,2.4,7.1,3.8,70.6,59.9,40.9,47.2
Flat Rock SF,190,WAT,3,2,7.8,4.2,78,67.2,45.9,52.1
Flat Rock SF,84,WAT,3.3,2.2,8.3,4.5,83.1,71.5,48.8,55.6
Flat Rock SF,119,WAT,5.4,3.6,8.6,4.7,86.4,72.4,49.4,57.7
Flat Rock SF,118,WAT,7.4,5,8.8,4.8,88.4,72.2,49.3,59
Flat Rock SF,113,WAT,3.7,2.5,9,4.8,89.7,77,52.6,60
Flat Rock SF,179,WAT,2.7,1.8,10.3,5.5,102.7,89.7,61.3,68.7
Flat Rock SF,157,WAT,2.4,1.6,11,6,110.4,97,66.2,73.8
Flat Rock SF,10,WAT,5.9,4,11.2,6,111.9,94.8,64.8,74.8
Flat Rock SF,95,WAT,4.6,3.1,13.7,7.4,136.6,118.3,80.8,91.3
Flat Rock SF,165,WAT,5.9,4,13.7,7.4,136.9,117.3,80.1,91.5
Flat Rock SF,21,WAT,6.6,4.5,14.2,7.7,142.2,121.4,82.9,95
Flat Rock SF,94,WAT,5.3,3.6,14.5,7.8,145.3,125.5,85.7,97.1
Flat Rock SF,87,WAT,7.7,5.2,14.9,8,148.7,126.1,86.1,99.3
Flat Rock SF,166,WAT,7.2,4.9,16.5,8.9,165.2,141.5,96.6,110.4
Flat Rock SF,148,WAT,6.4,4.3,17.6,9.5,176.4,152.4,104.1,117.9
Flat Rock SF,124,WAT,5.6,3.8,22.1,11.9,220.6,192.9,131.8,147.5
Flat Rock SF,135,WAT,6.7,4.5,22.1,11.9,220.7,191.9,131.1,147.5
Flat Rock SF,163,WAT,22.6,15.2,46.3,25,462.6,393.7,268.9,309.1
Flat Rock SF,123,WAT,69.3,46.6,113,61,1130.3,948,647.5,755.1
Flat Rock SF,131,WSB,3.7,2.2,8.7,5.5,86.7,74.3,44.6,52.4
Flat Rock SF,122,WSB,15,9,28.5,18.2,285,241.5,144.9,172.2
Flat Rock SF,80,WSB,89,53.4,279.1,178.6,2791.2,2423.1,1453.8,1685.9
