Topic,Description
Sampling strategy,"At the establishment of the plots all trees above 10 cm DBH (including dead trees) were numbered, identified and their DBH measured. The tree was harvested using a chainsaw. The stumps were numbered with the corresponding tree number and the height of each stump was measured. Most of the trees were snigged to the logging dump by a skidder or excavator; large trees had their crown component cut in the forest and each component snigged to the logging dump separately. A visual assessment was made to estimate any losses (crown, branches and bark) that may have occurred due to transport of the trees from the forest to the logging dump and their handling. The length, and butt, top and centre diameters of each log were measured. Samples were cut from the log products, crown and bark for laboratory analysis (moisture content, density and sapwood content)."
Biomass,"Trees weighing less than five tonnes were weighed as a whole. Trees heavier than five tonnes required further cutting before their weight was determined. The commercial log(s) was debarked, graded and weighed. The biomass was weighed on weigh bars mounted on top of a trailer especially designed and built for the CRCGA research. An excavator was used to lift the biomass components onto the trailer. The trailer is equipped with a heavy upper frame and each corner is supported by a two-speed drop leg. The nominal dimensions of the trailer are: length load space: 2.5 m; length overall: 4.1m; width load space: 1.8 m; width overall: 1.8m. Both weigh bars are equipped with two load cells with a combined capacity of 5 tonnes. Weight increments of 0.2 kg are displayed on a digital display. The weight of stumps was determined by multiplying their volume by the green density of the ‘butt' section of the respective tree. The volume of the stumps was determined assuming, for practical reasons, they approached the form of the cylinder (Husch et al 1972). The weight of trees that had a component of bark, crown or branches missing was adjusted based on a visual assessment of the loss."
Growth environment,"Field, wild."
