Topic, Description
Sampling strategy, "From each plot, nine to ten undamaged trees were selected for intensive crown measurements."
Leaf area, "Unknown"
Stem cross sectional area,"From diameter at breast height to the nearest 1mm"
Height,"Total tree height to the nearest 0.02m"
Biomass,"Unknown"
traits,"Unknown"
Growth environment,"Managed plantations established by the Stand Management Cooperative."

