treenr,habitat,soiltype,height,dbh,hcb,strata,socialclass,dbhinc5,heightgrowth3,ltyrgr,sapbh,la,sapcb,sapcb2,site
4,pse/vac,,5.77,3.9,1.82,C,CD,,,,54.6288,22.41,193.83377,193.83377,Montana
18,,,6.55,4.3,1.77,C,CD,8.5,95,30,55.6376,46.57,160.6013338,160.6013338,Montana
13,,,8.05,4.9,3.7,B,I,13,138,51,65.9118,52.53,147.4070338,147.4070338,Montana
21,pse/sya,,8.33,4.8,1.95,C,I,3.625,71,17,68.6027,30.84,51.65576304,51.65576304,Montana
11,pse/sya,,6.53,5.8,2.6,C,CD,5,75,35,69.7069,30.06,42.42792094,42.42792094,Montana
35,,,11.98,4.9,6.83,C,I,3.25,35,14,78.8775,18.56,21.23654,30.62463824,Montana
10,pse/sya,,7.44,5.7,2.12,C,CD,9,101,31,96.3957,55.44,61.51253344,61.51253344,Montana
33,pse/sya/caru,,7.7,5.5,3.1,C,CD,6,100,28,100.9393,36.42,55.41606,55.41606,Montana
15,,,9.63,6.2,2.8,C,CD,8,107,27,107.9922,52.82,343.0596538,343.0596538,Montana
28,pse/sya,,10.13,6,3.6,C,I,2.78,47,15,124.1792,38.32,95.030375,95.030375,Montana
17,,,11.1,7.1,4.6,C,CD,3.8,65,30,130.7059,49.11,363.0395938,480.7143174,Montana
38,pse/sya,,8.15,5.6,2.04,B,I,12,135,33,150.1366,39.37,95.030375,95.030375,Montana
26,pse/sya,,14.48,6.7,5.4,B,CD,1.6,44,14,156.2862,37.03,56.74334375,77.38035248,Montana
36,,,12.34,6.7,4.65,B,I,3.5,46,7,157.3937,34.51,15.20486,22.6820617,Montana
29,pse/sya/caru,,15,7.4,7.05,B,CD,5,126,43,160.5902,60.51,93.31040375,125.5322228,Montana
32,pse/sya/caru,,14.1,7.3,5.65,C,I,5.5,58,18,170.4941,60.92,116.895215,156.5889381,Montana
23,,,9.24,6.7,2.15,C,CD,14.13,135,40,173.9813,92.53,147.9455065,147.9455065,Montana
19,pse/sya,,12.93,7.1,4.2,B,CD,4.35,101,24,189.9775,89.61,119.709776,119.709776,Montana
27,pse/sya,,15.4,7.9,5.05,B,CD,5.55,60,20,200.1821,81.77,130.6942538,174.7596503,Montana
12,,,11.23,7.8,3.05,B,I,12.5,160,58,205.5995,121.01,47.782215,47.782215,Montana
39,pse/sya,,13.04,8.1,4.7,B,I,7,175,45,209.6697,66.76,134.7782038,180.1374365,Montana
30,pse/sya/caru,,16.93,8.5,9.93,B,CD,4.5,48,18,249.3794,64.2,105.68006,141.8207098,Montana
20,pse/sya,,15.67,8.9,4.55,A,CD,5.45,50,12,285.6456,90.38,172.2610895,172.2610895,Montana
16,,,15,9.8,5.65,B,CD,11,165,75,300.2732,134.49,606.969215,801.923282,Montana
53,psme/syal/syal,,21.47,11.2,7.89,B,I,6,39,12,308.2292,144.89,,,Montana
48,,,17.8,9.2,8.2,A,D,8,94,24,313.1948,74.63,158.363015,211.1941518,Montana
52,psme/syal/syal,,20.33,12.1,9,B,C,,63,33,431.5209,135.1,295.583735,399.19,Montana
9,pse/sya,,20.73,13.2,7.13,A,CD,10,95,23,573.4781,241.4,239.4228254,317.9345206,Montana
51,psme/syal/syal,,22.07,14.5,5.1,A,D,,75,15,898.8403,370.06,754.745375,1007.95,Montana
122,Pp/Bp/Ng,clay,1.75,0.75,0.62,D,S,4,20,5,0.8796452,1.9062,,,Oregon
114,Pp/pg,,1.66,0.65,0.85,D,C,1,8,3,1.295905875,1.9169,,,Oregon
152,psme/cage,ash over basalt,1.8,0.7,0.4,C,CD,,25,8,1.939931825,1.3979,,,Oregon
156,Pp/Bb-menz/Ng,pumice,2.16,0.8,0.62,C,I,,10,4,2.2619448,1.2654,,,Oregon
141,Pb/Bb/F,pumice,1.81,0.7,0.44,D,CD,5,23,5,2.30906865,2.1378,,,Oregon
148,Psme/pg,clay,2.8,0.9,1,D,S,1,7,2,2.803869075,0.9262,,,Oregon
135,Pp/Bb/Ng,pumice,2.85,1.3,0.94,D,S,2.75,22,6,4.877318475,2.0887,,,Oregon
154,Pp/Bb-menz/Ng,pumice,2.21,1.3,0.63,C,CD,,37,15,4.877318475,3.9783,,,Oregon
120,Pp/Bb-menz/Ng,pumice,2.37,1.2,0.83,D,S,0,16,4,5.5291984,3.194,,,Oregon
151,psme/cage,ash over basalt,2.21,1.1,0.32,C,CD,,42,12,5.599884175,2.1369,,,Oregon
116,Pp/Bb/Ng,pumice,3.55,1.3,1.37,D,I,0,27,11,6.14180845,1.3249,,,Oregon
140,Pb/Bb/F,pumice,2.51,1.45,0.7,D,CD,3,19,5,7.0371616,8.1928,,,Oregon
145,Pp/pg,clay,2.9,1.5,1.68,C,I,3.75,31,11,8.5765407,2.176,,,Oregon
160,Psme/pg,clay,3.47,1.8,1.31,D,I,,30,8,10.17089763,6.028,,,Oregon
129,Pp/Bb/F,Ash over Basalt,2.36,1.75,0.76,D,CD,4,20,4,10.95629513,4.5246,,,Oregon
119,Pp/Bb-menz/Ng,pumice,4.49,3.3,1.43,D,CD,0,26,12,11.16049848,15.0858,,,Oregon
104,Pp/Bb/Ng,pumice,3.96,2,1.57,C,I,2,30,7,13.3517575,2.2643,,,Oregon
131,Pp/Bb/Ng,pumice,2.7,2.1,0.5,D,I,9.5,46,15,15.13460983,13.4672,,,Oregon
113,psme/pg,,3.09,2.5,1.2,D,C,2.5,11,4,18.14268225,11.2546,,,Oregon
150,psme/cage,ash over basalt,3.7,2.5,0.8,C,I,,20,6,22.619448,8.041,,,Oregon
106,Pp/Bb/Ng,,4.29,3.1,2.6,C,I,2.5,13,6,22.6822798,3.8138,,,Oregon
142,Pb/Bb/F,pumice,3.34,2.5,1.08,C,CD,6,43,9,23.0906865,10.9808,,,Oregon
133,Pp/Bb/Ng,pumice,3.59,2.5,1,C,I,6.25,54,17,25.3212154,8.9816,,,Oregon
111,psme/cage,,3.46,3.1,1.08,D,CD,8.5,39,10,25.36833925,12.989,,,Oregon
147,Psme/pg,clay,3.89,2,1.27,C,I,2.5,27,11,27.645992,5.6342,,,Oregon
144,Pp/pg,clay,5.35,2.8,1.76,B,CD,4.5,55,10,28.07796063,11.9903,,,Oregon
109,Pp/Bb/F,,14.13,2.9,2.06,C,I,3.5,25,5,29.9079368,5.8701,,,Oregon
137,Pp/Bb/Ng,pumice,4.97,3,0.98,C,CD,9.5,88,14,31.3844841,17.207,,,Oregon
130,Pp/Bb/F,Ash over Basalt,3.58,2.8,1.66,D,CD,6.5,27,4,36.26180258,8.4783,,,Oregon
136,Pp/Bb/Ng,pumice,4.1,3.1,1.01,C,I,7,60,18,36.5052758,21.0187,,,Oregon
125,Pp/Bp/Ng,clay,5.4,3.6,2.25,C,I,2.5,28,5,41.39044825,11.1881,,,Oregon
157,Pp/Bb-menz/Ng,pumice,8.78,4.5,4.18,B,I,,19,6,46.181373,15.6679,,,Oregon
102,Pp/Bb/F,clay,4.1,3.9,1.02,C,CD,5.5,43,10,47.00604038,16.874,,,Oregon
139,Pb/Bb/F,pumice,5.7,2.8,2,C,I,2,35,10,51.1450852,10.434,,,Oregon
124,Pp/Bp/Ng,clay,11.68,4.8,6.47,C,I,3.25,54,9,62.83965398,11.8606,,,Oregon
161,Psme/pg,clay,6.65,4.7,1.87,C,I,,46,19,68.8950687,24.1791,,,Oregon
105,Pp/Bb/Ng,,7.13,5.3,2.04,C,I,5,50,13,77.283114,18.6691,,,Oregon
