"dataset","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","family","pft","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","growingCondition","status","light","Note","studyName"
"Ishihara0000","Japan-Nagoya Experimental Forest of Nagoya Univiersity-",35,137,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",12,5.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00118237,NA,NA,5.7,2.85,NA,0.0477,NA,NA,1.05,NA,NA,NA,2.73,4.249,0.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Nagoya Experimental Forest of Nagoya Univiersity-",35,137,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",12,3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001086865,NA,NA,4.67,2.1,NA,0.0528,NA,NA,0.567,NA,NA,NA,1.85,2.697,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Nagoya Experimental Forest of Nagoya Univiersity-",35,137,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",15,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000876159,NA,NA,7.55,4.55,NA,0.0497,NA,NA,0.653,NA,NA,NA,3.95,4.937,0.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Nagoya Experimental Forest of Nagoya Univiersity-",35,137,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",16,7.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003216991,NA,NA,7.25,2.65,NA,0.0735,NA,NA,1.42,NA,NA,NA,7.79,10.41,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Nagoya Experimental Forest of Nagoya Univiersity-",35,137,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",16,6.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001110365,NA,NA,5.94,3.24,NA,0.0522,NA,NA,1.19,NA,NA,NA,3.42,4.943,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",16,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000706858,NA,NA,4.73,1.66,NA,0.0347,NA,NA,0.338,NA,NA,NA,1.15,1.672,0.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",16,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001346141,NA,NA,4.75,1.25,NA,0.0398,NA,NA,0.776,NA,NA,NA,1.88,2.927,0.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",16,3.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001158117,NA,NA,5.84,2.41,NA,0.0493,NA,NA,0.751,NA,NA,NA,2.6,3.674,0.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",16,5.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001940004,NA,NA,5.39,1.3,NA,0.0497,NA,NA,1.16,NA,NA,NA,2.73,4.427,0.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",16,8.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002140084,NA,NA,6.3,2.25,NA,0.0598,NA,NA,1.96,NA,NA,NA,4.36,6.792,0.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
