,,,cm,m,m,m2,g,g,g,m2,cm2,cm,cm2/g,g/m2,m2/m2,,,,mm,,,,,,,,
Source,species,Tree.No.,DBH,Height,Crown.depth,Crown.Projection.Area,Stem.mass,Total.leaf.mass,Individual.leaf.mass,Total.leaf.area,Individual.leaf.area,Stem.diameter.at.10.percent.Height,SLA,LMA,LAI,light.ISF,light.DSF,light.GSF,D0,pft,growingCondition,location,latitude,longitude,vegetation,map,mat
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,70,,89,4,0.135088484,11.92102844,2.759351284,0.34491891,798.9284531,99.86605664,0.64498062,289.5348837,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,71,,125,10,0.109955743,16.73775084,3.794869096,0.474358637,600.6878319,75.08597899,0.649923072,158.2894737,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,72,,146,12,0.196349541,19.416869,7.395197646,0.739519765,1152.061782,115.2061782,0.649923072,155.785124,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,73,,90,6,0.123150432,12.22900124,2.714518039,0.452419673,662.9456278,110.490938,0.65,244.2222222,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,74,,116,10,0.172787596,16.03487332,3.154592326,0.315459233,1176.032019,117.6032019,0.6596969,372.8,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,75,,144,6,0.165876092,19.73463496,3.024710371,0.33607893,1052.794352,116.9771502,0.66,348.0645162,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,76,,127,3,0.177185826,,,,,,0.66,,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,77,,127,5,0.169803083,17.7315145,5.589170193,0.62101891,989.4577857,109.939754,0.664529909,177.03125,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,78,,96,6,0.255175863,13.78340664,6.699804921,0.558317077,1408.929564,117.410797,0.67,210.2941176,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,79,,122,6,0.173180295,17.57296369,2.793018408,0.310335379,928.0641566,103.1182396,0.674833313,332.28,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,80,,150,4,0.169803083,21.41101375,4.157573216,0.46195258,1011.953321,112.4392579,0.674833313,243.4000001,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,81,,93,3,0.113411495,13.75551628,0.989220292,0.247305073,196.553771,49.13844275,0.68,198.6956521,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,82,,129,10,0.19242255,20.15152745,5.153994423,0.468544948,1300.992488,118.2720444,0.704982269,252.4241164,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,83,,120,8,0.19226547,19.06198875,5.73462489,0.521329535,1205.243197,109.5675634,0.71,210.1694915,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,84,,89,5,0.180248878,14.87538044,4.032006895,0.504000862,753.2812881,94.16016102,0.72415468,186.8253968,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,85,,104,4,0.083566365,17.74215478,1.842588882,0.263226983,350.727263,50.10389471,0.734574707,190.3448276,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,86,,138,30,0.275674755,23.26841888,8.548376801,0.401666805,1823.24969,85.66993425,0.734846923,213.2860697,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,87,,144,12,0.154566359,24.87801384,4.638253843,0.57978173,867.4226963,108.427837,0.744983221,187.0149254,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,88,,114,10,0.130768794,20.15170776,5.165041104,0.469549191,889.836906,80.89426418,0.74993333,172.2807018,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,89,,108,20,0.229728963,19.6274154,3.665374387,0.209781679,968.0620293,55.40543912,0.759934208,264.11,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,90,,133,6,0.28242918,23.95483095,6.754883147,0.750542572,1491.951041,165.7723378,0.76,220.87,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,91,,79,15,0.216298654,14.69285503,4.283586583,0.428358658,1198.305888,119.8305888,0.763675324,279.7435898,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,92,,120,35,0.271433605,21.98424992,8.122426727,0.437960596,1544.530207,83.28094455,0.76498366,190.15625,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,93,,141,6,0.208130513,25.97184268,9.546387054,1.060709673,1419.397022,157.7107803,0.77,148.6842105,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,94,,128,8,0.258710155,23.96389427,3.934008337,0.491751042,1540.715025,192.5893781,0.774854825,391.64,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,95,,154,20,0.259652633,29.3084928,12.11104658,0.931618967,1866.343331,143.5648716,0.784856675,154.102564,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,96,,147,9,0.232792016,28.72926448,8.181356787,0.681779732,1579.781037,131.6484197,0.794984277,193.0952381,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,97,,171,3,0.220539804,33.19861645,2.874894333,0.41069919,1065.185208,152.1693154,0.794984277,370.5128205,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,98,,75,6,0.046495571,,,,,,0.809753049,,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,99,,131,5,0.125663706,26.66561791,1.398160029,0.233026672,491.7328822,81.95548037,0.809938269,351.7,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,100,,112,3,0.113411495,22.95545564,3.197743333,0.399717917,513.1862285,64.14827856,0.809938269,160.483871,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,101,,125,3,0.176243348,25.50043106,2.25087952,0.28135994,1098.811856,137.3514819,0.81,488.1700003,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,102,,132,10,0.259181394,27.181129,6.046990822,0.604699082,1592.634065,159.2634065,0.814984662,263.3762994,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,103,,163,15,0.357356164,34.03026458,6.899824622,0.627256784,2461.805351,223.8004864,0.824863625,356.7924528,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,104,,121,5,0.180955737,25.60152798,6.098561439,0.677617938,1120.433381,124.4925978,0.824984848,183.7209303,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,105,,124,,,27.90654568,1.500254981,0.10716107,772.0462157,55.14615826,0.852525659,514.61,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,106,,147,17,0.200119452,32.96614151,5.122028772,0.301237905,1534.519383,90.2484982,0.854283325,299.5921053,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,107,,150,2,0.07257079,34.36603954,1.147710006,0.229542001,182.3583677,36.47167353,0.864291617,158.888889,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,108,,164,5,0.194386045,37.89595538,3.282409088,0.468915584,816.1515478,116.5930783,0.869942527,248.6440678,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,109,,150,7,0.113097336,35.17494383,2.805687999,0.400812571,757.5357598,108.2193943,0.874871419,270,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,110,,155,10,0.11561061,36.68497051,3.647419588,0.227963724,986.9552662,61.68470414,0.879772698,270.59,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,111,,157,8,0.180877197,38.71399351,7.177801215,0.717780121,1204.275537,120.4275537,0.899110672,167.7777778,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,112,,166,7,0.212293124,43.51439376,10.5674943,0.9606813,1522.146149,138.3769226,0.929516003,144.0404041,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,113,,212,7,0.502654825,55.03381455,6.088220026,0.761027503,2981.463111,372.6828889,0.93,489.7101449,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,114,,150,40,0.46181412,39.8888372,6.91021143,0.220212904,2476.965287,78.93531553,0.93434469,358.45,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,115,,174,42,1.357010947,46.91661469,16.57987922,0.536052847,4641.371389,150.062634,0.944351629,279.94,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,116,,162,6,0.173415914,43.87460206,2.845800401,0.199359282,984.3550619,68.95786433,0.944986772,345.8974359,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,117,,171,12,0.229022104,46.20228622,11.44446913,1.040406284,1680.963625,152.814875,0.944986772,146.8799999,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,118,,140,23,0.232792016,38.53175785,7.217517956,0.443752234,1485.651793,91.34183054,0.94978945,205.8397086,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,119,,163,40,0.32515484,44.57757512,8.638508837,0.309646835,3131.200298,112.2376881,0.949947367,362.47,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,120,,179,12,0.368508818,48.75247349,15.33902859,1.278252382,2699.436622,224.9530519,0.949947367,175.9848485,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,121,,171,4,0.141842908,48.08030083,3.872340835,0.484042604,615.2719326,76.90899158,0.964883413,158.8888889,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,122,,178,20,0.477836243,49.97069048,16.20851733,1.473501576,3318.996561,301.7269601,0.964987047,204.7686715,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,123,,213,50,0.373064128,59.89338966,8.789081043,0.439497055,2782.512996,139.1392641,0.969793793,316.5874774,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,124,,230,4,0.273082941,66.38764215,4.802463923,0.60030799,1639.698397,204.9622996,0.98488578,341.4285715,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,125,,99,5,0.441079609,29.94503781,15.18363598,1.518363598,2522.819517,252.2819517,0.989949494,166.1538462,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,126,,133,4,0.138465696,40.82624054,4.431327307,0.492369701,788.0945179,87.56605755,1.004390362,177.8461538,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,127,,165,65,0.311017673,52.64662623,15.97337287,0.7439462,2728.252086,127.0660109,1.03,170.8,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,128,,156,5,0.272140464,50.36078371,11.82470425,1.182470425,1853.91517,185.391517,1.034987923,156.7832168,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,129,,207,15,0.412334036,66.61272557,20.66759903,2.066759903,3229.312348,322.9312348,1.04,156.25,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,130,,174,14,0.18378317,56.91049926,9.053585467,0.523547459,1918.364225,110.9344711,1.044700914,211.89,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,131,,167,13,0.289811922,57.27662424,11.42173872,0.24887251,2469.431498,53.80736065,1.06995327,216.2045165,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,132,,152,5,0.357356164,52.352222,11.93496976,1.084997251,2140.558928,194.5962662,1.07,179.3518518,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,133,,198,20,0.465348412,67.99967015,15.87960374,1.323300311,4118.375229,343.1979358,1.074895344,259.3499999,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,134,,113,50,0.394426958,40.01883647,14.07532868,0.58200216,4082.575961,168.810838,1.078332045,290.0519095,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,135,,173,12,0.41037054,61.37827565,12.43849762,0.591506256,2838.838312,134.9994728,1.089954127,228.23,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,136,,215,8,0.412334036,78.08263091,10.97324392,1.097324392,2583.430815,258.3430815,1.108873302,235.4299999,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,137,,211,20,0.367173641,79.50553065,9.725415378,0.455477043,2348.785068,110.0022605,1.129955751,241.51,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,138,,217,10,0.331830724,82.28942078,8.885963885,0.888596388,2181.441557,218.1441557,1.134460224,245.4929578,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,139,,206,22,0.303870549,78.35483695,15.71136038,0.49994826,2074.822832,66.02254931,1.134900877,132.058764,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,140,,203,12,0.301200196,77.92292961,16.93266774,1.302512903,2500.687806,192.3606005,1.13995614,147.6842187,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,141,,187,10,0.381703507,76.90930077,15.85243972,0.831269284,2540.141541,133.19979,1.179618582,160.2366315,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,142,,220,12,0.502654825,92.80516594,15.04233401,1.36748491,3448.605496,313.5095905,1.199833322,229.2600001,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,143,,161,40,0.549778714,70.51743253,14.43391551,0.750199041,4513.196703,234.5722361,1.214907404,312.6800001,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,144,,218,50,0.618501054,95.68545173,19.50276614,0.620058511,4330.799188,137.6906678,1.224744871,222.060766,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,145,,201,15,0.378876074,88.56132824,11.00393734,0.916994778,3082.422926,256.8685772,1.22490816,280.1199998,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,146,,219,74,0.41469023,102.1609539,22.39253615,0.600286479,3315.390147,88.87710899,1.264515718,148.0578227,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,147,,279,28,0.53014376,130.7753486,23.83912661,1.83377897,3912.613463,300.9702664,1.274754878,164.1257051,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,148,,228,30,0.549778714,111.1053189,19.51767784,0.589620054,4153.983647,125.4899319,1.294913124,212.8318584,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,149,,227,65,0.571141544,114.7490937,24.95396171,1.097024388,4485.034937,197.1708046,1.319848476,179.7323803,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,150,,220,70,0.67151543,125.4678079,23.05563857,0.913138082,3881.366432,153.7248031,1.404777562,168.3478174,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,151,,293,90,0.376991118,165.9866855,11.13133662,0.313907437,2795.576648,78.83620189,1.409113196,251.1447406,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,152,,225,12,0.594153711,138.6452524,28.35182988,2.180909991,5305.994611,408.1534316,1.46355731,187.1482241,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,153,,233,55,0.510508806,143.5467749,19.41575531,0.764372385,3804.891967,149.7935208,1.464581852,195.9692995,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,154,,215,11,0.357356164,134.7026118,7.836796435,0.489799777,2309.033702,144.3146064,1.47478812,294.64,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,155,,260,50,0.706858347,178.7438228,22.87343092,0.61930859,4375.916069,118.4799264,1.554927651,191.31,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,156,,234,100,1.400757624,162.5226355,19.10529866,0.267856173,7394.323742,103.6683745,1.559487095,387.0300001,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,157,,263,60,0.8552986,193.1447542,26.22551757,0.971052963,5259.187452,194.732079,1.609968944,200.5370318,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,158,,207,90,0.847837317,155.4550523,,,,,1.619969136,,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,159,,283,110,0.879645943,260.3804553,25.5215905,1.276079525,5876.601429,293.8300714,1.814442063,230.26,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,160,,255,80,1.566869336,311.9333424,67.97325383,0.804333785,11706.35377,138.5223644,2.100845249,172.2199999,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,161,,210,26,0.812887099,314.1641748,21.85995599,0.498151487,4310.564721,98.23049181,2.323662169,197.19,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,162,,276,7,0.305205726,463.8541285,10.80395307,1.20043923,2430.781401,270.0868223,2.48499497,224.99,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,163,,327,125,2.211681228,590.2808163,,,,,2.589691101,,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,164,,262,90,1.593965573,519.289514,63.90902343,0.733441174,15041.02701,172.6158204,2.705634033,235.3506,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,165,,610,105,0.706858347,1191.347924,,,,,2.737465021,,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,166,,407,80,0.807782011,845.4925768,23.39019808,0.683165501,5011.34994,146.3682085,2.801126998,214.2500001,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,167,,481,255,0.969966732,1148.256214,18.47577266,0.50922151,5380.699272,131.2365676,3.023943919,291.23,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,168,,496,150,2.591813939,1458.064463,37.1792994,0.546754403,10827.72736,159.2312848,3.374084794,291.2299999,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,169,,506,145,3.282964323,1679.467977,100.8704074,1.030324936,14723.04466,150.3862277,3.596901714,145.96,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
